id,cluster,subword,word_types,cum_freq,idiosincracy_index
0,2,ha,1137,3698,3.252418645558487
1,2,mo,1100,2847,2.5881818181818184
2,2,yi,322,2327,7.226708074534161
3,2,kf,261,2030,7.777777777777778
4,1,ya,577,1583,2.7435008665511265
5,1,to</w>,308,1547,5.0227272727272725
6,1,ma,241,1497,6.211618257261411
7,1,in,373,1667,4.46916890080429
8,1,ro,242,1389,5.739669421487603
9,1,rh,312,1324,4.243589743589744
10,1,hato</w>,303,1267,4.181518151815181
11,1,ra,493,1226,2.486815415821501
12,2,an,694,1856,2.674351585014409
13,1,nd</w>,2,1156,578.0
14,1,kfo</w>,13,1103,84.84615384615384
15,1,sa,153,1062,6.941176470588236
16,1,yima,37,1030,27.83783783783784
17,1,ht,436,1035,2.373853211009174
18,1,wo,251,1013,4.035856573705179
19,1,if,223,1041,4.668161434977579
20,1,br,248,1047,4.221774193548387
21,1,yu,242,920,3.801652892561984
22,1,me,107,893,8.345794392523365
23,1,isa,60,846,14.1
24,1,na,489,1077,2.202453987730061
25,1,kfo,195,780,4.0
26,1,ef,211,764,3.620853080568721
27,1,ni,382,950,2.486910994764398
28,1,rhu</w>,68,740,10.882352941176473
29,1,to,216,622,2.8796296296296298
30,1,ko</w>,285,727,2.550877192982456
31,1,ka,465,947,2.0365591397849463
32,1,ta,454,1039,2.288546255506608
33,1,memo,34,662,19.47058823529412
34,1,jisa,15,642,42.8
35,1,nd,183,692,3.7814207650273226
36,1,jisas,14,634,45.285714285714285
37,1,th,258,818,3.1705426356589146
38,1,be</w>,2,622,311.0
39,1,wa,404,963,2.383663366336634
40,1,uha,325,744,2.289230769230769
41,1,ri,286,836,2.923076923076923
42,1,rah,321,583,1.8161993769470408
43,0,bro</w>,2,563,281.5
44,0,nha,15,559,37.266666666666666
45,1,fi,111,870,7.837837837837838
46,0,inj,7,551,78.71428571428571
47,0,inji</w>,3,542,180.66666666666663
48,1,ny,468,1411,3.014957264957265
49,1,fa,206,593,2.878640776699029
50,0,jisasr</w>,3,500,166.66666666666666
51,0,nhai</w>,2,499,249.5
52,0,yak,253,524,2.071146245059289
53,0,rm</w>,149,491,3.295302013422819
54,0,wom</w>,18,475,26.38888888888889
55,1,om,527,1142,2.1669829222011385
56,0,fit</w>,5,453,90.6
57,1,mi,204,609,2.985294117647059
58,0,tfit</w>,3,443,147.66666666666666
59,0,no</w>,146,445,3.047945205479452
60,0,nk,86,536,6.232558139534884
61,0,nef,112,462,4.125
62,0,wan,129,418,3.24031007751938
63,0,bo,158,414,2.6202531645569622
64,1,hu,291,718,2.4673539518900345
65,0,mro,34,407,11.970588235294118
66,0,nkif,22,402,18.272727272727277
67,0,rn</w>,174,399,2.293103448275862
68,0,kfot</w>,95,393,4.136842105263158
69,0,yimam</w>,2,386,193.0
70,0,rp,126,375,2.9761904761904763
71,0,toh,175,410,2.342857142857143
72,0,na</w>,46,383,8.326086956521738
73,0,tn</w>,155,389,2.509677419354839
74,0,nkifra,21,374,17.80952380952381
75,1,ti,320,806,2.51875
76,0,yak</w>,12,363,30.25
77,0,du,92,397,4.315217391304348
78,0,tu,107,401,3.747663551401869
79,0,yimar</w>,1,354,354.0
80,0,hti,156,374,2.3974358974358974
81,1,hi,237,684,2.8860759493670884
82,0,ha</w>,70,468,6.685714285714286
83,0,wu,166,340,2.048192771084337
84,0,mar,169,497,2.940828402366864
85,0,ku,113,327,2.893805309734513
86,0,et,192,409,2.130208333333333
87,0,mr</w>,183,408,2.2295081967213117
88,0,yo,92,332,3.608695652173913
89,0,roh</w>,61,329,5.39344262295082
90,0,so,75,329,4.386666666666667
91,0,no,259,474,1.83011583011583
92,0,ma</w>,41,317,7.73170731707317
93,0,rr</w>,113,308,2.725663716814159
94,0,thu</w>,70,299,4.271428571428571
95,0,yuk</w>,81,295,3.641975308641976
96,0,mn</w>,179,342,1.910614525139665
97,0,hany,84,297,3.5357142857142856
98,0,mot,172,281,1.6337209302325582
99,1,ho,272,549,2.0183823529411766
100,0,pno</w>,119,375,3.1512605042016806
101,0,yima</w>,1,258,258.0
102,0,et</w>,89,323,3.629213483146068
103,0,hat</w>,102,311,3.049019607843137
104,0,ing,95,324,3.4105263157894736
105,0,rhu,98,254,2.591836734693877
106,0,bi</w>,3,251,83.66666666666667
107,0,bu,106,334,3.150943396226415
108,0,kan,48,244,5.083333333333333
109,0,ba,72,243,3.375
110,0,ka</w>,24,242,10.083333333333334
111,0,ruha,187,253,1.3529411764705883
112,0,tamo,58,279,4.810344827586207
113,0,mor</w>,79,344,4.354430379746836
