id,cluster,subword,word_types,cum_freq,idiosincracy_index
0,1,na,719,6080,8.456189151599444
1,1,li</w>,269,5669,21.074349442379184
2,1,ch,752,3257,4.331117021276596
3,1,ali</w>,162,3340,20.617283950617285
4,1,ak</w>,158,3639,23.03164556962025
5,1,uk</w>,373,2827,7.579088471849866
6,1,ny,526,2660,5.057034220532319
7,2,ne,362,2281,6.301104972375691
8,1,ana,302,2805,9.288079470198676
9,2,mu</w>,440,2443,5.552272727272728
10,2,ch</w>,324,2034,6.277777777777778
11,1,al,573,5320,9.284467713787086
12,1,ak,451,2950,6.541019955654102
13,2,do,32,1561,48.78125
14,2,ip,215,1613,7.502325581395349
15,2,at,367,1909,5.201634877384196
16,2,ud,77,1439,18.68831168831169
17,2,douk</w>,2,1439,719.5
18,2,ech</w>,227,1521,6.700440528634362
19,2,uli</w>,64,1332,20.8125
20,2,ma,324,1574,4.8580246913580245
21,2,umu</w>,40,1307,32.675
22,2,nu</w>,301,1271,4.222591362126246
23,2,udak</w>,24,1247,51.958333333333336
24,2,ech,180,793,4.405555555555556
25,2,sa,127,1328,10.456692913385826
26,2,nu,271,1216,4.487084870848708
27,2,nak,117,1230,10.512820512820513
28,2,ul,324,2238,6.907407407407407
29,2,isa,13,851,65.46153846153847
30,2,ni,97,815,8.402061855670103
31,2,pe</w>,34,814,23.94117647058824
32,2,eny,161,838,5.204968944099379
33,2,ag,349,1308,3.7478510028653296
34,2,ek,180,1222,6.788888888888889
35,2,ene,111,968,8.72072072072072
36,2,ab,167,921,5.514970059880239
37,0,wi,133,758,5.699248120300752
38,2,en</w>,141,929,6.588652482269503
39,0,uk,271,689,2.5424354243542435
40,0,eke</w>,10,685,68.5
41,0,jisa,1,645,645.0
42,0,jisas</w>,1,645,645.0
43,0,wo,155,639,4.122580645161291
44,0,lp,22,644,29.272727272727277
45,0,lip,124,635,5.120967741935484
46,0,yo,163,637,3.9079754601227
47,2,chu,280,1147,4.096428571428572
48,0,anani,23,599,26.043478260869566
49,0,go,49,591,12.06122448979592
50,0,anan</w>,1,563,563.0
51,0,nek</w>,50,753,15.06
52,0,ob,59,605,10.254237288135592
53,2,ye,145,953,6.572413793103448
54,2,ha,488,2382,4.881147540983607
55,0,ala,120,750,6.25
56,0,ipak</w>,2,505,252.5
57,2,pu,189,865,4.576719576719577
58,0,elp,8,485,60.625
59,0,ai,104,730,7.019230769230769
60,2,nyu,211,1049,4.971563981042654
61,0,ama,72,552,7.666666666666667
62,0,mo,103,471,4.572815533980583
63,0,wak,47,456,9.702127659574469
64,0,uh</w>,98,463,4.724489795918367
65,0,ul</w>,82,446,5.439024390243903
66,0,nakli</w>,1,446,446.0
67,0,be,116,607,5.232758620689655
68,0,god</w>,1,437,437.0
69,0,bu</w>,39,437,11.205128205128204
70,0,bala,8,429,53.625
71,0,og,180,553,3.0722222222222224
72,0,balan</w>,1,417,417.0
73,0,elpech</w>,1,400,400.0
74,0,nam,117,671,5.735042735042735
75,0,ig,88,437,4.965909090909091
76,0,amam</w>,5,384,76.8
77,2,cha,246,1055,4.288617886178862
