id,cluster,subword,word_types,cum_freq,idiosincracy_index
0,1,ar,1671,6529,3.907241172950329
1,1,aj,735,4138,5.629931972789116
2,1,ir,854,4064,4.758782201405152
3,1,re</w>,812,5410,6.66256157635468
4,2,ma,574,2527,4.402439024390244
5,2,yi,545,2999,5.502752293577982
6,2,uj,585,2186,3.736752136752137
7,2,baj,140,2076,14.82857142857143
8,2,ĩn,17,2007,118.05882352941175
9,2,to</w>,104,1869,17.971153846153847
10,2,bajir,50,1694,33.88
11,2,cõ,419,1684,4.01909307875895
12,2,mas,418,1613,3.858851674641148
13,2,are</w>,189,1655,8.756613756613756
14,2,ti,765,2123,2.7751633986928104
15,2,ari</w>,219,1440,6.575342465753424
16,2,ẽn,283,1359,4.8021201413427566
17,2,je,190,1567,8.24736842105263
18,2,uju</w>,262,1278,4.877862595419847
19,2,ĩna</w>,1,1283,1283.0
20,2,bajiro</w>,1,1206,1206.0
21,2,qu,230,1179,5.126086956521739
22,2,cõari</w>,182,1177,6.467032967032967
23,2,mʉ,127,1136,8.94488188976378
24,2,di,339,1382,4.07669616519174
25,2,oj,248,1120,4.516129032258065
26,2,cʉ,403,1106,2.7444168734491314
27,2,arã</w>,307,1095,3.566775244299674
28,2,quẽn,182,1045,5.741758241758242
29,2,jes,21,1015,48.333333333333336
30,2,jesú,11,999,90.8181818181818
31,2,oti,390,1155,2.9615384615384617
32,2,ja,868,2605,3.001152073732719
33,2,ne</w>,332,1322,3.9819277108433737
34,2,ña,330,1692,5.127272727272727
35,0,ma</w>,401,835,2.082294264339152
36,0,gʉ,289,799,2.764705882352941
37,2,ĩa,426,1053,2.471830985915493
38,0,be,384,778,2.0260416666666665
39,0,yuju</w>,93,768,8.258064516129032
40,2,or,354,1231,3.477401129943503
41,0,jesús</w>,1,733,733.0
42,0,tir,288,699,2.427083333333333
43,0,ĩre</w>,1,775,775.0
44,0,se,179,705,3.93854748603352
45,0,ti</w>,110,669,6.081818181818182
46,0,ad,80,723,9.0375
47,0,aja</w>,130,664,5.107692307692307
48,0,ujarã</w>,214,655,3.060747663551402
49,0,dio,12,653,54.41666666666666
50,0,se</w>,84,645,7.678571428571429
51,0,yir,113,636,5.628318584070796
52,0,ĩnare</w>,1,664,664.0
53,0,mi</w>,251,620,2.47011952191235
54,0,yʉ</w>,1,595,595.0
55,0,goti,184,685,3.722826086956522
56,0,mʉa</w>,2,584,292.0
57,0,bo,318,788,2.477987421383648
58,0,tʉ,232,570,2.456896551724138
59,2,masi,336,864,2.571428571428572
60,0,ari,251,587,2.3386454183266934
61,0,ado</w>,4,552,138.0
62,0,sere</w>,113,528,4.672566371681416
63,2,ca,388,883,2.275773195876289
64,2,ri,579,1547,2.6718480138169256
65,0,ʉ̃,309,722,2.336569579288026
66,0,mʉ</w>,38,463,12.18421052631579
67,0,jʉ</w>,148,792,5.351351351351352
68,0,dios</w>,1,460,460.0
69,0,gʉ</w>,87,455,5.2298850574712645
70,0,arã,218,453,2.0779816513761467
71,0,ʉre</w>,121,652,5.388429752066116
72,0,va,247,658,2.6639676113360324
73,2,rã,347,1035,2.9827089337175794
74,0,ca</w>,43,422,9.813953488372093
75,0,quẽne</w>,42,418,9.952380952380953
76,0,bʉ,126,399,3.1666666666666665
77,0,aro</w>,54,408,7.555555555555555
78,2,aji,266,2506,9.421052631578949
79,0,masa</w>,17,388,22.823529411764707
80,0,one</w>,87,385,4.425287356321839
81,0,ãm,226,701,3.101769911504425
82,0,man,42,370,8.80952380952381
83,2,baji,129,2058,15.953488372093023
84,0,roj,89,557,6.258426966292135
85,0,ñuju</w>,106,354,3.339622641509434
86,0,aja,166,463,2.789156626506024
87,0,yiyuju</w>,1,352,352.0
88,0,bu,108,345,3.1944444444444446
89,2,oa,432,867,2.0069444444444446
90,0,tʉo,153,328,2.1437908496732025
91,0,ore</w>,98,496,5.061224489795919
92,0,ose</w>,14,316,22.571428571428573
93,0,tu,155,294,1.896774193548387
94,0,masir,101,297,2.9405940594059405
95,0,yujarã</w>,91,291,3.197802197802198
96,2,ro</w>,127,2198,17.30708661417323
97,0,ẽni,103,315,3.058252427184466
98,0,eja,164,455,2.774390243902439
99,0,oc,279,621,2.225806451612903
100,0,gʉ̃,121,283,2.338842975206612
101,0,jʉ,239,586,2.4518828451882846
102,0,sʉ,120,298,2.4833333333333334
103,0,arʉ,178,359,2.0168539325842696
104,0,rojose</w>,1,263,263.0
105,0,yicõari</w>,1,260,260.0
106,0,tire</w>,58,260,4.482758620689655
107,0,sã,114,256,2.245614035087719
108,0,ñujarã</w>,81,249,3.074074074074074
109,0,sẽni,96,274,2.8541666666666665
110,0,rãca</w>,8,248,31.0
111,0,gʉ̃</w>,51,241,4.725490196078432
112,0,yʉre</w>,1,239,239.0
113,2,ja</w>,324,1134,3.5
114,0,tʉoĩa,145,305,2.103448275862069
115,0,gã,32,305,9.53125
116,0,jesúre</w>,1,230,230.0
117,2,na</w>,68,1564,23.0
118,0,ju,84,237,2.821428571428572
119,0,quẽnaro</w>,2,220,110.0
120,0,dir,105,256,2.4380952380952383
121,0,bajiri</w>,1,217,217.0
122,0,mani</w>,4,213,53.25
123,0,sa,159,506,3.1823899371069184
124,2,si,433,1104,2.5496535796766744
125,2,cõa,384,1521,3.9609375
126,0,roti,199,462,2.321608040201005
127,2,er,323,1460,4.520123839009288
128,0,gotimasi,51,205,4.019607843137255
129,0,cʉ</w>,77,238,3.090909090909091
130,0,yigʉ</w>,1,201,201.0
131,0,ire</w>,137,579,4.226277372262774
132,0,yisere</w>,1,197,197.0
133,0,yirã</w>,2,194,97.0
134,0,mʉare</w>,2,194,97.0
135,0,ori,73,212,2.904109589041096
136,0,eri,37,202,5.45945945945946
137,0,no</w>,13,203,15.615384615384617
138,0,ñaja</w>,5,185,37.0
139,0,arãma</w>,92,184,2.0
140,0,ʉa</w>,71,889,12.52112676056338
141,0,boj,45,182,4.044444444444444
142,0,ya</w>,63,181,2.873015873015873
143,0,ñari</w>,1,180,180.0
144,0,diore</w>,2,179,89.5
145,0,me,101,246,2.435643564356436
146,0,quẽna,102,470,4.607843137254902
147,0,ej,242,610,2.520661157024793
148,0,sĩ,74,216,2.918918918918919
149,0,ajʉ</w>,51,173,3.392156862745098
150,0,ami</w>,67,214,3.194029850746269
151,0,ama</w>,184,449,2.440217391304348
152,0,ajicõari</w>,2,216,108.0
153,0,cʉmi</w>,68,163,2.397058823529412
154,0,cʉdi,43,170,3.953488372093023
155,0,masare</w>,9,160,17.77777777777778
156,0,vãm,4,158,39.5
157,0,suju</w>,63,156,2.4761904761904763
158,0,vãme</w>,1,155,155.0
159,2,yu,291,1308,4.494845360824742
160,0,aje,56,183,3.267857142857143
161,0,otir,124,253,2.040322580645161
162,0,jama</w>,106,283,2.669811320754717
163,0,bueri,11,150,13.636363636363637
164,0,gõ,78,149,1.9102564102564104
165,0,gotiyuju</w>,2,147,73.5
166,0,jo,115,695,6.043478260869565
167,0,oja</w>,56,143,2.5535714285714284
168,2,ba,254,2322,9.141732283464568
169,0,gũ,105,139,1.3238095238095238
170,0,so</w>,3,142,47.333333333333336
171,0,cʉti,55,189,3.4363636363636365
172,0,ere</w>,171,678,3.9649122807017534
173,0,to,145,360,2.4827586206896552
174,0,sa</w>,74,524,7.081081081081081
175,0,coa,116,187,1.612068965517241
176,0,ũgũ,101,133,1.316831683168317
177,0,ve,49,137,2.795918367346939
178,0,beti,151,240,1.5894039735099337
179,0,ña</w>,50,130,2.6
180,0,ye</w>,14,129,9.214285714285714
181,0,bʉto</w>,1,128,128.0
182,0,ʉjʉ</w>,10,261,26.1
183,0,aro,256,532,2.078125
184,0,jua,49,152,3.1020408163265305
185,0,boari,38,125,3.289473684210526
186,0,ĩacõari</w>,7,147,21.0
187,0,vi,50,152,3.04
188,0,sẽniĩa,40,156,3.9
189,0,gãje,6,124,20.666666666666668
190,0,mac,60,274,4.566666666666666
191,0,jarã</w>,221,797,3.6063348416289593
192,0,boaja,37,119,3.216216216216216
193,0,arãja</w>,62,118,1.903225806451613
194,2,yuj,213,1172,5.502347417840376
195,0,tudi,64,128,2.0
196,0,boajaquẽne</w>,35,116,3.3142857142857145
197,0,rĩ,27,180,6.666666666666667
198,0,vã,17,272,16.0
199,0,sujarã</w>,42,115,2.738095238095238
200,0,ya,82,324,3.951219512195122
201,0,bero</w>,1,113,113.0
202,0,quẽna</w>,3,112,37.333333333333336
203,0,jare</w>,47,221,4.702127659574468
204,0,bajirone</w>,1,111,111.0
205,0,yʉa</w>,1,110,110.0
206,0,tirʉ̃,51,115,2.2549019607843137
207,0,jʉre</w>,53,165,3.1132075471698117
208,0,ejacõari</w>,10,109,10.9
209,0,co,215,404,1.8790697674418604
210,0,boarine</w>,25,109,4.36
211,0,ruj,71,131,1.8450704225352117
212,0,oro</w>,15,108,7.2
213,0,arãre</w>,40,108,2.7
214,0,su,173,481,2.7803468208092488
215,2,rã</w>,376,1645,4.375
216,0,jã,28,112,4.0
217,2,rʉ,499,1071,2.1462925851703405
218,0,re,142,215,1.5140845070422535
219,0,ojʉ</w>,33,148,4.484848484848484
220,0,ajama</w>,43,106,2.4651162790697674
221,0,'i</w>,28,103,3.678571428571429
222,0,cati,70,119,1.7
223,0,boja,38,174,4.578947368421052
224,0,gʉmi</w>,39,101,2.58974358974359
225,0,nare</w>,28,728,26.0
226,0,masu,25,101,4.04
227,0,que,27,99,3.6666666666666665
228,0,boa,166,395,2.3795180722891565
229,0,ñar,112,555,4.955357142857143
230,0,mʉre</w>,10,96,9.6
231,0,ocõari</w>,41,107,2.609756097560976
232,0,ni,186,518,2.78494623655914
233,0,me</w>,5,252,50.4
234,0,yimasi,50,132,2.64
235,0,rĩj,7,94,13.428571428571429
236,0,arʉ̃,46,94,2.0434782608695654
237,0,vari,55,93,1.690909090909091
238,0,cʉdiyuju</w>,2,93,46.5
239,0,ajare</w>,17,96,5.647058823529412
240,0,gotir,46,91,1.9782608695652173
241,0,'i,40,128,3.2
242,0,yitʉoĩa,55,124,2.2545454545454544
243,0,tʉoĩ,147,321,2.183673469387755
244,0,masʉ</w>,14,90,6.428571428571429
245,0,gaja,37,95,2.5675675675675675
246,0,erã</w>,11,151,13.727272727272728
247,0,ñañuju</w>,7,89,12.714285714285714
248,0,yaja</w>,4,89,22.25
249,0,tirʉ̃n,36,89,2.4722222222222223
250,0,ta,51,130,2.549019607843137
251,0,jʉa</w>,57,160,2.807017543859649
252,0,diro</w>,9,90,10.0
