id,cluster,subword,word_types,cum_freq,idiosincracy_index
0,1,ma,1065,2662,2.499530516431925
1,1,ha</w>,160,1583,9.89375
2,1,na,566,1452,2.5653710247349824
3,1,si,196,1397,7.127551020408164
4,1,gu,183,1275,6.967213114754099
5,1,es,176,1211,6.880681818181818
6,1,man,488,1183,2.4241803278688523
7,2,åo</w>,85,1003,11.8
8,2,ya</w>,25,1002,40.08
9,1,an,832,2298,2.762019230769231
10,2,na</w>,56,968,17.285714285714285
11,2,-ñ,287,886,3.087108013937282
12,2,an</w>,149,947,6.355704697986577
13,2,gi</w>,22,797,36.22727272727273
14,2,ha,155,814,5.251612903225807
15,2,ni</w>,35,777,22.2
16,2,pa,88,753,8.556818181818182
17,2,en,251,798,3.1792828685258963
18,2,en</w>,73,743,10.178082191780822
19,2,-ña</w>,197,684,3.472081218274112
20,2,ra</w>,57,662,11.614035087719298
21,2,ta,169,702,4.153846153846154
22,2,gui,28,619,22.107142857142858
23,2,ot,103,610,5.922330097087379
24,2,siha</w>,7,617,88.14285714285714
25,2,si</w>,41,586,14.292682926829269
26,2,on,215,527,2.4511627906976745
27,2,o'</w>,143,555,3.881118881118881
28,2,må,116,549,4.732758620689655
29,2,le,102,569,5.578431372549019
30,2,pu,67,542,8.08955223880597
31,1,in,429,1233,2.874125874125874
32,2,la,200,575,2.875
33,2,on</w>,141,520,3.687943262411348
34,2,yan</w>,15,514,34.266666666666666
35,2,ina,244,568,2.3278688524590163
36,2,hå,57,584,10.24561403508772
37,2,est,50,485,9.7
38,2,para</w>,7,477,68.14285714285714
39,2,tå,79,685,8.670886075949367
40,2,ch,227,577,2.541850220264317
41,2,sa,157,572,3.643312101910828
42,2,us</w>,8,404,50.5
43,2,jes,2,394,197.0
44,2,jesus</w>,1,393,393.0
45,2,gui'</w>,6,375,62.5
46,0,tu,70,289,4.128571428571429
47,2,hu</w>,64,354,5.53125
48,0,otåo</w>,4,340,85.0
49,2,e'</w>,100,410,4.1
50,2,ga,153,476,3.111111111111111
51,2,mi,165,387,2.345454545454545
52,0,ile,25,328,13.12
53,0,ti</w>,28,342,12.214285714285714
54,2,ng,269,895,3.3271375464684017
55,0,yo</w>,6,323,53.833333333333336
56,2,na',263,479,1.8212927756653992
57,0,os</w>,38,315,8.289473684210526
58,0,es</w>,33,327,9.909090909090908
59,0,yu,41,300,7.317073170731708
60,0,ma',145,303,2.089655172413793
61,0,ri,110,315,2.863636363636364
62,2,ang,132,457,3.462121212121212
63,0,un</w>,6,292,48.66666666666666
64,0,ilek,13,282,21.692307692307693
65,0,tt,78,318,4.076923076923077
66,0,hu,84,331,3.940476190476191
67,0,fan,191,305,1.5968586387434556
68,2,fa,295,556,1.8847457627118644
