id,cluster,subword,word_types,cum_freq,idiosincracy_index
0,1,το,223,2403,10.77578475336323
1,1,αι</w>,131,2334,17.81679389312977
2,1,ει,301,2044,6.790697674418604
3,1,αυ,82,1472,17.951219512195124
4,1,και</w>,8,1798,224.75
5,1,ον</w>,384,1941,5.0546875
6,2,αυτο,15,1055,70.33333333333333
7,1,ου,376,1549,4.11968085106383
8,2,εν</w>,189,964,5.1005291005291005
9,2,ος</w>,207,1118,5.400966183574879
10,2,ων</w>,228,851,3.732456140350877
11,2,εις</w>,57,825,14.473684210526317
12,2,ας</w>,202,739,3.658415841584159
13,2,τη,114,713,6.254385964912281
14,2,πρ,137,722,5.2700729927007295
15,2,ελ,180,724,4.022222222222222
16,1,ου</w>,141,1337,9.4822695035461
17,2,αν,262,629,2.400763358778626
18,2,ερ,255,615,2.411764705882353
19,2,ει</w>,191,609,3.18848167539267
20,2,αλ,234,636,2.717948717948718
21,2,αρ,258,578,2.24031007751938
22,2,αν</w>,181,569,3.143646408839779
23,2,το</w>,64,559,8.734375
24,2,να</w>,41,557,13.585365853658535
25,2,δι,159,608,3.8238993710691824
26,1,και</w>,8,1798,224.75
27,2,υς</w>,104,792,7.615384615384615
28,2,ησ,231,547,2.367965367965368
29,2,δε</w>,7,471,67.28571428571429
30,2,τα</w>,81,472,5.827160493827161
31,2,πο,212,704,3.320754716981132
32,2,εγ,79,471,5.962025316455696
33,2,αυτον</w>,4,452,113.0
34,2,τε</w>,177,450,2.542372881355932
35,2,οι</w>,99,515,5.202020202020202
36,2,εν,254,475,1.8700787401574803
37,2,προς</w>,2,427,213.5
38,2,τον</w>,43,875,20.348837209302324
39,2,ασ,212,406,1.9150943396226412
40,2,ον,222,435,1.9594594594594597
41,2,τι</w>,22,438,19.90909090909091
42,2,αι,162,402,2.4814814814814814
43,2,του</w>,19,685,36.05263157894737
44,2,ισ,266,563,2.1165413533834587
45,2,εκ,160,404,2.525
46,2,των</w>,46,385,8.369565217391305
47,2,ευ,209,388,1.8564593301435408
48,2,ειν,44,378,8.590909090909092
49,0,την</w>,17,345,20.294117647058822
50,2,τι,101,380,3.762376237623762
51,2,εσ,163,333,2.042944785276074
52,2,απ,196,458,2.336734693877551
53,2,επ,148,362,2.445945945945946
54,1,κα,279,2412,8.64516129032258
55,0,θελ,18,321,17.833333333333332
56,2,ους</w>,95,729,7.673684210526316
57,0,ωσ,180,286,1.5888888888888888
58,0,αυτου</w>,2,288,144.0
59,2,ρι,249,532,2.136546184738956
60,0,ες</w>,117,283,2.418803418803418
61,0,ουσ,117,278,2.376068376068376
62,0,ειπ,19,302,15.894736842105264
63,2,οι,130,417,3.207692307692308
64,0,οτι</w>,2,268,134.0
65,0,ως</w>,42,261,6.214285714285714
66,2,μα,165,451,2.7333333333333334
67,0,λεγ,28,300,10.714285714285714
68,0,θη</w>,128,251,1.9609375
69,0,οσ,106,284,2.679245283018868
70,0,ιν</w>,136,253,1.8602941176470589
71,0,αυτους</w>,2,240,120.0
72,0,ημ,89,249,2.797752808988764
73,0,δεν</w>,5,250,50.0
74,0,υν,144,263,1.8263888888888888
75,0,αγ,119,239,2.008403361344538
76,0,ομ,136,255,1.875
77,0,της</w>,17,222,13.058823529411764
78,0,τες</w>,93,211,2.2688172043010755
79,0,αμ,111,261,2.3513513513513518
80,0,τρ,124,226,1.8225806451612905
81,2,ην</w>,88,535,6.079545454545454
82,0,εξ,70,197,2.8142857142857145
83,2,τους</w>,10,428,42.8
84,2,ης</w>,96,407,4.239583333333333
85,0,ειναι</w>,3,191,63.66666666666666
86,0,παρ,78,190,2.435897435897436
87,0,δια</w>,4,203,50.75
88,0,ηρ,99,215,2.171717171717172
89,0,ται</w>,78,173,2.217948717948718
90,0,ακ,113,226,2.0
91,0,ειπε</w>,1,200,200.0
92,0,ετε</w>,60,170,2.833333333333333
93,0,αβ,76,171,2.25
94,2,με,281,675,2.402135231316726
95,0,ηλ,34,165,4.852941176470588
96,0,ιησ,6,156,26.0
97,0,εχ,58,151,2.603448275862069
98,0,τας</w>,38,150,3.947368421052632
99,0,εισ,41,151,3.682926829268293
100,0,υπ,86,190,2.2093023255813957
101,0,ολ,102,287,2.813725490196078
102,0,τις</w>,4,150,37.5
103,0,θελει</w>,1,143,143.0
104,0,ιον</w>,68,231,3.397058823529412
105,0,τος</w>,46,188,4.086956521739131
106,0,ιλ,68,179,2.6323529411764706
107,0,αλλ,38,141,3.710526315789474
108,0,ρω,116,327,2.8189655172413794
109,0,τη</w>,13,127,9.76923076923077
110,0,πολ,37,129,3.4864864864864864
111,0,εμ,66,131,1.9848484848484849
112,0,ωρ,78,150,1.9230769230769231
113,0,περ,55,138,2.5090909090909093
114,0,οντες</w>,48,128,2.6666666666666665
115,0,θη,96,229,2.3854166666666665
116,2,θε,144,745,5.173611111111111
117,2,ια</w>,57,367,6.43859649122807
118,0,ιησους</w>,1,114,114.0
119,2,του,42,547,13.023809523809524
120,0,ιδ,82,287,3.5
121,0,αφ,56,128,2.2857142857142856
122,0,προσ,53,122,2.30188679245283
123,0,σας</w>,37,232,6.27027027027027
124,0,ηλθ,13,113,8.692307692307692
125,0,τω</w>,20,106,5.3
126,0,πλ,65,154,2.3692307692307693
127,0,διοτι</w>,1,126,126.0
128,0,αυτων</w>,2,107,53.5
129,0,παν,23,128,5.565217391304348
130,0,ων,68,119,1.75
131,0,υμ,91,194,2.131868131868132
132,0,τερ,52,104,2.0
133,0,θρω,11,104,9.454545454545457
134,0,απο,65,132,2.0307692307692307
135,0,σου</w>,4,125,31.25
136,0,εφ,50,106,2.12
137,0,ελθ,43,123,2.86046511627907
138,0,μη</w>,7,127,18.142857142857142
139,0,ανθρω,9,102,11.333333333333334
140,0,υρι,23,102,4.434782608695652
141,0,ογ,40,95,2.375
142,0,ηκ,41,103,2.5121951219512195
143,0,πον</w>,11,123,11.181818181818182
144,0,μεν,148,221,1.4932432432432432
145,2,τα,266,636,2.3909774436090228
146,0,ωσιν</w>,67,86,1.2835820895522387
147,0,απο</w>,1,87,87.0
148,0,εδ,50,109,2.18
149,0,μου</w>,11,100,9.090909090909092
150,0,ταυ,15,86,5.733333333333333
151,0,οικ,26,85,3.269230769230769
152,0,οπο,25,117,4.68
153,0,ουσι</w>,33,88,2.6666666666666665
154,0,ησαν</w>,41,96,2.341463414634146
155,0,ημερ,9,79,8.777777777777779
156,0,βασ,31,85,2.7419354838709675
157,0,ορ,65,107,1.646153846153846
158,0,συν,62,87,1.403225806451613
159,0,με</w>,6,108,18.0
160,0,θεις</w>,13,76,5.846153846153846
161,0,ιαν</w>,39,140,3.58974358974359
162,0,ηγ,42,81,1.9285714285714288
163,0,εκειν,14,91,6.5
164,0,δυν,29,79,2.7241379310344827
165,0,εβ,46,76,1.6521739130434785
166,2,ατ,305,600,1.9672131147540983
167,0,αζ,72,104,1.4444444444444444
168,0,ηθ,72,148,2.055555555555556
169,0,υγ,43,74,1.7209302325581397
170,0,καθ,46,103,2.239130434782609
171,0,ειρ,29,74,2.5517241379310347
172,0,καλ,42,102,2.4285714285714284
173,0,μα</w>,35,104,2.9714285714285715
174,0,ανθρωπ,9,102,11.333333333333334
175,0,θεου</w>,1,70,70.0
176,0,οχ,18,71,3.9444444444444446
177,2,ιν,130,564,4.338461538461538
178,0,επι</w>,1,69,69.0
179,0,αις</w>,12,68,5.666666666666667
180,0,ωσι</w>,51,68,1.3333333333333333
181,0,σε</w>,45,145,3.2222222222222223
182,0,ουσιν</w>,36,71,1.9722222222222223
183,0,ομεν,52,77,1.4807692307692308
184,0,κατ,81,136,1.6790123456790125
185,0,κρι,33,100,3.0303030303030303
186,0,μαθη,4,66,16.5
187,0,ην,34,67,1.9705882352941175
188,0,ερχ,24,69,2.875
189,2,ις</w>,106,1114,10.50943396226415
190,0,εκ</w>,1,66,66.0
191,0,εθ,50,93,1.86
192,0,αρχ,32,74,2.3125
193,0,λογ,33,87,2.636363636363636
194,0,ατε</w>,41,64,1.5609756097560976
195,0,αξ,46,82,1.7826086956521738
196,0,οχλ,10,61,6.1
197,0,κυρι,8,78,9.75
198,0,ραμ,17,65,3.823529411764706
199,0,ευρ,28,61,2.1785714285714284
200,0,οφ,32,61,1.90625
201,0,βασιλ,14,61,4.357142857142857
202,0,τησ,37,67,1.8108108108108107
203,0,ητο</w>,3,69,23.0
204,0,ιος</w>,21,106,5.047619047619048
205,0,εσας</w>,5,57,11.4
206,0,εως</w>,15,57,3.8
207,0,τιν,12,81,6.75
208,0,μη,44,118,2.6818181818181817
209,0,κρ,89,194,2.1797752808988764
210,0,πολλ,9,57,6.333333333333333
211,0,ετρ,21,63,3.0
212,0,οτε</w>,10,86,8.6
213,0,λεγει</w>,1,54,54.0
214,0,ηρχ,14,55,3.928571428571429
215,0,αρισ,20,56,2.8
216,0,αδ,51,84,1.6470588235294117
217,0,ωμ,52,95,1.8269230769230769
218,0,οστις</w>,1,64,64.0
219,0,λοι,13,73,5.615384615384615
220,0,ιμ,67,191,2.8507462686567164
221,0,αυτος</w>,1,55,55.0
222,0,θε</w>,31,89,2.870967741935484
223,0,ουν</w>,27,65,2.4074074074074074
224,0,ιζ,80,98,1.225
225,0,πισ,37,73,1.972972972972973
226,0,ιερ,19,79,4.157894736842105
227,0,περι</w>,1,51,51.0
228,0,οδ,45,89,1.9777777777777776
229,0,μον,25,60,2.4
230,0,λεγων</w>,1,49,49.0
231,0,εται</w>,22,49,2.227272727272727
232,0,διδ,30,76,2.533333333333333
233,0,εξ</w>,1,53,53.0
234,0,αθ,86,240,2.7906976744186047
235,0,λοιπον</w>,1,47,47.0
236,0,κριθεις</w>,2,47,23.5
237,0,καρ,15,57,3.8
238,2,ιπ,38,374,9.842105263157896
239,0,μετα</w>,1,49,49.0
240,0,ευθ,14,55,3.928571428571429
241,0,δαι,12,48,4.0
242,0,αιρ,23,47,2.0434782608695654
243,0,υρ,107,271,2.532710280373832
244,0,τουτο</w>,1,49,49.0
245,2,τω,85,469,5.517647058823529
246,0,ραν,14,50,3.571428571428572
247,0,μετ</w>,1,45,45.0
248,0,κλ,44,62,1.4090909090909092
249,0,νευ,19,63,3.3157894736842106
250,0,ιασ,28,47,1.6785714285714286
251,0,ητε</w>,46,76,1.6521739130434785
252,0,εαν</w>,3,56,18.666666666666668
253,0,βασιλει,4,45,11.25
254,0,ωγ,20,43,2.15
255,0,υλ,58,98,1.6896551724137931
256,0,λεγω</w>,1,45,45.0
257,0,ευσ,33,47,1.4242424242424243
258,0,ταυτα</w>,1,45,45.0
259,0,ουραν,9,42,4.666666666666667
260,0,θεν</w>,19,85,4.473684210526316
261,0,ειλ,17,42,2.4705882352941178
262,0,εψ,25,42,1.68
263,0,παντα</w>,2,45,22.5
264,0,λεγοντες</w>,1,41,41.0
265,0,καμ,26,69,2.6538461538461537
266,0,ιας</w>,43,106,2.4651162790697674
267,0,ηλθεν</w>,4,41,10.25
268,0,ζη,22,47,2.136363636363636
269,0,ενω</w>,2,60,30.0
270,0,ετο</w>,22,41,1.8636363636363635
271,0,αυτην</w>,3,57,19.0
272,2,αλ,234,636,2.717948717948718
273,0,τινες</w>,4,43,10.75
274,0,οντα</w>,28,45,1.6071428571428572
275,0,ευθυς</w>,2,40,20.0
276,0,ελεγ,7,51,7.285714285714286
277,0,εγειν,3,41,13.666666666666666
278,2,υσ,194,383,1.9742268041237117
279,0,ταν</w>,1,39,39.0
280,2,πα,201,599,2.9800995024875623
281,0,ουν,39,51,1.3076923076923077
282,0,ουθ,18,41,2.2777777777777777
283,0,θαι</w>,3,39,13.0
284,0,υχ,33,70,2.121212121212121
285,0,παλ,9,41,4.555555555555555
286,0,ονται</w>,18,38,2.111111111111111
287,0,ηρω,18,61,3.388888888888889
288,0,εκρ,24,59,2.458333333333333
289,0,αποκριθεις</w>,2,47,23.5
290,0,ιω,61,145,2.377049180327869
291,0,χωρ,33,65,1.9696969696969695
292,0,πρω,12,39,3.25
293,0,οποιον</w>,1,37,37.0
294,0,ολουθ,16,39,2.4375
295,0,ηκω,15,48,3.2
296,0,ενα</w>,12,44,3.6666666666666665
297,0,ουλ,12,38,3.1666666666666665
298,0,εισθαι</w>,1,36,36.0
299,0,γυν,7,38,5.428571428571429
300,0,τελ,21,38,1.809523809523809
301,0,συγ,19,38,2.0
302,0,οβ,18,37,2.055555555555556
303,0,ηρχισ,3,36,12.0
304,0,γελ,21,42,2.0
305,0,ανν,5,38,7.6
306,0,ιωανν,3,35,11.666666666666666
307,0,χειρ,8,34,4.25
308,0,πασ,18,38,2.111111111111111
309,0,καθ</w>,1,34,34.0
310,0,θελουσι</w>,1,34,34.0
311,0,δο,85,225,2.647058823529412
312,0,γεν,21,38,1.809523809523809
313,0,αρισαι,5,34,6.8
314,0,φαρισαι,5,34,6.8
315,0,ωμεν</w>,18,33,1.8333333333333333
316,0,τερα</w>,11,33,3.0
317,0,πως</w>,2,40,20.0
318,0,ιου</w>,31,68,2.193548387096774
319,0,επλ,18,36,2.0
320,0,ειδ,10,48,4.8
321,0,δαιμον,7,33,4.714285714285714
322,0,δουλ,9,33,3.6666666666666665
323,1,ου,376,1549,4.11968085106383
324,0,ραμμα,4,32,8.0
325,0,ομως</w>,1,32,32.0
326,0,μενον</w>,38,75,1.973684210526316
327,0,ημεν,18,35,1.9444444444444444
328,0,ηλθον</w>,4,34,8.5
329,0,εγω</w>,2,80,40.0
330,0,δικ,20,33,1.65
331,0,δεκ,9,34,3.7777777777777777
332,0,γραμμα,4,32,8.0
333,0,βλ,36,55,1.5277777777777777
334,0,αυτης</w>,3,34,11.333333333333334
335,0,αντες</w>,22,55,2.5
336,0,αμαρ,13,32,2.4615384615384617
337,0,ακου,23,63,2.739130434782609
338,0,ταις</w>,3,31,10.333333333333334
339,0,σκ,75,140,1.8666666666666667
340,0,περι,39,59,1.5128205128205128
341,0,μεγ,15,34,2.2666666666666666
342,0,ηθη</w>,21,41,1.9523809523809523
343,0,ειπον</w>,2,33,16.5
344,0,γραμματ,4,32,8.0
345,0,αυτο</w>,1,31,31.0
346,0,αυτη</w>,3,34,11.333333333333334
347,0,αυτα</w>,3,73,24.33333333333333
348,0,υιος</w>,1,37,37.0
349,0,ειπ,19,302,15.894736842105264
