id,cluster,subword,word_types,cum_freq,idiosincracy_index
0,1,th,114,4185,36.71052631578947
1,1,an,102,2630,25.7843137254902
2,1,and</w>,11,2197,199.72727272727272
3,2,the,46,1536,33.391304347826086
4,2,the</w>,3,1459,486.3333333333333
5,2,hi,59,1478,25.05084745762712
6,2,to</w>,5,1088,217.6
7,2,in,221,1016,4.597285067873303
8,2,ed</w>,271,917,3.3837638376383765
9,2,ha,65,1367,21.03076923076923
10,2,sa,51,783,15.352941176470589
11,1,he</w>,5,2211,442.2
12,2,ou,119,743,6.243697478991597
13,2,of</w>,3,712,237.33333333333331
14,2,er,162,885,5.462962962962963
15,2,ea,138,689,4.992753623188406
16,2,th</w>,107,651,6.08411214953271
17,2,him</w>,1,617,617.0
18,2,ll</w>,23,592,25.73913043478261
19,2,at</w>,13,769,59.15384615384615
20,2,un,61,649,10.63934426229508
21,2,en</w>,52,590,11.346153846153848
22,2,that</w>,1,489,489.0
23,2,or,91,467,5.131868131868132
24,2,es,128,528,4.125
25,2,unto</w>,2,448,224.0
26,2,they</w>,1,442,442.0
27,2,in</w>,21,442,21.047619047619047
28,2,ing</w>,116,452,3.896551724137931
29,2,er</w>,95,646,6.8
30,2,en,127,436,3.4330708661417324
31,2,me</w>,17,415,24.41176470588235
32,2,wi,43,424,9.86046511627907
33,2,wh,28,672,24.0
34,0,wa,46,388,8.434782608695652
35,2,no,26,421,16.192307692307693
36,0,id</w>,10,387,38.7
37,2,them</w>,1,376,376.0
38,2,is</w>,5,609,121.8
39,0,es</w>,90,364,4.044444444444444
40,0,on,86,362,4.209302325581396
41,2,ri,106,486,4.584905660377358
42,2,ma,58,436,7.517241379310345
43,0,on</w>,53,347,6.547169811320755
44,0,ca,42,341,8.119047619047619
45,0,se</w>,37,303,8.18918918918919
46,0,said</w>,1,298,298.0
47,2,re,209,660,3.1578947368421053
48,0,sha,7,290,41.42857142857143
49,2,fo,45,489,10.866666666666667
50,0,be,70,378,5.4
51,2,ar,132,561,4.25
52,0,it</w>,11,307,27.90909090909091
53,0,ve</w>,23,276,12.0
54,2,se,115,494,4.295652173913044
55,0,ou</w>,2,267,133.5
56,0,shall</w>,1,262,262.0
57,0,bu,26,256,9.846153846153848
58,0,not</w>,2,249,124.5
59,0,ch</w>,21,249,11.857142857142858
60,0,st,107,304,2.8411214953271027
61,0,be</w>,2,239,119.5
62,0,his</w>,2,346,173.0
63,0,gh,48,237,4.9375
64,0,co,89,347,3.898876404494382
65,0,for</w>,1,233,233.0
66,0,ye</w>,2,231,115.5
67,0,st</w>,70,316,4.514285714285714
68,0,ro,75,336,4.48
69,0,us</w>,19,221,11.63157894736842
70,0,ther</w>,16,209,13.0625
71,0,go,20,221,11.05
72,0,with</w>,3,208,69.33333333333333
73,0,was</w>,1,208,208.0
74,0,but</w>,1,202,202.0
75,0,ld</w>,20,201,10.05
76,0,wer,7,200,28.571428571428573
77,0,when</w>,1,198,198.0
78,0,ti,89,238,2.6741573033707864
79,0,pl,25,195,7.8
80,0,ga,22,206,9.363636363636363
81,0,li,56,224,4.0
82,0,whi,5,181,36.2
83,0,hea,18,177,9.833333333333334
84,0,out</w>,6,173,28.83333333333333
85,0,for,21,172,8.19047619047619
86,0,ev,39,203,5.205128205128205
87,0,ta,53,221,4.169811320754717
88,0,man</w>,3,166,55.333333333333336
89,0,ing,18,161,8.944444444444445
90,0,ent</w>,21,161,7.666666666666667
91,0,as</w>,13,369,28.384615384615383
92,0,one</w>,10,166,16.6
93,0,which</w>,1,155,155.0
94,0,rea,34,156,4.588235294117647
95,2,re</w>,37,541,14.62162162162162
96,0,jes,2,155,77.5
97,0,as,73,364,4.986301369863014
98,0,jesus</w>,1,154,154.0
99,0,ra,76,219,2.881578947368421
100,2,all</w>,7,427,61.0
101,0,ght</w>,21,151,7.190476190476191
102,0,eth</w>,79,176,2.2278481012658227
103,0,lo,61,278,4.557377049180328
104,0,you</w>,1,143,143.0
