id,cluster,subword,word_types,cum_freq,idiosincracy_index
0,1,en</w>,436,2479,5.685779816513762
1,1,ar,740,1878,2.537837837837838
2,1,er,502,1815,3.6155378486055776
3,1,et,303,1791,5.910891089108911
4,1,an</w>,323,1564,4.842105263157895
5,1,ai,416,1447,3.4783653846153846
6,1,tz,503,1271,2.5268389662027837
7,1,es,161,1217,7.559006211180124
8,1,eta</w>,10,1048,104.8
9,1,zi,178,1094,6.146067415730337
10,1,en,365,884,2.421917808219178
11,1,at,405,1133,2.797530864197531
12,2,eg,145,802,5.531034482758621
13,2,or,244,798,3.2704918032786887
14,2,ur,299,716,2.3946488294314383
15,2,ak</w>,259,710,2.741312741312741
16,2,ko</w>,331,665,2.009063444108761
17,1,zu,195,952,4.8820512820512825
18,2,an,205,624,3.0439024390243903
19,2,al,242,645,2.665289256198347
20,2,ik</w>,283,638,2.254416961130742
21,1,it,387,1248,3.224806201550388
22,2,ek</w>,91,588,6.461538461538462
23,2,ir,199,684,3.437185929648241
24,2,ez</w>,58,522,9.0
25,2,du,141,543,3.851063829787234
26,2,on,145,489,3.372413793103448
27,2,us,56,489,8.732142857142858
28,2,ain,101,482,4.772277227722772
29,1,in,280,980,3.5
30,2,as,162,442,2.728395061728395
31,2,ean</w>,118,438,3.711864406779661
32,2,jes,8,422,52.75
33,2,ber,68,414,6.088235294117647
34,2,arr,189,405,2.142857142857143
35,1,ba,244,1072,4.39344262295082
36,2,ot,105,436,4.152380952380953
37,2,iz,188,640,3.404255319148936
38,2,el,118,382,3.23728813559322
39,2,ag,143,370,2.5874125874125875
40,2,in</w>,66,426,6.454545454545454
41,2,bi,155,402,2.5935483870967744
42,2,zt,119,373,3.134453781512605
43,2,on</w>,30,323,10.766666666666667
44,2,ko,135,388,2.8740740740740742
45,2,em,60,305,5.083333333333333
46,1,ha,254,1026,4.039370078740157
47,2,di,230,606,2.634782608695652
48,0,jesus,6,287,47.833333333333336
49,2,zen</w>,106,533,5.028301886792453
50,2,era</w>,76,289,3.8026315789473686
51,0,esan</w>,1,266,266.0
52,2,de,181,611,3.3756906077348066
53,0,tzen</w>,96,276,2.875
54,2,art,82,336,4.097560975609756
55,1,be,217,972,4.47926267281106
56,0,aren</w>,81,255,3.1481481481481484
57,2,ait,121,320,2.644628099173554
58,2,ik,123,369,3.0
59,0,un,111,263,2.369369369369369
60,0,ari</w>,83,238,2.8674698795180724
61,1,ze,414,1351,3.263285024154589
62,2,ak,241,464,1.925311203319502
63,0,tzu,40,243,6.075
64,2,err,110,331,3.0090909090909093
65,2,il,169,352,2.0828402366863905
66,0,uzt,48,208,4.333333333333333
67,0,ia</w>,89,258,2.898876404494382
68,0,du</w>,26,201,7.730769230769231
69,0,egin</w>,4,200,50.0
70,0,bat,40,242,6.05
71,0,zuen</w>,12,201,16.75
72,2,ten</w>,77,567,7.363636363636363
73,0,jesusek</w>,1,197,197.0
74,0,orr,58,195,3.362068965517241
75,0,ela</w>,43,191,4.441860465116279
76,0,da</w>,14,190,13.571428571428571
77,0,atu</w>,59,189,3.2033898305084745
78,0,eko</w>,112,198,1.7678571428571428
79,2,le,144,364,2.5277777777777777
80,0,go</w>,48,256,5.333333333333333
81,0,ere</w>,3,270,90.0
82,0,ena</w>,49,167,3.4081632653061225
83,0,bain,6,166,27.666666666666668
84,0,zion</w>,2,164,82.0
85,0,zien</w>,2,163,81.5
86,0,ald,83,234,2.819277108433735
87,2,ek,232,446,1.922413793103448
88,0,ab,121,263,2.173553719008265
89,0,urr,63,152,2.412698412698413
90,0,jain,13,152,11.692307692307692
91,0,ako</w>,83,152,1.8313253012048192
92,0,ah,66,170,2.575757575757576
93,0,ea</w>,74,226,3.054054054054054
94,0,itu</w>,27,188,6.962962962962963
95,0,jo,31,156,5.032258064516129
96,2,az,152,302,1.986842105263158
97,0,jainko,12,145,12.083333333333334
98,2,au,136,383,2.8161764705882355
99,2,ut,144,454,3.1527777777777777
100,0,us</w>,5,141,28.2
101,0,est,37,150,4.054054054054054
102,0,jesus</w>,2,135,67.5
103,2,ez,124,329,2.653225806451613
104,0,zir,29,171,5.896551724137931
105,2,go,124,301,2.427419354838709
106,0,baina</w>,2,132,66.0
107,0,oten</w>,6,125,20.83333333333333
108,0,hon,23,123,5.3478260869565215
109,0,zer,78,174,2.230769230769231
110,0,bat</w>,4,122,30.5
111,0,ua</w>,60,149,2.4833333333333334
112,0,etan</w>,54,120,2.2222222222222223
113,0,ger,31,143,4.612903225806452
114,0,ol,47,122,2.595744680851064
115,0,egit,10,117,11.7
116,0,bil,36,116,3.2222222222222223
117,0,berr,18,116,6.444444444444445
118,0,uko</w>,65,143,2.2
119,0,iak</w>,49,139,2.836734693877551
120,0,guzt,19,114,6.0
121,0,esk,42,115,2.738095238095238
122,0,zue</w>,30,112,3.733333333333333
123,0,zioten</w>,1,112,112.0
124,2,ki,167,368,2.203592814371257
125,0,ei</w>,53,131,2.4716981132075477
126,0,ziren</w>,4,115,28.75
127,0,uak</w>,34,117,3.4411764705882355
128,0,ira</w>,25,110,4.4
129,0,hai,31,142,4.580645161290323
130,0,is,65,188,2.892307692307692
131,0,giz,24,113,4.708333333333333
132,0,az</w>,63,110,1.746031746031746
133,0,ond,39,125,3.2051282051282053
134,0,hart,26,133,5.115384615384615
135,0,bur,40,111,2.775
136,0,best,14,107,7.642857142857143
137,0,am,65,147,2.261538461538461
138,0,tzai,23,108,4.695652173913044
139,2,har,91,327,3.593406593406593
140,0,tzun</w>,2,103,51.5
141,0,ordu,10,105,10.5
142,0,ikus,15,103,6.866666666666666
143,0,end,65,186,2.8615384615384616
144,0,ekin</w>,38,100,2.631578947368421
145,0,ed,44,137,3.113636363636364
146,0,eran,10,99,9.9
147,0,bid,27,110,4.074074074074074
148,0,bere</w>,1,98,98.0
149,0,urik</w>,49,95,1.9387755102040816
150,0,ala</w>,14,95,6.785714285714286
151,0,zuten</w>,4,113,28.25
152,0,ikas,13,92,7.076923076923077
153,0,zitzai,9,92,10.22222222222222
154,0,uk,128,263,2.0546875
