id,cluster,subword,word_types,cum_freq,idiosincracy_index
0,2,na</w>,79,4064,51.44303797468354
1,2,sa</w>,20,3263,163.15
2,2,ka,316,2424,7.670886075949367
3,1,ni</w>,66,1893,28.681818181818183
4,1,ra</w>,48,1818,37.875
5,1,va,327,1660,5.07645259938838
6,1,ka</w>,124,1775,14.314516129032258
7,1,ta,253,1422,5.620553359683795
8,1,ko</w>,19,1745,91.84210526315788
9,1,ya</w>,12,1494,124.5
10,1,ma,132,1290,9.772727272727272
11,1,ra,104,978,9.403846153846152
12,1,ei</w>,28,1047,37.392857142857146
13,1,vaka,256,1044,4.078125
14,1,ko,37,986,26.64864864864865
15,1,ga</w>,27,980,36.2962962962963
16,1,ua</w>,31,899,29.0
17,1,ou</w>,33,839,25.424242424242426
18,1,la,77,698,9.064935064935066
19,1,koya</w>,2,816,408.0
20,1,ia</w>,40,746,18.65
21,1,ira</w>,1,736,736.0
22,1,ta</w>,64,731,11.421875
23,1,ai</w>,63,1386,22.0
24,0,le,56,634,11.321428571428571
25,1,ke,43,957,22.25581395348837
26,0,vei</w>,5,613,122.6
27,0,kaya</w>,2,596,298.0
28,0,ya,99,560,5.656565656565657
29,1,vu,76,743,9.776315789473683
30,0,ki,39,497,12.743589743589745
31,0,ki</w>,111,525,4.72972972972973
32,0,dou</w>,18,516,28.666666666666668
33,0,me</w>,4,499,124.75
34,0,ca,63,425,6.746031746031746
35,0,sa,78,473,6.064102564102564
36,0,vo,47,469,9.97872340425532
37,0,ega</w>,6,584,97.33333333333331
38,0,mu,46,422,9.173913043478262
39,1,ve,121,997,8.239669421487603
40,0,ti,47,402,8.553191489361701
41,0,mai</w>,2,384,192.0
42,0,no,21,381,18.142857142857142
43,0,dua</w>,6,370,61.66666666666666
44,0,la</w>,41,356,8.682926829268293
45,0,ca</w>,34,343,10.088235294117649
46,0,tu,52,314,6.038461538461538
47,0,lo,61,406,6.655737704918033
48,0,kei</w>,3,317,105.66666666666669
49,0,vei,90,316,3.511111111111111
50,0,lako</w>,2,316,158.0
51,0,sega</w>,2,301,150.5
52,0,nai</w>,4,300,75.0
53,0,le</w>,17,300,17.647058823529413
54,0,na,50,559,11.18
55,0,ro,35,255,7.285714285714286
56,0,li</w>,28,281,10.035714285714286
57,0,era</w>,4,281,70.25
58,0,tu</w>,16,280,17.5
59,0,vua</w>,2,276,138.0
60,0,is,49,379,7.73469387755102
61,0,wa</w>,35,258,7.371428571428571
62,0,tama,8,251,31.375
63,0,kina</w>,5,250,50.0
64,0,qai</w>,2,249,124.5
65,0,li,70,281,4.014285714285714
66,0,oq,11,272,24.727272727272727
67,0,ni,49,240,4.8979591836734695
68,0,mudou</w>,16,238,14.875
69,0,va</w>,35,234,6.685714285714286
70,0,so,28,248,8.857142857142858
71,0,vi,47,243,5.170212765957447
72,0,ku,38,281,7.394736842105263
73,0,ti</w>,52,213,4.096153846153846
74,0,bu,41,185,4.512195121951219
75,0,tamata</w>,2,209,104.5
76,0,au</w>,42,533,12.69047619047619
77,0,oqo</w>,2,201,100.5
78,0,vu</w>,22,198,9.0
79,0,rau</w>,14,198,14.142857142857142
80,0,rai,10,178,17.8
81,0,ena</w>,8,231,28.875
82,0,lu,37,159,4.297297297297297
83,0,wa,56,223,3.982142857142857
84,0,tau,25,153,6.12
85,0,se</w>,11,184,16.727272727272727
86,0,kemudou</w>,1,184,184.0
87,0,tiko</w>,4,183,45.75
88,0,au,110,552,5.0181818181818185
89,0,tou</w>,10,176,17.6
90,0,vosa</w>,1,172,172.0
91,0,si,38,204,5.368421052631579
92,0,taka</w>,49,165,3.36734693877551
93,0,kec,3,159,53.0
94,0,kau,7,122,17.428571428571427
95,0,jis,1,151,151.0
96,0,jisu</w>,1,151,151.0
97,0,re,33,102,3.090909090909091
98,0,lai</w>,16,149,9.3125
99,0,vaka</w>,10,148,14.8
100,0,lew,17,215,12.647058823529411
101,0,go,15,141,9.4
102,0,lega</w>,3,143,47.66666666666666
103,0,gi</w>,21,142,6.761904761904762
104,0,ratou</w>,5,140,28.0
105,0,kecega</w>,1,140,140.0
106,0,nona</w>,1,138,138.0
107,0,vale</w>,5,137,27.4
108,0,qa</w>,8,137,17.125
109,0,ke</w>,9,137,15.22222222222222
110,0,mo</w>,2,136,68.0
111,0,talega</w>,1,135,135.0
112,0,mata,27,151,5.592592592592593
113,0,levu</w>,6,133,22.166666666666668
114,0,tani</w>,6,132,22.0
115,0,dra</w>,17,132,7.764705882352941
116,0,vina,13,121,9.307692307692308
117,0,lou</w>,2,130,65.0
118,0,to,50,294,5.88
119,0,ro</w>,15,129,8.6
120,0,ri</w>,20,127,6.35
121,0,raica</w>,2,126,63.0
122,0,ga,35,190,5.428571428571429
123,0,loma,23,124,5.391304347826087
124,0,do,40,603,15.075
125,0,lewe</w>,2,124,62.0
126,0,vata</w>,6,123,20.5
127,0,sara</w>,2,123,61.5
128,0,taki</w>,53,123,2.320754716981132
129,0,cu,20,115,5.75
130,0,kalou</w>,1,119,119.0
131,0,ci</w>,22,119,5.409090909090909
132,0,vi</w>,30,118,3.933333333333333
133,0,tale</w>,1,117,117.0
134,0,be,17,126,7.411764705882353
135,0,ma</w>,24,116,4.833333333333333
136,0,cake</w>,4,111,27.75
137,0,tura,3,109,36.333333333333336
138,0,te,17,127,7.470588235294118
139,0,ru,27,147,5.444444444444445
140,0,turaga</w>,2,106,53.0
141,0,lu</w>,22,103,4.681818181818182
142,0,di,13,91,7.0
143,0,so</w>,11,110,10.0
144,0,da</w>,11,102,9.272727272727272
145,0,ce,13,240,18.46153846153846
146,0,te</w>,10,101,10.1
147,0,su,34,106,3.117647058823529
148,0,se,34,403,11.852941176470589
149,0,cava</w>,5,99,19.8
150,0,vuqa</w>,2,98,49.0
151,0,kila</w>,4,98,24.5
152,0,pe,12,97,8.083333333333334
153,0,yac,13,133,10.23076923076923
154,0,ni-,28,95,3.392857142857143
155,0,-ni-,28,95,3.392857142857143
156,0,tuku,5,75,15.0
157,0,kua</w>,2,93,46.5
158,0,kakua</w>,1,92,92.0
159,0,bu</w>,5,92,18.4
160,0,’u</w>,3,91,30.33333333333333
161,0,sai,3,91,30.33333333333333
162,0,me,12,98,8.166666666666666
163,0,vinaka</w>,6,90,15.0
164,0,ba,36,119,3.305555555555556
165,0,siga</w>,6,88,14.666666666666666
166,0,ku</w>,12,87,7.25
167,0,dau,49,86,1.7551020408163265
168,0,bi,18,79,4.388888888888889
169,0,iko</w>,6,268,44.66666666666666
170,0,rawa</w>,5,84,16.8
171,0,qa,20,323,16.15
172,0,lia</w>,11,84,7.636363636363637
173,0,dra,25,133,5.32
174,0,lo</w>,10,81,8.1
175,0,yaco</w>,1,80,80.0
176,0,taro,7,80,11.428571428571429
177,0,re</w>,13,80,6.153846153846154
178,0,mu</w>,20,80,4.0
179,0,rogo,5,72,14.4
180,0,pa,18,85,4.722222222222222
181,0,qu</w>,18,79,4.388888888888889
182,0,ru</w>,11,74,6.727272727272728
183,0,eso</w>,1,73,73.0
184,0,vakata,26,123,4.730769230769231
185,0,peli</w>,2,72,36.0
186,0,lai,4,34,8.5
187,0,ci,25,67,2.68
188,0,oni</w>,10,78,7.8
189,0,ne</w>,10,71,7.1
190,0,van,6,77,12.833333333333334
191,0,vanua</w>,4,70,17.5
192,0,ve</w>,8,70,8.75
193,0,tisai,1,69,69.0
194,0,tisaipeli</w>,1,69,69.0
195,0,yani</w>,1,68,68.0
196,0,lewa</w>,9,68,7.555555555555555
197,0,mi</w>,13,66,5.076923076923077
198,0,kana</w>,7,66,9.428571428571429
199,0,su</w>,9,216,24.0
200,0,bo,23,60,2.608695652173913
201,0,solia</w>,1,64,64.0
202,0,rua</w>,7,64,9.142857142857142
203,0,kevaka</w>,1,63,63.0
204,0,rogoca</w>,2,62,31.0
205,0,nodra</w>,1,61,61.0
206,0,muri</w>,4,60,15.0
207,0,mate</w>,2,59,29.5
208,0,da,73,149,2.041095890410959
209,0,vuku</w>,2,58,29.0
210,0,nu,17,121,7.117647058823529
211,0,dina</w>,4,58,14.5
212,0,muni</w>,6,57,9.5
213,0,ita</w>,14,87,6.214285714285714
214,0,drau</w>,8,56,7.0
215,0,caka,2,41,20.5
216,0,tukuna</w>,2,54,27.0
217,0,luve</w>,1,54,54.0
218,0,curu</w>,2,54,27.0
219,0,vuna,7,53,7.571428571428571
220,0,beka</w>,2,53,26.5
221,0,kau</w>,3,52,17.333333333333332
222,0,yalewa</w>,6,51,8.5
223,0,vakama,18,53,2.9444444444444446
224,0,sobu</w>,1,51,51.0
225,0,du,17,405,23.823529411764707
226,0,ceg,9,191,21.22222222222222
227,0,tarogi</w>,3,50,16.666666666666668
228,0,kei,3,50,16.666666666666668
229,0,vakalevu</w>,1,49,49.0
230,0,ris,3,48,16.0
231,0,ne,13,67,5.153846153846154
232,0,kauta</w>,1,48,48.0
233,0,we,12,50,4.166666666666667
234,0,nu</w>,9,47,5.222222222222222
235,0,mada</w>,2,49,24.5
236,0,mo,9,58,6.444444444444445
237,0,liga,9,47,5.222222222222222
238,0,kitaka</w>,3,47,15.666666666666666
239,0,gau,2,47,23.5
240,0,vola</w>,2,46,23.0
241,0,nitu</w>,2,46,23.0
242,0,matanitu</w>,2,46,23.0
243,0,vuvu,3,45,15.0
244,0,je,4,45,11.25
245,0,biu,3,44,14.666666666666666
246,0,gi,10,41,4.1
247,0,to</w>,7,43,6.142857142857143
248,0,ri,35,103,2.942857142857143
249,0,gone</w>,2,43,21.5
250,0,vuvuli</w>,2,42,21.0
251,0,vakabu,5,42,8.4
252,0,vala,3,3,1.0
253,0,koro</w>,3,42,14.0
254,0,iratou</w>,1,42,42.0
255,0,bau,4,42,10.5
256,0,veika</w>,1,41,41.0
257,0,ka’u</w>,1,41,41.0
258,0,cegu</w>,4,41,10.25
259,0,vole,4,45,11.25
260,0,vakatau,7,40,5.714285714285714
261,0,vakasa,11,40,3.636363636363636
262,0,vakai,18,57,3.1666666666666665
263,0,vala</w>,2,40,20.0
264,0,lagi</w>,3,40,13.333333333333334
265,0,kai</w>,4,64,16.0
266,0,drai</w>,3,40,13.333333333333334
267,0,valavala</w>,1,39,39.0
268,0,rawa,3,33,11.0
269,0,lomalagi</w>,2,39,19.5
270,0,kemuni</w>,1,39,39.0
271,0,caka</w>,5,39,7.8
272,0,cei</w>,1,39,39.0
273,0,yalo,16,43,2.6875
274,0,soli</w>,3,40,13.333333333333334
275,0,raici</w>,3,38,12.666666666666666
276,0,lailai</w>,3,38,12.666666666666666
277,0,gu,21,48,2.2857142857142856
278,0,fa,4,38,9.5
279,0,co,10,50,5.0
280,0,yalo</w>,1,37,37.0
281,0,voleka</w>,1,37,37.0
282,0,rai</w>,7,77,11.0
283,0,dodo,4,37,9.25
284,0,cakava</w>,1,37,37.0
285,0,voro</w>,1,36,36.0
286,0,tevoro</w>,1,36,36.0
287,0,oti</w>,9,62,6.888888888888889
288,0,nonai</w>,1,36,36.0
289,0,koi</w>,1,36,36.0
290,0,eratou</w>,1,36,36.0
291,0,yaca,7,35,5.0
292,0,vakabau,3,35,11.666666666666666
293,0,sana</w>,3,35,11.666666666666666
294,0,ligana</w>,3,35,11.666666666666666
295,0,joni</w>,1,35,35.0
296,0,biuta</w>,2,35,17.5
297,0,bete</w>,3,35,11.666666666666666
298,0,vuni,3,38,12.666666666666666
299,0,vosa,9,34,3.7777777777777777
300,0,vakabauta</w>,2,34,17.0
301,0,vo</w>,5,34,6.8
302,0,risi</w>,2,34,17.0
303,0,nomu</w>,1,34,34.0
304,0,me’u</w>,1,34,34.0
305,0,liu</w>,3,34,11.333333333333334
306,0,gauna</w>,1,34,34.0
307,0,bula</w>,3,42,14.0
308,0,yasana</w>,2,33,16.5
309,0,vakabulai</w>,3,33,11.0
310,0,vakaca,13,35,2.6923076923076925
311,0,kena</w>,1,33,33.0
312,0,kauwa</w>,3,33,11.0
313,0,farisi</w>,1,33,33.0
314,0,wai</w>,10,52,5.2
315,0,vakaro,7,34,4.857142857142857
316,0,via</w>,8,32,4.0
317,0,loma</w>,4,32,8.0
318,0,kata</w>,4,32,8.0
319,0,voli</w>,2,31,15.5
320,0,teki,2,31,15.5
321,0,masu</w>,2,31,15.5
322,0,dua,3,16,5.333333333333333
323,0,waqa</w>,3,30,10.0
324,0,vunivola</w>,1,30,30.0
325,0,vunau,4,30,7.5
326,0,vakavuvuli</w>,1,30,30.0
327,0,tai</w>,4,39,9.75
328,0,mai,7,30,4.285714285714286
329,0,kenai</w>,1,30,30.0
330,0,kaukauwa</w>,3,33,11.0
331,0,dodonu</w>,3,30,10.0
332,0,ulu,12,36,3.0
333,0,tauvata</w>,2,29,14.5
334,0,sulu</w>,3,36,12.0
335,0,pita</w>,1,29,29.0
336,0,nanu,5,29,5.8
337,0,kune,4,33,8.25
338,0,kali,7,38,5.428571428571429
339,0,dre,8,12,1.5
340,0,yau</w>,4,28,7.0
341,0,vakato,7,28,4.0
342,0,taura</w>,1,28,28.0
343,0,ini</w>,17,51,3.0
344,0,vakateki,1,27,27.0
345,0,vakatekivu</w>,1,27,27.0
346,0,vakace,7,49,7.0
347,0,tala</w>,4,30,7.5
348,0,rawata</w>,1,27,27.0
349,0,keitou</w>,1,27,27.0
