id,cluster,subword,word_types,cum_freq,idiosincracy_index
0,1,aa,735,3066,4.171428571428572
1,1,pa,564,2972,5.2695035460992905
2,1,im,384,2326,6.057291666666667
3,1,aa</w>,122,2249,18.4344262295082
4,1,na</w>,234,2033,8.688034188034187
5,1,ra,258,1924,7.457364341085271
6,1,pu,163,1516,9.300613496932517
7,1,al,624,2140,3.4294871794871797
8,1,go,52,1506,28.96153846153846
9,1,re</w>,246,1497,6.085365853658536
10,1,ad,255,1669,6.545098039215686
11,1,pi,235,1482,6.306382978723405
12,2,sa</w>,119,1383,11.621848739495798
13,2,ra</w>,189,1305,6.904761904761905
14,2,imi</w>,161,1239,7.695652173913044
15,1,ni,107,2104,19.66355140186916
16,2,on,103,1405,13.640776699029129
17,2,me</w>,152,1084,7.131578947368421
18,2,-pa,194,1013,5.221649484536083
19,2,me,167,877,5.251497005988024
20,1,mi</w>,205,2242,10.93658536585366
21,2,go</w>,6,991,165.16666666666666
22,2,-para</w>,177,984,5.559322033898305
23,2,rab,32,849,26.53125
24,2,nim,42,960,22.857142857142858
25,2,pa</w>,93,825,8.870967741935484
26,2,es,90,1118,12.422222222222222
27,2,ag,105,1276,12.152380952380952
28,2,ri</w>,93,760,8.172043010752688
29,2,pe</w>,139,757,5.446043165467626
30,2,pe,183,742,4.054644808743169
31,2,umi</w>,30,942,31.4
32,2,ru,229,666,2.908296943231441
33,1,na,499,1639,3.284569138276553
34,2,pu</w>,25,655,26.2
35,2,yes,7,645,92.14285714285714
36,2,la,286,1192,4.167832167832168
37,2,goa</w>,3,616,205.33333333333331
38,2,re,126,587,4.658730158730159
39,2,aan,76,825,10.855263157894736
40,2,simi</w>,85,688,8.094117647058823
41,2,ri,150,595,3.966666666666667
42,2,agaa</w>,3,566,188.66666666666663
43,2,ma,326,1315,4.033742331288344
44,2,ya,147,830,5.64625850340136
45,2,mad,33,518,15.696969696969695
46,2,nipu,5,514,102.8
47,2,te,92,510,5.543478260869565
48,2,rabu</w>,2,509,254.5
49,2,ke,106,541,5.10377358490566
50,2,med,42,483,11.5
51,2,alo</w>,95,502,5.28421052631579
52,2,ia</w>,104,514,4.9423076923076925
53,2,ne</w>,66,811,12.287878787878787
54,0,pag,42,454,10.80952380952381
55,2,oa</w>,66,1018,15.424242424242424
56,0,pua</w>,4,393,98.25
57,2,ab,148,1292,8.72972972972973
58,0,one</w>,11,386,35.09090909090909
59,0,ne,46,428,9.304347826086955
60,2,wa,66,534,8.090909090909092
61,0,pare</w>,18,345,19.166666666666668
62,0,gore</w>,3,334,111.33333333333331
63,0,uri</w>,24,451,18.791666666666668
64,0,gu,25,335,13.4
65,2,sa,228,683,2.995614035087719
66,0,-na</w>,41,324,7.902439024390244
67,0,nipu</w>,1,313,313.0
68,0,u-para</w>,49,365,7.448979591836735
69,0,ora</w>,2,308,154.0
70,0,kone</w>,2,307,153.5
71,0,gupa</w>,2,304,152.0
72,0,page</w>,2,300,150.0
73,0,ina</w>,74,428,5.783783783783784
74,0,raa,67,309,4.611940298507463
75,0,mo</w>,6,295,49.16666666666666
76,0,ni</w>,27,295,10.925925925925926
77,0,yesumi</w>,1,288,288.0
78,0,onaa</w>,1,288,288.0
79,0,madaa</w>,1,287,287.0
80,0,lalo</w>,18,283,15.72222222222222
81,2,mu,51,654,12.823529411764708
82,0,pal,74,290,3.918918918918919
83,0,yesu</w>,2,275,137.5
84,0,raburi</w>,1,273,273.0
85,0,nipuna</w>,1,270,270.0
86,0,gote,7,268,38.285714285714285
87,0,lake,36,315,8.75
