id,cluster,subword,word_types,cum_freq,idiosincracy_index
0,1,uu,644,1837,2.8524844720496896
1,1,te,186,1563,8.403225806451612
2,1,ha,445,1427,3.206741573033708
3,1,ge,315,1378,4.374603174603174
4,1,ii,376,1344,3.574468085106383
5,1,ai,237,1141,4.814345991561181
6,1,ar,362,1304,3.6022099447513813
7,1,hu,298,1140,3.825503355704698
8,2,ch,325,919,2.8276923076923075
9,2,ni</w>,9,775,86.11111111111111
10,2,de,251,748,2.9800796812749004
11,2,ol,177,745,4.209039548022599
12,2,he,230,736,3.2
13,2,aa,381,828,2.173228346456693
14,2,ye,126,664,5.26984126984127
15,2,iig</w>,143,680,4.755244755244755
16,2,bai,60,670,11.166666666666666
17,2,oo,216,590,2.7314814814814814
18,2,sa,321,772,2.4049844236760123
19,2,da,328,793,2.417682926829268
20,2,nd</w>,102,584,5.725490196078432
21,2,la,288,630,2.1875
22,2,ch</w>,114,571,5.008771929824562
23,2,su,144,659,4.576388888888889
24,2,bu,117,556,4.752136752136752
25,2,gu,311,595,1.9131832797427653
26,2,tuu,35,483,13.8
27,2,na,130,748,5.753846153846154
28,2,ta,255,530,2.07843137254902
29,2,ne,113,436,3.8584070796460175
30,2,le,195,454,2.3282051282051284
31,2,se,201,423,2.1044776119402986
32,2,ga,341,790,2.3167155425219943
33,2,on</w>,102,448,4.392156862745098
34,2,ter</w>,10,419,41.9
35,2,iin</w>,132,394,2.984848484848485
36,2,bol,51,392,7.686274509803922
37,2,or,245,554,2.2612244897959184
38,2,ir,149,405,2.718120805369128
39,2,har,79,366,4.632911392405063
40,2,chi,142,415,2.922535211267605
41,2,av,188,521,2.771276595744681
42,0,yesu,17,356,20.94117647058824
43,0,niig</w>,31,355,11.451612903225806
44,0,ta</w>,6,332,55.333333333333336
45,2,tu,142,813,5.725352112676056
46,2,ni,114,716,6.280701754385965
47,2,gui</w>,172,327,1.9011627906976745
48,2,og,144,332,2.305555555555556
49,2,on,146,330,2.26027397260274
50,2,uu</w>,42,526,12.523809523809524
51,0,nii</w>,43,304,7.069767441860465
52,0,yg</w>,130,303,2.330769230769231
53,2,re,130,384,2.953846153846154
54,2,il,229,619,2.703056768558952
55,0,san</w>,86,276,3.2093023255813957
56,0,me,94,270,2.872340425531915
57,0,gee,99,260,2.6262626262626263
58,0,yesus</w>,10,259,25.9
59,0,oo</w>,90,257,2.855555555555556
60,2,in</w>,194,715,3.685567010309278
61,0,nar</w>,3,254,84.66666666666667
62,0,gej</w>,8,250,31.25
63,2,sh,234,477,2.0384615384615383
64,0,ted</w>,4,232,58.0
65,2,ari,108,444,4.111111111111111
66,0,yn</w>,78,229,2.935897435897436
67,2,ee</w>,250,608,2.432
68,0,gaa,99,220,2.2222222222222223
69,0,ne</w>,41,219,5.341463414634147
70,0,nar,14,211,15.071428571428571
71,0,na</w>,57,211,3.701754385964912
72,2,za,141,374,2.652482269503546
73,2,ho,221,487,2.2036199095022626
74,2,uul,211,344,1.6303317535545023
75,2,er</w>,101,745,7.376237623762377
76,0,bi,62,233,3.758064516129033
77,2,ur,242,688,2.84297520661157
78,2,ts,269,464,1.724907063197026
79,2,ba,154,943,6.123376623376624
80,0,haa,89,194,2.1797752808988764
81,0,laa</w>,45,181,4.022222222222222
82,0,tei</w>,49,180,3.673469387755102
83,0,jee</w>,85,178,2.094117647058824
84,0,es</w>,70,200,2.857142857142857
85,2,do,163,329,2.01840490797546
86,2,am,116,427,3.681034482758621
87,0,ze,62,187,3.0161290322580645
88,0,oor,44,167,3.7954545454545454
89,0,yu,22,283,12.863636363636363
90,0,tuuniig</w>,2,161,80.5
91,0,ny</w>,46,164,3.565217391304348
92,0,yav,42,154,3.6666666666666665
93,0,sen</w>,59,153,2.593220338983051
