id,cluster,subword,word_types,cum_freq,idiosincracy_index
0,1,no</w>,108,1253,11.601851851851851
1,1,me</w>,19,1139,59.94736842105263
2,1,ko,128,1096,8.5625
3,1,ke,75,906,12.08
4,1,wo,182,887,4.873626373626373
5,1,ni</w>,59,886,15.016949152542374
6,1,te</w>,44,803,18.25
7,1,ny,180,778,4.322222222222222
8,1,en</w>,23,745,32.391304347826086
9,1,er,165,811,4.915151515151515
10,1,bi,39,681,17.46153846153846
11,1,ame</w>,2,671,335.5
12,1,do,64,668,10.4375
13,1,gi</w>,170,606,3.5647058823529414
14,1,de</w>,19,596,31.36842105263158
15,1,ko</w>,78,588,7.538461538461538
16,1,to</w>,73,584,8.0
17,1,ba,57,555,9.736842105263158
18,1,ka,76,538,7.078947368421052
19,1,kede</w>,1,524,524.0
20,1,ka</w>,32,522,16.3125
21,1,ye,125,669,5.352
22,2,mo,39,508,13.025641025641026
23,1,ye</w>,50,565,11.3
24,2,gi,26,489,18.807692307692307
25,2,bino</w>,6,471,78.5
26,2,wu,18,455,25.27777777777778
27,2,wa,124,437,3.524193548387097
28,2,da,29,440,15.172413793103448
29,2,ca,90,429,4.766666666666667
30,2,ma,66,425,6.4393939393939394
31,2,kob,25,415,16.6
32,2,ce,47,501,10.659574468085106
33,1,ro</w>,117,625,5.3418803418803416
34,2,jo</w>,4,391,97.75
35,2,gin</w>,3,389,129.66666666666666
36,2,nu</w>,26,387,14.884615384615383
37,2,ti,106,354,3.339622641509434
38,2,pi,40,365,9.125
39,2,ku,20,353,17.65
40,2,ŋo</w>,44,352,8.0
41,2,wunu</w>,1,348,348.0
42,2,ere</w>,92,441,4.793478260869565
43,2,be,40,358,8.95
44,2,cu</w>,4,333,83.25
45,2,nyo</w>,39,303,7.769230769230769
46,2,baŋ,13,289,22.23076923076923
47,2,tye</w>,6,286,47.66666666666666
48,2,mom</w>,1,283,283.0
49,2,lo</w>,48,266,5.541666666666667
50,2,ki,35,266,7.6
51,1,re</w>,128,605,4.7265625
52,2,mi,58,262,4.517241379310345
53,2,ci,52,262,5.038461538461538
54,1,on,193,754,3.906735751295337
55,2,oko</w>,26,300,11.538461538461538
56,2,mo</w>,49,251,5.122448979591836
57,2,wu</w>,108,250,2.314814814814815
58,2,lo,69,258,3.739130434782609
59,2,yecu</w>,2,241,120.5
60,2,do</w>,31,238,7.67741935483871
