id,cluster,subword,word_types,cum_freq,idiosincracy_index
0,1,tä</w>,3,3252,1084.0
1,1,lh,458,3080,6.724890829694323
2,1,ch,578,3028,5.238754325259516
3,1,we,192,2538,13.21875
4,1,wet</w>,16,1930,120.625
5,1,le,431,1761,4.08584686774942
6,1,hä,177,2137,12.073446327683616
7,2,'a,240,1232,5.133333333333334
8,2,lha,154,1208,7.844155844155843
9,1,hi,336,1791,5.330357142857143
10,2,ye,322,1185,3.680124223602484
11,1,ha,481,2390,4.968814968814969
12,2,ts,232,1097,4.728448275862069
13,2,me,75,964,12.853333333333332
14,2,ta,238,833,3.5
15,2,ya,238,783,3.2899159663865545
16,2,ich,143,980,6.853146853146853
17,2,n',189,837,4.428571428571429
18,2,es,79,770,9.746835443037977
19,2,ok</w>,12,713,59.41666666666666
20,2,en</w>,206,841,4.08252427184466
21,2,ne,138,653,4.731884057971015
22,2,te,192,693,3.609375
23,2,yok</w>,3,615,205.0
24,2,ma,51,590,11.568627450980392
25,2,mel</w>,4,575,143.75
26,2,lhä,51,572,11.215686274509803
27,2,ka,176,556,3.159090909090909
28,2,che</w>,94,661,7.031914893617022
29,2,fw,238,923,3.8781512605042017
30,2,ye</w>,101,538,5.326732673267327
31,2,w',137,572,4.175182481751825
32,2,ús</w>,2,532,266.0
33,2,jes,2,532,266.0
34,2,jesús</w>,1,531,531.0
35,2,ih,124,818,6.596774193548387
36,2,yej</w>,70,508,7.257142857142857
37,2,lhamel</w>,2,501,250.5
38,2,la,143,500,3.4965034965034967
39,2,te</w>,42,494,11.761904761904765
40,2,t',218,841,3.8577981651376154
41,2,häp</w>,1,486,486.0
42,2,ni,138,700,5.072463768115942
43,2,n'o,105,480,4.571428571428571
44,2,wo,114,570,5.0
45,2,pe</w>,63,429,6.809523809523809
46,2,y',80,475,5.9375
47,2,chi,18,446,24.77777777777778
48,2,el,150,689,4.593333333333334
49,0,wu,66,400,6.0606060606060606
50,0,m'a,15,390,26.0
51,2,hen</w>,115,420,3.652173913043478
