id,cluster,subword,word_types,cum_freq,idiosincracy_index
0,1,ند</w>,228,1243,5.451754385964913
1,1,به</w>,9,1052,116.88888888888889
2,1,ان</w>,237,1047,4.417721518987341
3,1,را</w>,11,1017,92.45454545454544
4,1,می,321,971,3.0249221183800623
5,1,ای,180,799,4.438888888888889
6,1,می‌,274,802,2.927007299270073
7,1,دا,224,917,4.09375
8,1,ود</w>,33,762,23.09090909090909
9,1,از</w>,10,654,65.4
10,1,ید</w>,195,750,3.8461538461538463
11,1,وا,135,665,4.925925925925926
12,2,در</w>,17,613,36.05882352941177
13,2,كه</w>,10,596,59.6
14,2,یس,42,595,14.166666666666666
15,1,ان,280,734,2.6214285714285714
16,2,او</w>,5,562,112.4
17,1,رد,127,625,4.921259842519685
18,2,ای</w>,155,538,3.470967741935484
19,2,آن,21,459,21.857142857142858
20,2,یسی</w>,11,455,41.36363636363637
21,2,رد</w>,53,440,8.30188679245283
22,2,عیسی</w>,10,447,44.7
23,2,رو,101,477,4.7227722772277225
24,2,ست</w>,46,467,10.152173913043478
25,2,ها</w>,82,392,4.780487804878049
26,2,فر,79,399,5.050632911392405
27,2,بر,108,431,3.990740740740741
28,2,ست,131,389,2.969465648854962
29,2,با,123,517,4.203252032520325
30,2,بی,101,351,3.4752475247524752
31,2,خوا,46,327,7.108695652173913
32,2,دند</w>,57,468,8.210526315789474
33,2,ده</w>,78,390,5.0
34,2,آن</w>,5,308,61.6
35,2,است</w>,20,294,14.7
36,2,ام,77,313,4.064935064935065
37,2,ما</w>,8,271,33.875
38,2,ه‌,143,270,1.888111888111888
39,2,خواه,26,267,10.26923076923077
40,2,فت</w>,15,266,17.733333333333334
41,2,دی,63,309,4.904761904761905
42,2,خود</w>,2,254,127.0
43,2,فت,57,248,4.350877192982456
44,2,با</w>,3,246,82.0
45,2,این</w>,4,239,59.75
46,1,را,173,646,3.7341040462427744
47,2,یا,125,416,3.328
48,0,شد</w>,12,220,18.33333333333333
49,2,در,66,235,3.560606060606061
50,2,ام</w>,39,234,6.0
51,0,آنها</w>,3,204,68.0
52,0,هٔ</w>,65,203,3.123076923076923
53,2,تی</w>,55,237,4.3090909090909095
54,2,شا,66,342,5.181818181818182
55,2,هم,49,241,4.918367346938775
56,0,شما</w>,3,196,65.33333333333333
57,0,فرم,16,197,12.3125
58,0,وق,19,193,10.157894736842104
59,0,بود</w>,4,187,46.75
60,2,ار,161,494,3.0683229813664594
61,0,یم</w>,59,202,3.4237288135593222
62,0,من</w>,6,178,29.666666666666668
63,0,ّا</w>,6,175,29.166666666666668
64,0,امّا</w>,5,174,34.8
65,2,گر,72,291,4.041666666666667
66,0,فرمود</w>,1,158,158.0
67,0,ردند</w>,14,151,10.785714285714286
68,0,دا</w>,11,156,14.181818181818182
69,0,چه</w>,6,154,25.666666666666668
70,0,كن,36,209,5.805555555555555
71,0,می‌ک,22,153,6.954545454545454
72,0,ور</w>,32,153,4.78125
73,0,مرد,9,153,17.0
74,0,آم,28,152,5.428571428571429
75,1,خو,99,728,7.353535353535354
76,0,تو</w>,5,149,29.8
77,0,برای</w>,2,144,72.0
78,0,كرد</w>,3,138,46.0
79,0,گر</w>,9,142,15.77777777777778
80,0,خواهد</w>,5,142,28.4
81,0,گو,37,144,3.891891891891892
82,0,گفت</w>,2,138,69.0
83,0,وقتی</w>,7,137,19.571428571428573
84,0,که</w>,17,142,8.352941176470589
85,0,های</w>,82,132,1.6097560975609757
86,0,یا</w>,13,149,11.461538461538462
87,0,داد</w>,4,125,31.25
88,0,شت,59,133,2.254237288135593
89,0,ری</w>,77,186,2.415584415584416
90,0,تا</w>,5,128,25.6
91,0,ال,57,157,2.754385964912281
92,0,فتند</w>,10,121,12.1
93,0,زد</w>,16,121,7.5625
94,2,ار</w>,67,250,3.7313432835820897
95,0,دان,47,125,2.6595744680851063
96,0,آنان</w>,1,118,118.0
97,0,رس,52,219,4.211538461538462
98,0,خدا</w>,1,116,116.0
99,0,ون</w>,18,193,10.72222222222222
100,2,ین</w>,48,452,9.416666666666666
101,2,بو,27,307,11.37037037037037
102,0,بر</w>,9,110,12.22222222222222
103,0,پا,44,168,3.8181818181818175
104,0,سر</w>,7,109,15.571428571428571
105,0,هم</w>,11,118,10.727272727272728
106,0,شان</w>,16,108,6.75
107,0,مع,22,107,4.863636363636363
108,0,پی,36,117,3.25
109,0,پس</w>,6,106,17.666666666666668
110,0,شت</w>,24,105,4.375
111,2,نا,99,391,3.949494949494949
112,0,اید</w>,23,101,4.391304347826087
113,0,گرد,27,133,4.925925925925926
114,0,ده,79,178,2.2531645569620253
115,0,نو,55,130,2.363636363636364
116,0,عل,24,102,4.25
117,0,مردم</w>,1,97,97.0
118,0,مان,48,132,2.75
119,0,زن,32,116,3.625
120,1,ی‌,316,918,2.9050632911392404
121,2,ما,142,474,3.3380281690140845
122,0,سر,46,110,2.391304347826087
123,0,كردند</w>,2,85,42.5
124,0,ستا,33,129,3.909090909090909
125,0,جا</w>,7,89,12.714285714285714
126,2,سی</w>,19,544,28.63157894736842
127,0,بودند</w>,1,86,86.0
128,0,نگ,49,121,2.4693877551020407
129,0,گردان</w>,4,85,21.25
130,0,چی,15,100,6.666666666666667
131,2,ور,89,261,2.932584269662921
132,0,خت,44,95,2.159090909090909
133,0,هر</w>,7,82,11.714285714285714
134,0,ایشان</w>,4,81,20.25
135,0,نمی‌,58,97,1.6724137931034482
136,0,لا,62,191,3.0806451612903225
137,0,شاگردان</w>,1,80,80.0
138,0,بع,9,84,9.333333333333334
139,0,مان</w>,23,114,4.956521739130435
140,0,سا,65,212,3.261538461538461
141,0,خان,17,76,4.470588235294118
142,0,یك,11,79,7.181818181818182
143,0,ه‌ای</w>,39,75,1.9230769230769231
144,0,نش,29,92,3.1724137931034484
145,0,هست,7,74,10.571428571428571
146,0,روز</w>,3,74,24.666666666666668
147,0,دار,36,138,3.8333333333333335
148,0,ی‌که</w>,9,80,8.88888888888889
149,0,هی,31,137,4.419354838709677
150,0,رون</w>,4,73,18.25
151,0,گفتند</w>,4,74,18.5
152,0,شده</w>,2,73,36.5
153,0,گذ,31,74,2.3870967741935485
154,0,نزد</w>,1,70,70.0
155,0,نان</w>,18,209,11.61111111111111
156,0,نه</w>,26,121,4.653846153846154
157,0,طر,17,90,5.294117647058823
158,0,شود</w>,5,69,13.8
159,0,زی,30,114,3.8
160,0,جوا,8,71,8.875
161,0,ایی</w>,38,68,1.7894736842105263
162,0,كرد,20,163,8.15
163,0,خدا,8,71,8.875
164,0,حا,25,108,4.32
165,0,دی</w>,25,106,4.24
166,0,هی</w>,22,94,4.2727272727272725
167,0,هر,18,80,4.444444444444445
168,0,بیرون</w>,1,66,66.0
169,0,بز,10,69,6.9
170,0,رفت</w>,7,98,14.0
171,0,یدند</w>,26,99,3.807692307692308
172,0,پسر</w>,2,64,32.0
