id,cluster,subword,word_types,cum_freq,idiosincracy_index
0,2,an,1462,5189,3.549247606019152
1,2,ny</w>,623,4561,7.321027287319422
2,1,in,645,2619,4.06046511627907
3,1,am,416,2033,4.887019230769231
4,1,ar,419,1783,4.255369928400954
5,1,iz,123,1672,13.59349593495935
6,1,ah,350,1322,3.777142857142857
7,1,tr,339,1288,3.799410029498525
8,1,ka</w>,222,1285,5.788288288288288
9,1,any</w>,221,1232,5.574660633484163
10,1,di,111,1047,9.432432432432432
11,1,sy</w>,44,999,22.704545454545453
12,1,on,334,1319,3.9491017964071857
13,1,in’,146,962,6.589041095890411
14,1,ao</w>,116,884,7.620689655172414
15,1,tra</w>,182,867,4.763736263736264
16,1,eo</w>,134,857,6.395522388059701
17,1,az,118,818,6.932203389830509
18,1,ni,364,1296,3.56043956043956
19,1,dia</w>,6,818,136.33333333333334
20,1,ay</w>,59,797,13.508474576271189
21,1,dr,212,755,3.561320754716981
22,1,amin’,34,753,22.147058823529413
23,1,ho,134,917,6.843283582089552
24,1,izy</w>,36,703,19.52777777777778
25,1,fa</w>,20,686,34.3
26,1,ana</w>,250,649,2.596
27,1,at,329,1024,3.112462006079028
28,0,al,226,596,2.6371681415929205
29,1,,265,1047,3.950943396226415
30,0,oa</w>,41,604,14.731707317073171
31,0,ary</w>,16,586,36.625
32,0,av,187,538,2.877005347593583
33,0,ir,112,580,5.178571428571429
34,0,aka</w>,125,551,4.408
35,0,amin’ny</w>,5,488,97.6
36,0,eh,89,487,5.47191011235955
37,0,iny</w>,134,496,3.701492537313433
38,0,mp,175,602,3.44
39,0,ian,151,616,4.079470198675497
40,1,it,295,1056,3.5796610169491525
41,1,ak,295,992,3.3627118644067795
42,0,tsy</w>,26,486,18.692307692307693
43,0,ina</w>,158,427,2.7025316455696204
44,0,ol,106,434,4.09433962264151
45,0,ona</w>,65,407,6.2615384615384615
46,0,areo</w>,106,398,3.7547169811320753
47,0,no</w>,40,513,12.825
48,0,izay</w>,14,387,27.642857142857142
49,1,no,237,830,3.50210970464135
50,0,andr,108,434,4.018518518518518
51,0,azy</w>,1,367,367.0
52,0,hoe</w>,1,342,342.0
53,1,na</w>,533,1824,3.4221388367729837
54,0,je,28,328,11.714285714285714
55,0,ho</w>,18,444,24.666666666666668
56,1,ts,211,928,4.398104265402844
57,0,izany</w>,18,318,17.666666666666668
58,0,or,139,332,2.3884892086330933
59,0,itra</w>,69,366,5.304347826086956
60,0,il,83,361,4.349397590361446
61,0,an’,175,330,1.8857142857142857
62,0,as,106,297,2.80188679245283
