id,cluster,subword,word_types,cum_freq,idiosincracy_index
0,2,sh,1361,5528,4.061719324026451
1,2,ch,1454,4040,2.778541953232462
2,2,pa,1338,3886,2.904334828101644
3,2,ca</w>,965,4246,4.4
4,2,na,1144,3666,3.2045454545454546
5,2,ca,857,3060,3.570595099183197
6,2,cu,982,2959,3.013238289205703
7,0,mi</w>,963,2572,2.670820353063344
8,0,ta,820,2175,2.652439024390244
9,0,ma,756,2195,2.903439153439153
10,0,na</w>,191,2115,11.073298429319372
11,0,ju,825,2083,2.524848484848485
12,0,cha,495,2013,4.066666666666666
13,0,ri,805,1897,2.356521739130435
14,0,ta</w>,448,1903,4.247767857142857
15,0,ll,784,1781,2.271683673469388
16,0,ni,172,1684,9.790697674418604
17,0,ng,591,1709,2.8917089678511
18,0,cuna,530,1456,2.7471698113207546
19,0,hu,765,2211,2.8901960784313725
20,0,rca</w>,257,1338,5.206225680933852
21,0,hua,451,1265,2.804878048780488
22,0,lla,544,1227,2.255514705882353
23,0,nd,396,1219,3.0782828282828283
24,0,pi,451,1184,2.625277161862528
25,0,ya,504,1182,2.345238095238096
26,0,pa</w>,212,1009,4.759433962264151
27,0,shpa</w>,207,975,4.710144927536232
28,0,ra,438,973,2.221461187214612
29,0,shpa,313,965,3.083067092651757
30,0,chi,513,939,1.8304093567251465
31,0,sh</w>,410,936,2.2829268292682925
32,0,pash</w>,379,877,2.3139841688654355
33,1,shi,107,857,8.009345794392523
34,0,us,521,1818,3.489443378119002
35,0,ui,377,969,2.570291777188329
36,1,es,64,797,12.453125
37,0,una,692,2201,3.180635838150289
38,1,pu,242,731,3.020661157024793
39,1,nda,251,682,2.717131474103585
40,1,jes,17,688,40.47058823529412
41,1,shna</w>,58,644,11.10344827586207
42,1,naju,290,736,2.537931034482759
43,1,tu,175,622,3.5542857142857143
44,1,paj</w>,123,614,4.991869918699187
45,1,taca</w>,177,613,3.463276836158192
46,1,jpi,213,611,2.868544600938967
47,1,pai,67,604,9.014925373134329
48,1,jesus,15,564,37.6
49,1,nga,222,543,2.445945945945946
50,1,ja,160,524,3.275
51,1,chai</w>,3,525,175.0
52,1,cang,72,529,7.347222222222222
53,1,ti,229,520,2.2707423580786026
54,1,shpami</w>,148,511,3.452702702702702
55,1,sha,218,500,2.293577981651376
56,1,chu,244,485,1.9877049180327868
57,1,shu,106,479,4.518867924528302
58,1,pi</w>,142,478,3.3661971830985915
59,1,chi</w>,159,475,2.9874213836477987
60,1,shina</w>,2,465,232.5
61,1,man</w>,139,461,3.316546762589928
62,0,al,419,1091,2.60381861575179
63,1,qui,194,454,2.3402061855670104
64,1,manda,149,444,2.9798657718120807
65,1,shca,252,471,1.869047619047619
66,1,tucu,107,456,4.261682242990654
67,1,mi,142,394,2.7746478873239435
68,1,nda</w>,73,412,5.6438356164383565
69,1,mu,255,518,2.031372549019608
70,1,rca,91,407,4.472527472527473
71,1,yacha,120,389,3.2416666666666667
72,1,jpimi</w>,97,377,3.88659793814433
73,1,ru,208,749,3.6009615384615383
74,1,ima,138,605,4.384057971014493
75,1,cashna</w>,10,383,38.3
76,1,ñu,124,485,3.911290322580645
77,1,jesusca</w>,1,364,364.0
78,0,gu,374,1161,3.1042780748663104
79,0,ash,445,2111,4.7438202247191015
80,1,tapash</w>,160,355,2.21875
81,1,jcuna,136,348,2.5588235294117645
82,1,runa,60,347,5.783333333333333
83,1,ña,131,363,2.7709923664122136
84,1,shca</w>,95,350,3.684210526315789
85,1,lla</w>,148,333,2.25
86,1,vi,142,333,2.3450704225352115
87,1,di,53,355,6.69811320754717
88,1,ita</w>,54,494,9.148148148148149
89,1,mb,123,304,2.4715447154471546
90,1,dio,21,302,14.38095238095238
91,1,nga</w>,125,349,2.792
92,1,cuna</w>,63,289,4.587301587301587
93,1,rcami</w>,12,278,23.166666666666668
94,1,ashta,17,326,19.176470588235293
95,1,jurca</w>,121,530,4.380165289256198
96,1,ricu,103,301,2.9223300970873787
97,1,nina,33,420,12.727272727272728
98,1,najurca</w>,79,320,4.050632911392405
99,1,ashtahua,4,251,62.75
100,1,chu</w>,143,250,1.7482517482517483
101,1,uichi</w>,71,280,3.943661971830986
102,1,shpaca</w>,85,248,2.9176470588235293
103,1,nlla,104,246,2.3653846153846154
104,1,usa,115,282,2.4521739130434783
105,1,rura,87,241,2.7701149425287355
106,1,causa,96,237,2.46875
107,1,canguna,27,226,8.37037037037037
108,1,ali,108,312,2.888888888888889
109,1,paicuna,18,220,12.22222222222222
110,1,dios,20,216,10.8
111,1,mba,87,224,2.574712643678161
112,1,en,48,221,4.604166666666667
113,1,rin</w>,26,214,8.23076923076923
114,1,nirca</w>,1,209,209.0
115,1,si,84,227,2.702380952380953
116,1,nmi</w>,123,198,1.6097560975609757
117,1,tami</w>,129,195,1.5116279069767442
118,1,te,36,191,5.305555555555555
119,1,tia,75,191,2.546666666666667
120,1,villa,75,188,2.506666666666667
121,1,shna,72,192,2.6666666666666665
122,1,sa,211,473,2.241706161137441
123,1,gen,29,183,6.310344827586207
124,1,cta,80,185,2.3125
125,1,gente,27,181,6.703703703703703
126,1,ngarin</w>,3,180,60.0
127,1,ri</w>,95,178,1.873684210526316
128,1,ashtahuangarin</w>,1,178,178.0
129,1,chashna</w>,2,175,87.5
130,1,shuj</w>,4,173,43.25
131,1,ninanda</w>,1,171,171.0
132,1,manda</w>,58,184,3.1724137931034484
133,1,paj,80,191,2.3875
134,1,paipaj</w>,1,166,166.0
135,1,nishpa</w>,1,165,165.0
136,1,cunata</w>,69,240,3.4782608695652173
137,1,usha,76,201,2.6447368421052637
138,1,huan</w>,72,237,3.2916666666666665
139,1,shamu,63,190,3.015873015873016
140,1,ui</w>,81,290,3.580246913580247
141,1,llami</w>,119,189,1.588235294117647
142,1,cha</w>,45,157,3.488888888888889
143,1,can,193,829,4.295336787564767
144,1,yachaju,33,150,4.545454545454546
145,1,nijpimi</w>,1,149,149.0
146,1,gra,73,149,2.041095890410959
147,1,nircami</w>,1,147,147.0
148,1,jpica</w>,72,147,2.0416666666666665
149,1,ma</w>,8,145,18.125
150,1,rishpa</w>,37,144,3.891891891891892
151,1,niju,24,214,8.916666666666666
152,1,llu,53,140,2.641509433962264
153,1,chai,40,182,4.55
154,1,taita</w>,1,141,141.0
155,0,la,611,1370,2.242225859247136
156,1,cunaca</w>,60,288,4.8
157,1,canguichi</w>,17,139,8.176470588235293
158,1,ngapaj</w>,65,138,2.123076923076923
159,1,yachachi,47,137,2.9148936170212765
160,1,chari,73,151,2.068493150684932
161,1,llata</w>,48,150,3.125
162,1,chura,57,134,2.3508771929824563
163,1,ni</w>,61,152,2.4918032786885247
164,1,huañu,71,140,1.971830985915493
165,1,punlla,39,128,3.282051282051282
166,1,tigra,57,127,2.2280701754385963
167,1,llacta,37,128,3.45945945945946
168,1,jta</w>,67,130,1.9402985074626864
169,1,ús</w>,2,124,62.0
170,1,rirca</w>,34,126,3.7058823529411766
171,1,jesús</w>,1,123,123.0
