id,cluster,subword,word_types,cum_freq,idiosincracy_index
0,0,ti</w>,8,4249,531.125
1,0,na</w>,6,3191,531.8333333333334
2,0,ng,200,2676,13.38
3,0,al,45,2328,51.73333333333333
4,0,lo</w>,3,2020,673.3333333333334
5,0,ni</w>,26,2013,77.42307692307692
6,0,ala</w>,6,1835,305.8333333333333
7,0,ek,20,1684,84.2
8,0,so</w>,13,1596,122.76923076923076
9,2,eke</w>,10,1470,147.0
10,2,yeke</w>,2,1373,686.5
11,2,mb,59,1241,21.033898305084747
12,2,nd,77,1227,15.935064935064934
13,2,te,9,1177,130.77777777777777
14,2,zo</w>,8,1016,127.0
15,2,ne</w>,18,991,55.05555555555556
16,2,ang,73,940,12.876712328767123
17,2,tene</w>,3,894,298.0
18,2,ayeke</w>,1,832,832.0
19,2,si</w>,7,794,113.42857142857144
20,2,ko,45,811,18.022222222222226
21,2,nz,23,616,26.782608695652176
22,2,ar,47,589,12.53191489361702
23,2,su,12,559,46.583333333333336
24,2,ku,22,555,25.227272727272727
25,2,jé,6,547,91.16666666666669
26,2,ye</w>,5,544,108.8
27,2,azo</w>,1,540,540.0
28,2,ong,37,545,14.72972972972973
29,2,mbe,11,531,48.27272727272727
30,2,aa</w>,10,529,52.9
31,2,sus</w>,4,519,129.75
32,2,jésus</w>,4,519,129.75
33,2,ing,35,512,14.628571428571428
34,1,pe,16,239,14.9375
35,2,ad,17,448,26.352941176470587
36,2,pe</w>,4,446,111.5
37,2,mbi</w>,3,440,146.66666666666666
38,2,mo</w>,1,439,439.0
39,2,ara</w>,19,433,22.789473684210527
40,2,gb,75,948,12.64
41,2,mbeni</w>,3,408,136.0
42,2,atene</w>,1,408,408.0
43,2,ën,3,406,135.33333333333334
44,2,ënë</w>,3,406,135.33333333333334
45,2,tënë</w>,3,406,135.33333333333334
46,2,pepe</w>,1,405,405.0
47,1,ir,17,367,21.58823529411765
48,2,oni</w>,7,399,57.0
49,2,re</w>,31,392,12.64516129032258
50,2,si,24,402,16.75
51,1,anga</w>,13,350,26.923076923076923
52,1,iri</w>,10,340,34.0
53,1,ap,18,363,20.166666666666668
54,1,ya</w>,3,329,109.66666666666669
55,1,tong,7,329,47.0
56,2,ok,20,383,19.15
57,2,ak,51,487,9.549019607843135
58,1,tonga,5,326,65.2
59,1,ia</w>,20,324,16.2
60,1,ta</w>,18,322,17.88888888888889
61,2,li</w>,14,485,34.642857142857146
62,2,le,30,413,13.766666666666667
63,1,kue</w>,3,311,103.66666666666669
64,1,ab,36,308,8.555555555555555
65,1,mu</w>,2,306,153.0
66,1,le</w>,12,339,28.25
67,1,apa</w>,5,302,60.4
68,1,ndo</w>,8,302,37.75
69,2,ngb,38,540,14.210526315789474
70,1,oko</w>,11,289,26.272727272727277
71,2,ga</w>,30,890,29.666666666666668
72,1,nda</w>,21,281,13.38095238095238
73,1,sara</w>,2,280,140.0
74,1,nzapa</w>,3,278,92.66666666666669
75,1,aw,18,265,14.72222222222222
76,1,tere</w>,1,259,259.0
77,1,me</w>,10,255,25.5
78,1,ango</w>,27,253,9.37037037037037
