id,cluster,subword,word_types,cum_freq,idiosincracy_index
0,2,wa,957,2877,3.006269592476489
1,2,ka,616,1702,2.762987012987013
2,2,na</w>,160,1604,10.025
3,2,ku,624,1554,2.4903846153846154
4,2,wa</w>,300,1495,4.983333333333333
5,2,li,697,1338,1.9196556671449068
6,2,am,519,1639,3.157996146435453
7,2,an,522,1691,3.239463601532567
8,2,aka,505,1365,2.702970297029703
9,0,ki,383,925,2.4151436031331595
10,0,en,249,865,3.4738955823293174
11,0,ha,268,992,3.701492537313433
12,0,ka</w>,277,734,2.649819494584837
13,0,ya</w>,80,613,7.6625
14,0,ni</w>,232,993,4.280172413793103
15,0,na,186,759,4.080645161290323
16,0,ma,191,744,3.895287958115184
17,0,mb,198,930,4.696969696969697
18,0,ng,292,835,2.8595890410958904
19,0,si,254,529,2.0826771653543306
20,0,ia</w>,250,668,2.672
21,0,ali,417,856,2.052757793764988
22,0,ta,425,707,1.663529411764706
23,0,sh,261,504,1.9310344827586208
24,0,ma</w>,113,568,5.026548672566372
25,0,ba,81,481,5.938271604938271
26,0,ye</w>,61,448,7.344262295081967
27,0,ke</w>,38,437,11.5
28,0,kwa</w>,28,410,14.642857142857142
29,0,waka,177,409,2.310734463276836
30,0,le</w>,29,390,13.448275862068966
31,0,hu,193,415,2.150259067357513
32,0,ya,139,457,3.287769784172662
33,0,mwa,79,364,4.6075949367088604
34,1,kuwa</w>,49,352,7.183673469387755
35,0,za</w>,137,349,2.5474452554744524
36,1,li</w>,61,335,5.491803278688525
37,0,ti,106,354,3.339622641509434
38,0,po,152,325,2.138157894736842
39,0,sa,106,374,3.5283018867924527
40,1,tu</w>,18,316,17.555555555555557
41,1,ye,81,317,3.91358024691358
42,0,amb,87,564,6.482758620689655
43,0,mw,192,724,3.7708333333333335
44,1,fu,139,283,2.035971223021583
45,1,ji,97,312,3.216494845360825
46,1,ta</w>,114,296,2.5964912280701755
47,1,yo,129,293,2.2713178294573644
48,1,ani</w>,70,308,4.4
49,1,ni,182,277,1.521978021978022
50,1,te</w>,40,276,6.9
51,0,nd,234,624,2.6666666666666665
52,1,mi,112,288,2.571428571428572
53,1,ema</w>,40,271,6.775
54,0,ch,172,393,2.2848837209302326
55,0,aki,157,430,2.738853503184713
56,1,wali,134,292,2.1791044776119404
57,1,yo</w>,55,264,4.8
58,1,la</w>,38,262,6.894736842105263
59,1,ja</w>,43,259,6.023255813953488
60,1,tu,143,243,1.6993006993006994
61,1,to,106,210,1.981132075471698
62,1,sema</w>,27,225,8.333333333333334
63,1,end,99,221,2.2323232323232323
64,0,ny,177,570,3.2203389830508478
65,1,kati,8,218,27.25
66,1,ri,104,215,2.0673076923076925
67,1,katika</w>,2,202,101.0
68,1,akawa,48,215,4.479166666666667
69,1,si</w>,27,194,7.185185185185185
70,1,ang,96,243,2.53125
71,1,ri</w>,56,191,3.4107142857142856
72,1,ko</w>,33,185,5.606060606060606
73,1,hi,99,273,2.757575757575758
74,1,bu</w>,54,185,3.425925925925926
75,1,za,70,263,3.757142857142857
76,1,ing,71,200,2.816901408450704
77,1,ambia</w>,29,307,10.586206896551724
78,1,zi</w>,36,178,4.944444444444445
79,1,pa,125,313,2.504
80,1,sha</w>,100,172,1.72
81,1,po</w>,54,169,3.1296296296296298
82,1,oja</w>,6,169,28.166666666666668
83,0,me,209,330,1.5789473684210529
84,0,we,119,400,3.361344537815126
85,1,kwa,10,164,16.4
86,1,ngu</w>,19,258,13.578947368421051
87,1,fa,104,262,2.519230769230769
88,1,we</w>,47,165,3.5106382978723403
89,1,ti</w>,46,158,3.4347826086956523
90,1,su</w>,10,147,14.7
91,1,pe,68,203,2.985294117647059
92,1,le,86,144,1.6744186046511629
93,1,la,44,287,6.5227272727272725
94,1,vi,73,150,2.054794520547945
95,1,mba</w>,30,164,5.466666666666667
96,1,mtu</w>,1,145,145.0
97,1,ko,57,140,2.456140350877193
98,1,uli,126,231,1.8333333333333333
99,1,mu,18,158,8.777777777777779
100,1,waki,78,137,1.7564102564102564
101,1,zi,89,143,1.6067415730337078
102,1,yesu</w>,1,136,136.0
103,1,enda</w>,47,136,2.893617021276596
104,1,ju,44,137,3.113636363636364
105,1,ona</w>,56,139,2.482142857142857
106,1,mwamb,15,138,9.2
107,1,wen,32,265,8.28125
108,1,ke,82,143,1.7439024390243902
109,1,and,63,151,2.3968253968253967
110,1,naye</w>,3,129,43.0
111,1,yake</w>,2,126,63.0
112,1,mwambia</w>,10,126,12.6
113,1,ame,97,156,1.6082474226804124
114,1,eni</w>,74,124,1.6756756756756757
115,1,wana,45,163,3.6222222222222222
116,1,wake</w>,4,168,42.0
117,1,mungu</w>,1,120,120.0
118,0,bi,141,537,3.808510638297872
119,1,ndi,47,179,3.808510638297872
120,1,laki,2,116,58.0
121,1,lakini</w>,2,116,58.0
122,1,hata</w>,2,115,57.5
123,1,akawaambia</w>,2,116,58.0
124,1,yu,16,194,12.125
125,1,te,96,169,1.7604166666666667
126,1,ra</w>,18,113,6.277777777777778
127,1,ote</w>,13,197,15.153846153846152
128,1,ku</w>,4,113,28.25
129,1,alipo,60,179,2.9833333333333334
130,0,ana</w>,71,391,5.507042253521127
131,1,to</w>,17,111,6.529411764705882
132,1,ama</w>,30,190,6.333333333333333
133,1,pi,53,120,2.2641509433962264
134,1,moja</w>,4,167,41.75
135,1,fan,57,104,1.824561403508772
136,1,mu</w>,53,188,3.547169811320755
137,1,taka,77,99,1.2857142857142858
138,1,pa</w>,39,98,2.5128205128205128
139,1,wana</w>,5,146,29.2
140,1,siku</w>,2,97,48.5
141,1,toka</w>,30,96,3.2
142,1,watu</w>,1,93,93.0
143,1,wakam,58,156,2.689655172413793
144,1,me</w>,19,94,4.947368421052632
145,1,ili</w>,23,165,7.173913043478261
146,0,ika</w>,95,352,3.705263157894737
147,1,yule</w>,1,90,90.0
148,1,fu</w>,24,90,3.75
149,1,ru,41,88,2.1463414634146343
150,1,ra,49,100,2.0408163265306123
151,1,mku,20,101,5.05
152,1,basi</w>,1,87,87.0
153,1,amu</w>,22,87,3.954545454545455
154,1,ja,63,124,1.968253968253968
155,1,wale</w>,3,85,28.33333333333333
156,1,nao</w>,5,86,17.2
157,1,ba</w>,48,249,5.1875
158,1,vyo,49,83,1.6938775510204085
159,1,tan,56,152,2.7142857142857144
160,1,mwen,14,104,7.428571428571429
161,1,kia</w>,55,83,1.509090909090909
162,1,je</w>,29,83,2.862068965517241
163,1,eno</w>,3,83,27.666666666666668
164,1,di</w>,39,94,2.41025641025641
165,1,he,54,140,2.592592592592593
166,1,nyu,5,81,16.2
167,1,ki</w>,34,81,2.3823529411764706
168,1,kama</w>,1,80,80.0
169,1,kum,84,140,1.6666666666666667
170,1,akamwambia</w>,2,101,50.5
171,1,wote</w>,2,79,39.5
172,1,fun,58,152,2.6206896551724137
173,1,wala</w>,3,77,25.666666666666668
174,1,kuwa,61,79,1.2950819672131149
175,1,kuli,34,77,2.264705882352941
176,0,in,215,754,3.5069767441860464
177,1,og,18,76,4.222222222222222
178,0,akam,115,353,3.0695652173913044
179,1,cha,24,81,3.375
180,1,bwana</w>,2,75,37.5
181,1,ngu,55,137,2.4909090909090907
182,1,ika,73,155,2.1232876712328768
183,1,akasema</w>,2,85,42.5
184,1,sa</w>,36,73,2.0277777777777777
185,1,maana</w>,1,73,73.0
186,1,mmoja</w>,1,73,73.0
187,1,oni</w>,24,89,3.7083333333333335
188,1,angu</w>,9,100,11.11111111111111
189,1,sim,32,79,2.46875
190,1,cha</w>,29,69,2.3793103448275863
191,1,saba,3,68,22.666666666666668
192,1,juu</w>,1,68,68.0
193,1,jibu</w>,19,68,3.5789473684210527
194,1,funzi</w>,2,68,34.0
195,1,dh,48,125,2.6041666666666665
196,1,wanafunzi</w>,2,68,34.0
197,1,tano</w>,6,67,11.166666666666666
198,1,walipo,24,66,2.75
199,1,chu,44,65,1.4772727272727273
200,1,pam,4,67,16.75
201,1,yote</w>,3,78,26.0
202,1,pamoja</w>,1,64,64.0
203,1,taz,25,73,2.92
204,1,neno</w>,2,82,41.0
205,1,lme</w>,4,61,15.25
206,0,kw,66,666,10.090909090909092
207,1,falme</w>,4,61,15.25
208,1,pepo</w>,2,60,30.0
209,1,ingia</w>,26,60,2.3076923076923075
210,1,walio,29,62,2.1379310344827585
211,1,andi,23,63,2.739130434782609
212,1,shu,34,58,1.7058823529411764
213,1,nam,14,63,4.5
214,1,vu</w>,18,57,3.1666666666666665
215,1,wao</w>,7,95,13.571428571428571
216,1,lo</w>,16,56,3.5
217,1,ji</w>,13,56,4.307692307692308
218,1,uni</w>,14,65,4.642857142857143
219,1,no</w>,18,232,12.88888888888889
220,1,kwamba</w>,1,55,55.0
221,1,nyi</w>,7,105,15.0
222,1,mara</w>,2,54,27.0
223,1,amba,13,64,4.923076923076923
224,1,ua</w>,85,117,1.376470588235294
225,1,msi,52,69,1.3269230769230769
226,1,hayo</w>,1,53,53.0
227,1,ea</w>,98,139,1.4183673469387754
228,1,any,92,158,1.7173913043478262
229,1,ata,193,258,1.3367875647668397
230,1,ninyi</w>,1,52,52.0
231,1,yu</w>,3,51,17.0
232,1,vyo</w>,16,51,3.1875
233,1,tazama</w>,8,51,6.375
234,1,ro,9,50,5.555555555555555
235,1,maku,4,51,12.75
236,1,ine</w>,6,51,8.5
237,1,isha</w>,59,124,2.101694915254237
238,1,ili,108,152,1.4074074074074074
239,1,ga</w>,66,94,1.4242424242424243
240,1,da</w>,77,235,3.051948051948052
241,1,waambia</w>,12,170,14.166666666666666
242,1,mwenye</w>,1,50,50.0
243,1,tena</w>,1,49,49.0
244,1,sha,27,90,3.333333333333333
245,1,mwana</w>,1,49,49.0
246,1,mi</w>,9,88,9.77777777777778
247,1,haba,1,49,49.0
248,1,habari</w>,1,49,49.0
249,1,enu</w>,8,88,11.0
250,1,uliza</w>,12,48,4.0
251,1,ong,27,46,1.7037037037037035
252,1,ndo,27,45,1.6666666666666667
253,1,anza</w>,14,78,5.571428571428571
254,1,weng,5,54,10.8
255,1,kuu</w>,7,76,10.857142857142858
256,1,damu</w>,6,46,7.666666666666667
257,1,bu,55,81,1.4727272727272729
258,1,shi</w>,12,45,3.75
259,1,huyu</w>,1,45,45.0
260,0,on,205,451,2.2
261,1,mbe,10,55,5.5
262,1,kono</w>,2,44,22.0
263,1,kila</w>,4,50,12.5
264,1,ami,28,54,1.9285714285714288
265,1,yeye</w>,1,43,43.0
266,1,uka</w>,53,83,1.5660377358490567
267,1,ufalme</w>,1,43,43.0
268,1,ro</w>,8,43,5.375
269,1,ondo,26,44,1.6923076923076923
270,1,fua,28,48,1.7142857142857142
271,1,ambo</w>,4,43,10.75
272,1,alikuwa</w>,4,75,18.75
273,1,yao</w>,2,42,21.0
274,1,wenye</w>,3,92,30.666666666666668
275,1,sababu</w>,1,42,42.0
276,1,nyumba</w>,1,42,42.0
277,1,nini</w>,3,42,14.0
278,1,ile</w>,8,102,12.75
279,1,fanya</w>,28,42,1.5
280,1,asi,93,148,1.5913978494623655
281,1,mimi</w>,1,41,41.0
282,1,mbele</w>,1,41,41.0
283,1,mo,16,226,14.125
284,1,haku,16,69,4.3125
285,1,fi,42,70,1.6666666666666667
286,1,shi,48,64,1.3333333333333333
287,1,pand,20,42,2.1
