id,cluster,subword,word_types,cum_freq,idiosincracy_index
0,2,พร,142,1658,11.67605633802817
1,2,่า</w>,27,1079,39.96296296296296
2,2,อง</w>,57,1044,18.31578947368421
3,2,แล,70,1006,14.371428571428572
4,2,พระ,79,991,12.544303797468354
5,2,วก</w>,53,963,18.16981132075472
6,2,อง,89,937,10.52808988764045
7,2,ค์</w>,50,874,17.48
8,2,่า,101,934,9.247524752475249
9,2,องค์</w>,46,821,17.847826086956523
10,2,เข,41,847,20.65853658536585
11,2,ว่า</w>,6,821,136.83333333333334
12,2,พวก</w>,47,830,17.659574468085108
13,2,พระองค์</w>,43,770,17.906976744186046
14,2,้น</w>,44,747,16.977272727272727
15,2,ี่</w>,14,752,53.71428571428572
16,2,คน</w>,23,737,32.04347826086956
17,2,้า</w>,57,710,12.456140350877194
18,2,ที่</w>,10,713,71.3
19,0,เขา</w>,7,637,91.0
20,0,นั,56,643,11.482142857142858
21,0,ับ</w>,26,623,23.96153846153846
22,0,และ</w>,25,579,23.16
23,0,่าน</w>,17,560,32.94117647058823
24,0,จะ</w>,3,571,190.33333333333331
25,0,ของ</w>,10,570,57.0
26,0,ื่,97,554,5.711340206185567
27,0,นั้น</w>,11,508,46.18181818181818
28,0,ท่าน</w>,9,526,58.44444444444444
29,0,่ง</w>,30,483,16.1
30,0,เร,47,481,10.23404255319149
31,0,าย</w>,57,486,8.526315789473685
32,0,เป,29,481,16.586206896551722
33,0,มา</w>,6,466,77.66666666666667
34,0,็น</w>,5,467,93.4
35,0,ึง</w>,12,466,38.833333333333336
36,0,อย,24,467,19.45833333333333
37,0,ก็</w>,2,465,232.5
38,0,พระ</w>,26,439,16.884615384615383
39,0,ไป</w>,3,409,136.33333333333334
40,0,้ว</w>,29,408,14.06896551724138
41,0,ให,18,428,23.77777777777778
42,0,แล้ว</w>,26,400,15.384615384615383
43,0,รั,36,510,14.166666666666666
44,0,ื่อ</w>,65,391,6.015384615384615
45,0,าม</w>,25,396,15.84
46,0,ใน</w>,19,377,19.84210526315789
47,0,ม่</w>,9,369,41.0
48,0,ให้</w>,3,358,119.33333333333331
49,0,เห,29,354,12.20689655172414
50,0,เป็น</w>,2,353,176.5
51,0,เม,75,354,4.72
52,0,ไม่</w>,6,342,57.0
53,0,เจ,37,340,9.18918918918919
54,0,มี</w>,23,338,14.695652173913045
55,0,ัน</w>,30,323,10.766666666666667
56,0,กับ</w>,1,334,334.0
57,0,ัง</w>,31,323,10.419354838709678
58,0,ได,15,317,21.133333333333333
59,0,จึง</w>,3,306,102.0
60,0,แต,48,305,6.354166666666667
61,0,้า,86,330,3.8372093023255816
62,0,เรา</w>,13,288,22.153846153846157
63,0,ทร,10,309,30.9
64,0,หน,40,316,7.9
65,0,รัส</w>,5,284,56.8
66,0,ตรัส</w>,2,280,140.0
67,0,าก</w>,16,266,16.625
68,0,ทั,37,299,8.08108108108108
69,0,แต่</w>,39,269,6.897435897435898
70,0,ได้</w>,1,246,246.0
71,0,ทรง</w>,2,265,132.5
72,0,ู่</w>,8,254,31.75
73,0,ีย,59,252,4.271186440677966
74,0,ือ</w>,20,255,12.75
75,0,เจ้า</w>,6,244,40.66666666666666
76,2,ระ,144,1245,8.645833333333334
77,0,เส,25,252,10.08
78,0,อก</w>,19,245,12.894736842105264
79,0,อยู่</w>,2,239,119.5
80,0,หล,40,349,8.725
81,1,อน</w>,39,232,5.948717948717949
82,1,กล,33,233,7.0606060606060606
83,1,เมื่อ</w>,55,233,4.236363636363636
84,1,เย,13,212,16.307692307692307
85,1,าร</w>,24,212,8.833333333333334
86,1,ิน</w>,15,214,14.266666666666667
87,1,ึ่ง</w>,4,206,51.5
88,0,นี,32,241,7.53125
89,1,ผู,19,205,10.789473684210526
90,1,าะ</w>,32,201,6.28125
91,1,รร,26,203,7.8076923076923075
92,1,ทั้,13,193,14.846153846153848
93,1,สิ,20,192,9.6
94,1,สา,23,220,9.565217391304348
95,1,เพร,25,182,7.28
96,1,นี้</w>,7,171,24.428571428571427
97,1,เพราะ</w>,24,181,7.541666666666667
98,1,จาก</w>,3,180,60.0
99,1,ิด</w>,15,173,11.533333333333331
100,1,วย</w>,8,163,20.375
101,1,จง</w>,12,178,14.833333333333334
102,0,าง</w>,49,375,7.653061224489796
103,1,ประ,30,176,5.866666666666666
104,1,เยซ,5,172,34.4
105,1,เยซู</w>,1,168,168.0
106,1,าร,26,184,7.076923076923077
107,1,หนึ่ง</w>,1,165,165.0
108,1,คว,13,163,12.538461538461538
109,1,้อง</w>,15,158,10.533333333333331
110,1,หร,12,158,13.166666666666666
111,1,ึ้น</w>,3,142,47.333333333333336
112,1,ขึ้น</w>,3,142,47.333333333333336
113,1,ตั,18,147,8.166666666666666
114,1,เล,31,147,4.741935483870968
115,1,ถึง</w>,5,146,29.2
116,1,่าง</w>,13,140,10.76923076923077
117,1,ย์</w>,17,160,9.411764705882351
118,1,ตร</w>,5,139,27.8
119,1,้วย</w>,2,125,62.5
120,1,ทั้ง,11,140,12.727272727272728
121,1,หลาย</w>,2,136,68.0
122,1,เอ,20,180,9.0
123,1,ด็,3,136,45.333333333333336
124,1,ด้วย</w>,1,119,119.0
125,1,เก,24,145,6.041666666666667
126,1,อบ</w>,17,131,7.705882352941177
127,1,ออก</w>,3,131,43.66666666666666
128,1,ไว,5,130,26.0
129,1,ไว้</w>,1,125,125.0
130,1,ุก</w>,11,127,11.545454545454543
131,1,อา,21,132,6.285714285714286
132,1,หรือ</w>,1,125,125.0
133,1,ริ,29,150,5.172413793103448
134,1,กัน</w>,2,115,57.5
135,1,สาวก</w>,2,125,62.5
136,0,เพ,37,306,8.27027027027027
137,2,าน</w>,51,779,15.27450980392157
138,1,ลา</w>,12,118,9.833333333333334
139,1,ทู,6,118,19.666666666666668
140,1,พระเจ้า</w>,2,108,54.0
141,1,บ้า,15,117,7.8
142,1,ใจ</w>,13,109,8.384615384615385
143,1,เข้า</w>,1,114,114.0
144,1,คร</w>,7,114,16.285714285714285
145,1,ทำ</w>,1,112,112.0
146,1,สั,22,114,5.181818181818182
147,1,เห็น</w>,1,110,110.0
148,1,ทั้งหลาย</w>,1,110,110.0
149,1,ตาม</w>,3,112,37.333333333333336
150,1,ติ</w>,19,106,5.578947368421052
151,1,ใคร</w>,6,109,18.166666666666668
152,1,เหล,7,110,15.714285714285714
153,1,เช,25,109,4.36
154,1,ดา</w>,8,107,13.375
155,1,ผู้</w>,2,108,54.0
156,1,การ</w>,10,105,10.5
157,1,ไร</w>,8,98,12.25
158,1,หม,28,185,6.607142857142857
159,1,วัน</w>,7,102,14.571428571428571
160,1,ความ</w>,5,101,20.2
161,1,เสด็,1,100,100.0
162,1,เสด็จ</w>,1,100,100.0
163,1,ำล,8,99,12.375
164,1,อย่าง</w>,1,96,96.0
165,1,เอา</w>,1,96,96.0
166,0,้อ,48,332,6.916666666666667
167,1,แก,8,96,12.0
168,1,บ้าน</w>,4,94,23.5
169,1,ตัว</w>,6,93,15.5
170,1,เว,16,94,5.875
171,1,เด,24,130,5.416666666666667
172,1,ทูล</w>,1,94,94.0
173,1,หา</w>,5,93,18.6
174,0,่อ</w>,77,483,6.2727272727272725
175,1,สิ่ง</w>,3,92,30.666666666666668
176,1,รู,17,96,5.647058823529412
177,1,่น</w>,22,113,5.136363636363637
178,1,รับ</w>,6,107,17.833333333333332
179,1,่น,23,107,4.652173913043479
180,1,ผู้,14,89,6.357142857142857
181,1,ูก</w>,5,92,18.4
182,1,วิ,17,98,5.764705882352941
183,1,วน</w>,26,85,3.269230769230769
184,1,บั,24,90,3.75
185,1,ข้า</w>,6,201,33.5
186,1,เหล่า</w>,2,86,43.0
187,1,ยัง</w>,1,86,86.0
188,1,บุ,13,86,6.615384615384615
189,1,เพื่อ</w>,1,85,85.0
190,1,เท,31,84,2.7096774193548385
191,1,ต้อง</w>,2,85,42.5
192,1,แก่</w>,3,84,28.0
193,1,ทุก</w>,6,84,14.0
194,1,กว่า</w>,1,82,82.0
195,1,สอง</w>,1,80,80.0
196,1,ำลัง</w>,3,81,27.0
197,1,สุ,18,81,4.5
198,1,ถาม</w>,1,81,81.0
199,1,กำลัง</w>,3,81,27.0
200,1,่าว</w>,8,80,10.0
201,1,พู,2,80,40.0
202,1,ชา,17,132,7.764705882352941
203,1,พูด</w>,1,79,79.0
204,1,หาร</w>,4,75,18.75
205,1,ชน</w>,4,73,18.25
206,1,ือง</w>,3,74,24.666666666666668
207,1,ลง</w>,6,79,13.166666666666666
208,1,ธรร,6,76,12.666666666666666
209,1,อด</w>,12,73,6.083333333333333
210,1,ถ้า</w>,18,75,4.166666666666667
211,1,เมือง</w>,1,72,72.0
212,1,ทำ,11,83,7.545454545454546
213,1,ีก</w>,4,68,17.0
214,1,บุตร</w>,3,71,23.666666666666668
215,1,ขอ</w>,2,72,36.0
216,1,่ง,29,78,2.689655172413793
217,1,นุ,15,81,5.4
218,1,เถ,11,72,6.545454545454546
219,1,ตอบ</w>,2,71,35.5
220,1,ดี</w>,8,66,8.25
221,1,โร,9,70,7.777777777777778
222,1,อีก</w>,2,65,32.5
223,1,้ง</w>,17,120,7.0588235294117645
224,1,ื่อง</w>,5,69,13.8
225,1,บอก</w>,1,69,69.0
226,1,ต่อ</w>,7,69,9.857142857142858
227,1,ูง</w>,4,68,17.0
228,1,กลับ</w>,2,68,34.0
229,1,ดิน</w>,4,89,22.25
230,1,ิง</w>,13,104,8.0
231,0,มื,77,414,5.376623376623376
232,1,คำ</w>,3,66,22.0
233,1,ข้า,10,91,9.1
234,1,หน้า</w>,5,64,12.8
235,0,ตร,22,361,16.40909090909091
236,1,้ย,4,62,15.5
237,0,ปร,52,249,4.788461538461538
238,1,ี่,38,106,2.789473684210526
239,1,ผี</w>,3,60,20.0
240,1,มัน</w>,4,60,15.0
241,1,ใช,5,59,11.8
242,1,เรื่อง</w>,3,59,19.666666666666668
243,1,มาก</w>,1,52,52.0
244,1,ธิ,9,59,6.555555555555555
245,1,ญญ,9,59,6.555555555555555
246,1,สำ,11,60,5.454545454545454
247,1,เวลา</w>,4,56,14.0
248,1,ะไร</w>,1,52,52.0
249,1,อะไร</w>,1,52,52.0
250,1,คร,27,84,3.111111111111111
251,1,กษ,11,58,5.2727272727272725
252,1,็น,12,59,4.916666666666667
253,1,ัก</w>,20,99,4.95
254,1,หญ,14,96,6.857142857142857
255,1,สว,11,92,8.363636363636363
256,1,ษย์</w>,3,55,18.33333333333333
257,1,ฝูง</w>,2,56,28.0
258,1,ชาย</w>,4,56,14.0
259,1,้อ</w>,8,55,6.875
260,1,เถิด</w>,1,50,50.0
261,1,เกิด</w>,1,55,55.0
262,1,ียง</w>,10,55,5.5
263,1,หญิง</w>,6,54,9.0
264,1,ยิ,14,103,7.357142857142857
265,1,ุก,9,66,7.333333333333333
266,1,ืน</w>,5,51,10.2
267,1,มนุ,5,54,10.8
268,1,จน</w>,3,54,18.0
269,1,เจ้า,24,65,2.708333333333333
270,1,อย่า</w>,2,53,26.5
271,1,ทั้ง</w>,2,53,26.5
272,1,่อ,48,221,4.604166666666667
273,1,าด</w>,8,54,6.75
274,1,มาร,6,52,8.666666666666666
275,1,นาง</w>,3,50,16.666666666666668
276,1,ดู</w>,3,51,17.0
277,1,เหมื,1,51,51.0
278,1,เหมือน</w>,1,51,51.0
279,1,ถูก</w>,1,51,51.0
280,1,่นดิน</w>,1,49,49.0
281,1,แผ,2,50,25.0
282,1,แผ่นดิน</w>,1,49,49.0
283,1,นาย</w>,4,50,12.5
284,1,่อน</w>,8,49,6.125
285,1,ิต</w>,6,70,11.666666666666666
286,1,รุ,13,50,3.8461538461538463
287,1,ณะ</w>,14,49,3.5
288,1,้ยิน</w>,1,48,48.0
289,1,ได้ยิน</w>,1,48,48.0
290,1,พา</w>,1,48,48.0
291,1,ติ,18,54,3.0
292,1,ขณะ</w>,13,48,3.692307692307693
293,1,่าง,15,52,3.466666666666667
294,1,่ม</w>,11,61,5.545454545454546
295,1,เป็น,7,47,6.714285714285714
296,1,ประท,4,47,11.75
297,1,นา,26,186,7.153846153846154
298,1,ธรรม</w>,4,46,11.5
299,1,เน,10,46,4.6
300,1,ห์,6,46,7.666666666666667
301,1,มนุษย์</w>,2,45,22.5
302,1,นะ</w>,6,43,7.166666666666667
303,1,กล่าว</w>,1,46,46.0
304,1,่ว,39,103,2.641025641025641
305,1,อาหาร</w>,1,43,43.0
306,1,ใช้</w>,4,44,11.0
307,1,ื้อ</w>,5,45,9.0
308,1,ตาย</w>,1,40,40.0
309,1,กา,28,195,6.964285714285714
310,1,ไห,14,52,3.7142857142857135
311,1,ัด</w>,17,48,2.823529411764706
312,1,อุ,9,43,4.777777777777778
313,1,อห์,3,43,14.333333333333334
314,1,อห์น</w>,1,41,41.0
315,1,หาย</w>,4,40,10.0
316,1,ยา</w>,2,42,21.0
317,1,ตา</w>,7,41,5.857142857142857
318,1,กา</w>,2,42,21.0
319,1,็ม</w>,3,41,13.666666666666666
320,1,เลย</w>,1,31,31.0
321,1,เป็นเจ้า</w>,1,40,40.0
322,1,สอน</w>,3,41,13.666666666666666
323,1,พระผู้,3,42,14.0
324,1,พระผู้เป็นเจ้า</w>,1,40,40.0
325,1,ทาง</w>,5,38,7.6
326,1,เหต,4,41,10.25
327,1,ีย</w>,6,38,6.333333333333333
328,1,อั,18,49,2.7222222222222223
329,1,ลุก</w>,4,41,10.25
330,1,กษา</w>,4,40,10.0
331,1,่างไร</w>,2,36,18.0
332,1,ใหญ,6,40,6.666666666666667
333,1,ใหญ่</w>,3,37,12.333333333333334
334,1,ิดา</w>,4,40,10.0
335,1,อย่างไร</w>,2,36,18.0
336,1,หิต</w>,2,40,20.0
337,1,ม้</w>,10,40,4.0
338,1,บิดา</w>,3,39,13.0
339,1,ซึ่ง</w>,2,40,20.0
340,1,เปโ</w>,3,39,13.0
341,1,เอง</w>,5,39,7.8
342,1,หั,5,52,10.4
343,1,เรีย,4,38,9.5
344,1,ี่ย,17,39,2.294117647058824
345,1,าบ</w>,9,43,4.777777777777778
346,1,รู้</w>,3,36,12.0
347,1,น้,24,156,6.5
348,1,้อม</w>,4,35,8.75
349,1,เง,5,37,7.4
