id,cluster,subword,word_types,cum_freq,idiosincracy_index
0,1,na</w>,12,3763,313.5833333333333
1,1,ku,126,3745,29.72222222222222
2,1,tö,85,3476,40.89411764705882
3,1,pö</w>,84,3365,40.05952380952381
4,1,tä</w>,4,2992,748.0
5,1,ma</w>,455,2825,6.208791208791209
6,1,ai</w>,29,2809,96.86206896551724
7,1,nö</w>,83,2787,33.57831325301205
8,1,töpö</w>,1,2718,2718.0
9,1,al,491,2445,4.979633401221996
10,1,ma,274,2185,7.974452554744525
11,2,at,301,1938,6.438538205980066
12,2,su,49,1635,33.36734693877551
13,2,je,3,1458,486.0
14,2,sus</w>,1,1422,1422.0
15,2,jesus</w>,1,1422,1422.0
16,2,ha</w>,18,1355,75.27777777777777
17,2,no,80,1322,16.525
18,2,ti,305,1464,4.8
19,2,kö</w>,101,1255,12.425742574257423
20,2,to,151,1095,7.251655629139073
21,2,si,179,1245,6.955307262569832
22,2,ap,261,1343,5.145593869731801
23,2,kuu</w>,1,1182,1182.0
24,2,te,73,1265,17.328767123287673
25,2,ka,166,1813,10.921686746987952
26,2,wa,112,1442,12.875
27,2,sa</w>,21,1046,49.80952380952381
28,2,ki</w>,94,1044,11.106382978723405
29,2,so,314,960,3.0573248407643314
30,2,ki,128,1011,7.8984375
31,2,wi</w>,1,1014,1014.0
32,2,sö</w>,27,924,34.22222222222222
33,2,pi,68,922,13.558823529411764
34,2,ha,182,1649,9.06043956043956
35,2,alo</w>,78,833,10.67948717948718
36,2,pi</w>,18,882,49.0
37,2,mo</w>,48,769,16.020833333333332
38,1,pa,543,2577,4.745856353591161
39,2,pat,37,796,21.513513513513512
40,2,pa</w>,49,1004,20.489795918367346
41,2,wa</w>,3,727,242.33333333333331
42,2,ni</w>,48,705,14.6875
43,2,makö</w>,24,683,28.45833333333333
44,2,kua</w>,5,680,136.0
45,0,kö,190,489,2.573684210526316
46,2,teu,3,660,220.0
47,2,ko,160,628,3.925
48,2,na,130,643,4.946153846153846
49,2,teusö</w>,1,621,621.0
50,0,mö,117,579,4.948717948717949
51,2,pö,171,669,3.912280701754386
52,0,kuu,12,578,48.16666666666666
53,2,ta</w>,40,1172,29.3
54,0,hu,65,560,8.615384615384615
55,2,anö</w>,38,639,16.81578947368421
56,0,pata</w>,1,540,540.0
57,0,tä,50,527,10.54
58,0,mo,95,519,5.463157894736842
59,0,kuuma</w>,1,520,520.0
60,2,li</w>,90,675,7.5
61,0,hö,74,509,6.878378378378378
62,0,pe,31,514,16.580645161290324
63,0,sai</w>,2,483,241.5
64,2,sa,185,1938,10.475675675675676
65,0,le</w>,47,524,11.148936170212766
66,0,wö</w>,42,463,11.023809523809524
67,2,ta,253,1102,4.355731225296442
68,2,öma</w>,181,675,3.729281767955801
69,0,wani</w>,1,439,439.0
70,0,sino,12,431,35.916666666666664
71,0,mö</w>,28,424,15.142857142857142
72,0,kitä</w>,1,424,424.0
73,0,ni,59,411,6.966101694915254
74,0,noai</w>,1,419,419.0
75,0,kai</w>,1,404,404.0
76,0,tha,49,535,10.918367346938776
77,0,alo,102,398,3.901960784313725
78,0,iki</w>,48,479,9.979166666666666
79,0,toti,50,387,7.74
80,0,hi,62,381,6.145161290322581
81,0,pii</w>,11,408,37.09090909090909
82,0,ti</w>,72,534,7.416666666666667
83,0,po,92,375,4.076086956521739
84,0,maa,9,356,39.55555555555556
85,0,li,110,539,4.9
86,2,sal,47,632,13.4468085106383
87,0,hap,34,320,9.411764705882351
88,0,ka</w>,28,315,11.25
89,0,pönö</w>,3,308,102.66666666666669
90,0,hö̃,48,299,6.229166666666667
91,0,kal,38,307,8.078947368421053
92,0,salo</w>,1,296,296.0
93,0,kõ,27,296,10.962962962962964
94,0,mai</w>,3,292,97.33333333333331
95,0,töpönö</w>,1,290,290.0
96,0,maaki</w>,1,290,290.0
97,0,hö̃tö,41,286,6.975609756097561
98,0,mi</w>,9,285,31.666666666666668
99,0,ho,72,277,3.8472222222222223
100,0,so</w>,71,263,3.704225352112676
101,0,kule</w>,1,262,262.0
102,0,sinomo</w>,1,260,260.0
103,0,soat,54,257,4.75925925925926
104,0,hamö</w>,1,256,256.0
105,0,hai</w>,4,256,64.0
106,0,apa</w>,17,268,15.764705882352942
107,0,äs,22,251,11.409090909090908
108,0,aiki</w>,21,294,14.0
109,0,sat,27,246,9.11111111111111
110,0,pewö</w>,1,246,246.0
111,2,lo,148,636,4.297297297297297
112,2,pal,237,873,3.683544303797469
113,2,ia</w>,70,625,8.928571428571429
114,0,wäs,9,225,25.0
115,0,sö,45,211,4.688888888888889
116,0,epii</w>,2,218,109.0
117,0,wani,25,217,8.68
118,2,ama</w>,91,752,8.263736263736265
119,0,köma</w>,53,210,3.962264150943396
120,0,lö</w>,140,375,2.6785714285714284
121,0,soma</w>,67,206,3.074626865671642
122,0,nöma</w>,28,206,7.357142857142857
123,2,is,102,773,7.578431372549019
124,0,simö,22,200,9.090909090909092
125,0,kama</w>,6,198,33.0
126,0,uli</w>,3,198,66.0
127,0,noa</w>,4,194,48.5
128,0,wäsä</w>,1,193,193.0
129,0,po</w>,46,257,5.586956521739131
130,0,oma</w>,127,522,4.110236220472441
131,0,he</w>,12,181,15.083333333333334
132,0,toto,26,180,6.923076923076923
133,0,la,139,524,3.769784172661871
134,0,iki,83,225,2.710843373493976
135,0,tu,54,264,4.888888888888889
136,0,kai,11,177,16.09090909090909
137,0,kaika,9,175,19.444444444444443
138,0,hapalo</w>,5,175,35.0
139,0,kökö</w>,4,174,43.5
140,0,nö,97,364,3.752577319587629
141,0,wai</w>,2,172,86.0
142,0,ösö</w>,6,180,30.0
143,0,lä,46,160,3.4782608695652173
144,0,sinomo,10,169,16.9
145,0,hua</w>,1,169,169.0
146,0,hi</w>,3,164,54.66666666666666
147,0,si</w>,17,184,10.823529411764708
148,0,kute,2,161,80.5
149,0,wanisal,4,160,40.0
150,0,kutenö</w>,1,160,160.0
151,0,walo,13,159,12.23076923076923
152,0,pia</w>,3,161,53.66666666666666
153,0,palo</w>,49,403,8.224489795918368
154,0,kui</w>,1,158,158.0
155,0,topa</w>,1,157,157.0
156,0,io</w>,52,395,7.596153846153846
157,0,wanisala</w>,1,156,156.0
158,0,täö</w>,2,154,77.0
159,0,he,57,154,2.701754385964912
160,0,thaa</w>,1,152,152.0
161,0,le,41,158,3.8536585365853657
162,0,sate,3,151,50.333333333333336
163,0,löma</w>,88,231,2.625
164,0,ke,60,150,2.5
165,0,pili</w>,15,153,10.2
166,0,kitäö</w>,1,148,148.0
167,0,tänö</w>,1,147,147.0
168,0,kõo</w>,1,145,145.0
169,0,ipa</w>,9,255,28.33333333333333
170,0,pä,46,154,3.347826086956522
171,0,huu</w>,2,141,70.5
172,0,satehe</w>,1,138,138.0
173,0,ati</w>,36,200,5.555555555555555
174,0,kam,32,532,16.625
