id,cluster,subword,word_types,cum_freq,idiosincracy_index
0,0,a̱,1679,4135,2.4627754615842763
1,0,ar,911,3731,4.09549945115258
2,0,u̱,1311,3268,2.4927536231884058
3,0,ji,661,3114,4.711043872919818
4,0,iy</w>,715,3090,4.321678321678322
5,0,ty,1220,2819,2.310655737704918
6,0,ch,1164,2678,2.3006872852233675
7,0,da</w>,807,2662,3.298636926889715
8,0,ry,1105,3315,3.0
9,2,an,954,1971,2.0660377358490565
10,0,̱t,545,3082,5.655045871559633
11,2,var,105,1615,15.38095238095238
12,0,ri,816,3316,4.063725490196078
13,2,ja,733,2155,2.939972714870396
14,0,ya,1719,4299,2.50087260034904
15,2,da,840,1958,2.330952380952381
16,2,u̱</w>,374,1256,3.358288770053476
17,2,ji̱t,9,1251,139.0
18,0,sa,1032,2524,2.445736434108527
19,2,si,687,1724,2.509461426491994
20,0,va,770,3243,4.211688311688311
21,2,ji̱ta</w>,1,1184,1184.0
22,2,mu,591,1184,2.003384094754653
23,2,jiry,276,1059,3.8369565217391295
24,2,i̱</w>,398,1096,2.753768844221105
25,2,ra,736,1699,2.308423913043478
26,0,i̱,535,2585,4.831775700934579
27,2,variy</w>,2,910,455.0
28,2,at,718,1923,2.6782729805013927
29,2,ju̱,271,822,3.033210332103321
30,2,ju̱</w>,252,808,3.2063492063492065
31,2,yi,634,1380,2.176656151419558
32,2,ya̱,672,1579,2.349702380952381
33,1,eda</w>,179,748,4.17877094972067
34,1,je,134,736,5.492537313432836
35,2,nu,925,1963,2.1221621621621622
36,1,sa̱,325,679,2.089230769230769
37,2,nu̱,326,826,2.533742331288344
38,2,ich,357,895,2.507002801120448
39,2,ity,421,936,2.223277909738717
40,2,ary,213,981,4.605633802816901
41,1,dy,316,688,2.1772151898734178
42,1,ara</w>,313,654,2.0894568690095845
43,1,yada</w>,266,601,2.259398496240601
44,1,mu</w>,200,599,2.995
45,1,de,183,694,3.792349726775957
46,1,va</w>,45,589,13.088888888888889
47,2,ni,565,1492,2.64070796460177
48,1,nu</w>,99,667,6.737373737373737
49,2,ta,570,1683,2.9526315789473685
50,1,atiy</w>,108,584,5.407407407407407
51,1,siy</w>,250,557,2.228
52,2,ru,381,998,2.6194225721784776
53,1,sú,17,538,31.647058823529413
54,1,jesú,16,537,33.5625
55,1,su̱,131,536,4.091603053435114
56,1,qu,193,534,2.766839378238342
57,2,vari,46,1469,31.93478260869565
58,2,ti,514,1752,3.4085603112840466
59,1,jada</w>,149,505,3.389261744966443
60,1,vay</w>,102,494,4.8431372549019605
61,1,anu,381,666,1.748031496062992
62,1,jesús</w>,1,474,474.0
63,1,ra̱,225,491,2.1822222222222223
64,2,ra</w>,493,1114,2.259634888438134
65,1,jy,277,759,2.740072202166065
66,1,di,240,503,2.095833333333333
67,1,rya</w>,206,609,2.9563106796116503
68,2,tya,562,1203,2.1405693950177938
69,1,ne</w>,2,430,215.0
70,1,vich,118,420,3.559322033898305
71,1,ba,160,445,2.78125
72,1,uv,304,749,2.463815789473684
73,1,my,280,530,1.8928571428571428
74,1,a̱da</w>,132,476,3.606060606060606
75,1,ñi̱</w>,105,362,3.447619047619048
76,1,ju̱de,22,363,16.5
77,1,jiryatiy</w>,1,348,348.0
78,1,dye</w>,108,346,3.203703703703704
79,1,jary,36,372,10.333333333333334
80,1,teda</w>,21,332,15.80952380952381
81,1,jya̱,60,320,5.333333333333333
82,1,rya̱,239,524,2.192468619246862
83,1,cho,125,312,2.496
84,1,san,112,327,2.919642857142857
85,1,day</w>,56,299,5.339285714285714
86,1,nijya̱,46,303,6.586956521739131
87,1,ju̱denu</w>,1,297,297.0
88,1,ta̱,148,600,4.054054054054054
89,1,ja̱,120,288,2.4
90,1,que,84,282,3.357142857142857
91,1,nu̱ty,58,284,4.896551724137931
92,1,ruu,38,285,7.5
93,1,ru̱,177,342,1.9322033898305084
94,1,e̱,158,267,1.6898734177215189
95,1,chi,294,668,2.272108843537415
96,1,dye,137,241,1.7591240875912408
97,1,vu̱,145,273,1.8827586206896552
98,2,ta</w>,123,1454,11.821138211382111
99,1,nty,179,393,2.195530726256983
100,1,cha</w>,59,256,4.338983050847458
101,2,tiy</w>,244,860,3.5245901639344264
102,1,su̱teda</w>,2,238,119.0
103,1,vy,223,443,1.9865470852017937
104,1,anum,154,238,1.5454545454545454
105,1,sa̱</w>,30,226,7.533333333333333
106,1,a̱</w>,215,643,2.9906976744186045
107,1,tu,271,581,2.143911439114391
108,1,sam,70,233,3.3285714285714287
109,1,u̱y</w>,154,399,2.590909090909091
110,1,rirya̱,100,212,2.12
111,1,nijya̱n,23,211,9.173913043478262
112,1,chiy</w>,56,225,4.017857142857143
113,1,tya̱,150,312,2.08
114,1,jirya̱,90,203,2.2555555555555555
115,1,bay</w>,53,203,3.830188679245283
116,1,tya</w>,107,314,2.934579439252337
117,1,musiy</w>,84,202,2.4047619047619047
118,1,ni̱</w>,173,352,2.034682080924856
119,1,dan,205,392,1.9121951219512197
120,1,ti̱t,30,199,6.633333333333334
121,1,jirye,115,207,1.8
122,2,ju,595,1820,3.0588235294117645
123,1,chu,196,323,1.6479591836734695
124,1,tu̱,84,196,2.333333333333333
125,1,o̱,179,323,1.8044692737430168
126,1,yu</w>,150,340,2.2666666666666666
127,1,sara</w>,92,187,2.032608695652174
128,1,um,407,725,1.7813267813267812
129,1,danum,111,185,1.6666666666666667
130,1,jarye</w>,2,184,92.0
131,1,dar,95,362,3.8105263157894735
132,1,vi,249,692,2.7791164658634537
133,1,mity,68,192,2.823529411764706
134,1,ca,111,270,2.4324324324324325
135,1,tidye</w>,36,176,4.888888888888889
136,1,damu</w>,76,171,2.25
137,1,a̱cho,66,172,2.606060606060606
138,1,ni̱,98,291,2.9693877551020407
139,1,darya,30,202,6.733333333333333
140,1,u̱yada</w>,131,259,1.9770992366412212
141,1,ti̱ta̱,9,167,18.55555555555556
142,2,riy</w>,34,1079,31.735294117647054
143,1,vu,252,477,1.8928571428571428
144,1,siva</w>,1,162,162.0
145,1,ryi</w>,79,336,4.253164556962025
146,1,quejada</w>,9,160,17.77777777777778
147,1,van,66,186,2.8181818181818183
148,1,na,315,634,2.0126984126984127
149,1,variñi̱</w>,1,156,156.0
150,1,sar,194,389,2.0051546391752577
151,1,datya,85,302,3.552941176470588
152,1,num,236,409,1.7330508474576272
153,1,danumatiy</w>,80,150,1.875
154,1,ti̱,81,358,4.419753086419753
155,1,do,48,146,3.0416666666666665
156,1,ti̱ta̱ju̱</w>,1,145,145.0
157,1,jo,85,153,1.8
158,1,ruuva</w>,1,144,144.0
159,1,tyity,64,177,2.765625
160,1,ran,99,208,2.101010101010101
161,1,daty,105,354,3.3714285714285714
162,1,va̱,127,277,2.1811023622047245
163,1,myu,123,245,1.991869918699187
164,2,ya</w>,353,1053,2.9830028328611897
165,1,vyi,71,134,1.887323943661972
166,1,tyi</w>,102,288,2.823529411764706
167,1,te,92,534,5.804347826086956
168,1,irya</w>,108,357,3.305555555555556
169,1,dary,47,303,6.446808510638298
170,1,vaa,71,145,2.0422535211267605
171,1,jyu̱</w>,48,130,2.708333333333333
172,1,be,86,151,1.755813953488372
173,1,nijya̱nvay</w>,2,129,64.5
174,1,mi̱,69,156,2.260869565217391
175,1,ma̱</w>,27,131,4.851851851851852
176,1,tuv,49,133,2.7142857142857144
177,1,jasi,34,221,6.5
178,1,riñ,50,310,6.2
179,1,nutyity,28,125,4.464285714285714
180,1,su,253,729,2.8814229249011856
181,1,jad,245,734,2.9959183673469387
182,1,doda</w>,25,121,4.84
183,1,tar,86,275,3.197674418604651
184,1,vicha,88,337,3.829545454545455
185,1,na̱,164,312,1.902439024390244
186,1,mutya̱,35,112,3.2
187,1,jaryi</w>,1,112,112.0
188,1,ti̱</w>,24,121,5.041666666666667
189,1,be</w>,45,110,2.4444444444444446
190,1,ntyi</w>,62,130,2.096774193548387
191,1,jar,74,442,5.972972972972973
192,1,jiñ,46,118,2.565217391304348
193,1,deda</w>,45,107,2.3777777777777778
194,1,yada,164,283,1.725609756097561
195,1,ntiy</w>,110,171,1.5545454545454545
196,1,chip,55,104,1.8909090909090909
197,1,rity,53,144,2.7169811320754715
198,1,nu̱tyu,18,106,5.888888888888889
199,1,musi,161,303,1.881987577639752
200,1,chara</w>,78,152,1.948717948717949
201,1,niquejada</w>,4,138,34.5
202,1,che,100,171,1.71
203,1,yan,205,410,2.0
204,2,cha,391,885,2.2634271099744248
205,1,mu̱y</w>,15,97,6.466666666666667
206,1,imy,157,352,2.242038216560509
207,1,jyo,49,107,2.183673469387755
208,1,chan,83,148,1.783132530120482
209,1,vicha̱da</w>,5,95,19.0
210,1,tu</w>,27,101,3.740740740740741
211,1,run,40,128,3.2
212,1,nu̱tyu</w>,1,95,95.0
213,1,jasiy</w>,11,95,8.636363636363637
214,1,ya̱</w>,88,135,1.5340909090909092
215,1,myi,59,102,1.728813559322034
216,1,chu</w>,34,104,3.0588235294117645
217,1,ro,61,123,2.0163934426229506
218,1,jii,34,94,2.764705882352941
219,1,sani,46,156,3.391304347826087
220,1,qui</w>,10,91,9.1
221,1,tay</w>,30,133,4.433333333333334
222,1,vurya̱,40,89,2.225
223,1,nanu,67,92,1.373134328358209
224,1,a̱cho̱</w>,27,89,3.2962962962962963
225,1,py,74,163,2.202702702702702
226,1,muju̱</w>,53,88,1.660377358490566
227,1,numa</w>,66,120,1.818181818181818
228,1,riva</w>,3,88,29.33333333333333
229,1,tara</w>,23,122,5.304347826086956
230,1,qui,79,132,1.6708860759493671
231,1,jiryi,41,118,2.8780487804878048
232,1,i̱cha</w>,9,85,9.444444444444445
233,1,varirya</w>,1,82,82.0
234,1,pa̱,38,82,2.1578947368421053
235,1,chipi,50,97,1.94
236,1,to,82,120,1.4634146341463414
237,1,jadchiy</w>,1,81,81.0
238,1,ani̱</w>,80,152,1.9
239,1,ñum,58,100,1.7241379310344829
240,1,sisa̱</w>,1,79,79.0
241,1,ani,277,552,1.9927797833935017
242,1,ye̱,94,161,1.7127659574468086
243,1,te</w>,82,128,1.5609756097560976
244,1,ju̱y</w>,18,77,4.277777777777778
245,1,mu̱,81,187,2.308641975308642
246,1,datyavay</w>,2,76,38.0
247,1,sa̱ju̱</w>,8,75,9.375
248,1,ju̱ra</w>,28,75,2.6785714285714284
249,1,jvaa,35,84,2.4
250,1,dyi,49,74,1.510204081632653
251,1,tu̱cho,19,72,3.789473684210526
252,1,saja,50,102,2.04
253,1,par,45,72,1.6
254,1,bayan,11,73,6.636363636363637
255,2,rya,346,1238,3.578034682080925
256,1,ni̱t,21,109,5.190476190476191
257,1,jyu̱,58,84,1.4482758620689655
258,1,nutyityu̱</w>,1,70,70.0
259,1,ji</w>,2,70,35.0
260,1,daryaju̱</w>,1,70,70.0
261,1,tya̱da</w>,41,95,2.317073170731707
262,1,juu,37,70,1.891891891891892
263,1,ñuv,46,78,1.6956521739130437
264,1,ñi</w>,7,106,15.142857142857142
265,1,ta̱da</w>,34,118,3.4705882352941178
266,1,mutya̱jada</w>,5,67,13.4
267,1,jyu,129,281,2.1782945736434107
268,1,byi,29,67,2.310344827586207
269,1,tye,107,171,1.5981308411214954
270,1,rivyi,25,66,2.64
271,1,ra̱ju̱</w>,25,65,2.6
272,1,nijya̱nva,23,211,9.173913043478262
273,1,jnu̱,40,76,1.9
274,1,imyu̱</w>,11,88,8.0
275,1,̱ta,141,528,3.74468085106383
276,1,yisa̱</w>,4,75,18.75
277,2,yu,569,1194,2.0984182776801408
278,1,vye</w>,25,65,2.6
279,1,tap,10,65,6.5
280,1,jesús,15,63,4.2
281,1,cadi,25,63,2.52
282,1,ya̱da</w>,53,169,3.188679245283019
283,1,vicha̱,30,157,5.233333333333333
284,1,uveda</w>,22,95,4.318181818181818
285,1,ri̱,65,152,2.3384615384615386
286,1,pu,67,100,1.492537313432836
287,1,taja̱,17,64,3.764705882352941
288,1,ray</w>,3,63,21.0
289,1,du,47,64,1.3617021276595744
290,1,tu̱chu,43,71,1.6511627906976745
291,1,tuva̱,33,85,2.575757575757576
292,1,ta̱ra</w>,1,60,60.0
293,1,mi̱</w>,9,68,7.555555555555555
294,1,i̱jada</w>,40,88,2.2
295,1,eda,111,151,1.3603603603603605
296,1,darya</w>,6,60,10.0
297,1,tyamu̱y</w>,2,59,29.5
298,1,mi,260,755,2.9038461538461537
299,1,chipiya̱,28,59,2.107142857142857
300,1,un,262,497,1.896946564885496
301,1,sé,14,58,4.142857142857143
302,1,sum,38,59,1.5526315789473684
303,1,nu̱tyura</w>,1,58,58.0
304,1,mitya</w>,6,60,10.0
305,1,dantyamu̱y</w>,1,58,58.0
306,1,̱te,23,349,15.173913043478262
307,1,variryi</w>,1,57,57.0
308,1,ni̱tiy</w>,3,57,19.0
309,1,ju̱denu,15,57,3.8
310,1,chi̱,36,66,1.8333333333333333
311,1,si̱te,8,56,7.0
312,1,riry,156,449,2.878205128205128
313,1,vinu</w>,2,56,28.0
314,1,denu</w>,11,352,32.0
315,1,vury,77,143,1.8571428571428568
316,1,tyu,174,445,2.557471264367816
317,1,miy</w>,40,154,3.85
318,1,jan,32,59,1.84375
319,1,yadanumatiy</w>,25,53,2.12
320,1,tu̱choda</w>,4,53,13.25
321,1,tan,95,141,1.4842105263157894
322,1,simu</w>,1,53,53.0
323,1,rar,60,106,1.7666666666666666
324,1,jirye</w>,2,53,26.5
325,1,ejada</w>,43,220,5.116279069767442
326,1,ñi,213,577,2.708920187793427
327,1,veda</w>,37,142,3.8378378378378377
328,1,ti̱qui</w>,1,52,52.0
329,1,ramu,32,104,3.25
330,1,no̱,26,45,1.7307692307692308
331,1,ñuma</w>,30,63,2.1
332,1,samirya</w>,1,51,51.0
333,1,rirya̱tidye</w>,1,51,51.0
334,1,nutyityu̱,23,51,2.217391304347826
335,1,juá,9,51,5.666666666666667
336,1,chity,30,54,1.8
