id,cluster,subword,word_types,cum_freq,idiosincracy_index
0,1,si</w>,21,2150,102.38095238095238
1,1,ti</w>,39,2017,51.71794871794872
2,1,wọ,37,2006,54.21621621621622
3,1,wọn</w>,11,1751,159.1818181818182
4,1,gb,143,1290,9.020979020979022
5,1,ni,66,1123,17.015151515151516
6,1,un</w>,74,1146,15.486486486486486
7,2,in</w>,60,824,13.733333333333333
8,2,ni</w>,61,741,12.147540983606556
9,2,ati</w>,5,740,148.0
10,2,fun</w>,5,659,131.8
11,2,li</w>,16,655,40.9375
12,2,awọn</w>,1,622,622.0
13,2,nwọn</w>,1,604,604.0
14,2,pe</w>,9,597,66.33333333333333
15,2,ẹ̀</w>,26,538,20.692307692307693
16,2,ny,15,533,35.53333333333333
17,2,ar,91,512,5.626373626373627
18,2,an</w>,58,484,8.344827586206897
19,2,rẹ̀</w>,7,459,65.57142857142857
20,2,ki</w>,7,448,64.0
21,2,nyin</w>,3,437,145.66666666666666
22,2,ṣe</w>,13,434,33.38461538461539
23,2,bi</w>,19,426,22.42105263157895
24,2,mi</w>,12,424,35.333333333333336
25,2,or,49,418,8.53061224489796
26,2,ba</w>,36,479,13.305555555555555
27,2,na</w>,27,384,14.22222222222222
28,2,nu</w>,20,367,18.35
29,2,wi</w>,5,346,69.2
30,2,fi</w>,5,342,68.4
31,2,mọ,41,340,8.292682926829269
32,2,gbọ,21,316,15.047619047619047
33,2,il,54,408,7.555555555555555
34,2,kan</w>,14,310,22.142857142857142
35,2,nigb,8,286,35.75
36,0,de</w>,23,267,11.608695652173912
37,0,ara</w>,25,264,10.56
38,0,lọ,25,256,10.24
39,0,lọ</w>,9,245,27.22222222222222
40,0,ori</w>,5,232,46.4
41,0,nigbati</w>,1,232,232.0
42,0,kọ,39,224,5.743589743589744
43,0,ol,31,250,8.064516129032258
44,2,yi,16,662,41.375
45,0,wá</w>,4,225,56.25
46,0,al,61,242,3.9672131147540974
47,0,ku,39,261,6.6923076923076925
48,0,mu</w>,14,210,15.0
49,0,oh,11,196,17.818181818181817
50,0,wọ</w>,14,204,14.571428571428571
51,0,ipe</w>,5,205,41.0
52,0,gbo</w>,11,204,18.545454545454547
53,2,nit,9,318,35.333333333333336
54,0,wipe</w>,3,199,66.33333333333333
55,0,kò</w>,3,199,66.33333333333333
56,0,gbọn</w>,5,198,39.6
57,0,es,12,230,19.166666666666668
58,0,gbo,5,16,3.2
59,0,ugbọn</w>,1,193,193.0
60,0,ẹnyin</w>,1,217,217.0
61,0,ir,49,192,3.918367346938776
62,0,le</w>,25,280,11.2
63,0,run</w>,16,199,12.4375
64,0,gbogbo</w>,3,182,60.66666666666666
65,0,yio</w>,1,180,180.0
66,0,jọ</w>,18,180,10.0
67,0,nr,29,180,6.206896551724138
68,0,wa</w>,9,173,19.22222222222222
69,2,ọ̀</w>,35,353,10.085714285714284
70,0,ẹl,23,196,8.521739130434783
71,0,yi</w>,13,253,19.46153846153846
72,0,si,34,215,6.323529411764706
73,0,rẹ</w>,11,168,15.272727272727272
74,0,nia</w>,5,163,32.6
75,0,ọ̀,31,183,5.903225806451613
76,0,er,30,162,5.4
77,0,iy,41,183,4.463414634146342
78,0,hin</w>,14,160,11.428571428571429
79,0,lati</w>,1,159,159.0
80,0,jes,1,159,159.0
81,0,jesu</w>,1,159,159.0
82,0,enia</w>,2,159,79.5
83,0,ẹni,7,137,19.571428571428573
84,0,ùn</w>,25,153,6.12
85,0,ninu</w>,1,152,152.0
86,0,ad,29,257,8.862068965517242
87,0,jẹ</w>,11,145,13.181818181818182
88,2,ri</w>,30,424,14.133333333333333
89,0,ok,26,174,6.6923076923076925
90,0,ẹhin</w>,8,142,17.75
91,0,ur,33,199,6.03030303030303
92,0,an,60,256,4.266666666666667
93,0,mọ</w>,18,138,7.666666666666667
94,0,ju</w>,26,137,5.269230769230769
95,0,ja,12,151,12.583333333333334
96,0,mọ-,8,134,16.75
97,0,nrin</w>,9,133,14.77777777777778
98,0,emi</w>,1,132,132.0
99,0,da,44,181,4.113636363636363
100,0,bẹ,29,195,6.724137931034483
101,0,iwọ</w>,1,125,125.0
102,0,olu,10,124,12.4
103,0,àn</w>,25,120,4.8
104,0,ohun</w>,2,120,60.0
