,,,,,,,id,language,family,genus,wsystem,script,word_types,cum_freq,idiosincracy_index,region,Affixation,Fusion,Typology
,,,,,,,fra,French,Indo-European,Romance,Alphabetic,Latn,-0.2506248582,-0.5981913482,-0.927672691,1,Strongly,Concatenative,-
,,,,,,,cha,Chamorro,Austronesian,Chamorro,Alphabetic,Latn,-0.1656764332,-0.3976307878,-0.6254945197,1,,,
,,,,,,,spa,Spanish,Indo-European,Romance,Alphabetic,Latn,-0.4537372367,-0.7571547878,-0.4665018635,1,Strongly,Concatenative,Fusional
,,,,,,,hau,Hausa,Afro-Asiatic,West Chadic,Alphabetic,Latn,-0.8510505104,-0.8330083611,-0.4588113558,1,Little,Isolating,-
,,,,,,,pes,Western Farsi,Indo-European,Iranian,Abugida,Arab,-0.851166244,-1.281042259,-0.4243925122,1,Weakly,Concatenative,Agglutinative
,,,,,,,ell,Modern Greek,Indo-European,Greek,Alphabetic,Grek,-0.03906393058,-0.4364435172,-0.3874162545,1,Strongly,Concatenative,-
,,,,,,,gug,Paraguayan Guaraní,Pama-Nyungan,Western Pama-Nyungan,Alphabetic,Latn,-0.2459955162,-0.5621630103,-0.2922364737,1,,,
,,,,,,,naq,Nama (Namibia),Khoe-Kwadi,Khoe-Kwadi,Alphabetic,Latn,-0.5887982884,-1.059008134,-0.2855300864,1,,,
,,,,,,,laj,Lango (Uganda),Eastern Sudanic,Nilotic,Alphabetic,Latn,-0.9804406182,-1.052215907,-0.1663024562,1,,,
,,,,,,,tgl,Tagalog,Austronesian,Greater Central Philippine,Alphabetic,Latn,-0.2528237956,-0.002669078276,-0.04142999493,1,Little,Concatenative,-
,,,,,,,fij,Fijian,Austronesian,Oceanic,Alphabetic,Latn,-0.9581040433,-0.138555819,0.002904558469,2,Little,Isolating,Analytic
,,,,,,,deu,German,Indo-European,Germanic,Alphabetic,Latn,-0.3196020534,-0.3572992994,0.02629154495,2,Strongly,Concatenative,-
,,,,,,,yor,Yoruba,Niger-Congo,Defoid,Alphabetic,Latn,-1.282389448,-1.114611588,0.1091234884,2,Little,Isolating,
,,,,,,,eng,English,Indo-European,Germanic,Alphabetic,Latn,-1.009721206,-0.5202283874,0.6404721233,2,Strongly,Concatenative,Fusional
,,,,,,,hin,Hindi,Indo-European,Indic,Abugida,Deva,-1.19049701,-1.348289532,0.8334942401,2,Strongly,Concatenative,-
,,,,,,,tha,Thai,Tai-Kadai,Kam-Tai,Abugida,Thai,-1.369189609,-0.5755787145,1.640043959,2,Little,Isolating,-
