i@@	8292
a@@	7263
e@@	7239
o@@	4997
u@@	4517
n@@	3983
n	3110
j@@	3090
l@@	3062
d@@	2983
h@@	2829
a	2781
g@@	2750
c@@	2732
b@@	2597
do@@	2366
u	2324
i	2238
na	2052
t@@	1917
c	1916
e	1863
s@@	1791
de@@	1770
me@@	1756
ma@@	1584
ana	1541
q@@	1484
w@@	1471
sa@@	1295
le@@	1172
co@@	1167
uqa	1164
g	1145
ca@@	1138
ce@@	1129
ag@@	1121
b	1106
in	1086
m@@	1006
o	1002
age	1000
l	976
f@@	808
s	786
h	536
uq@@	452
m	376
t	243
r@@	229
k@@	209
d	198
p@@	174
‘	108
’	100
-@@	58
1@@	49
0@@	29
0	28
2@@	27
7@@	15
5@@	8
w	7
j	7
p	6
6@@	6
f	4
k	3
8@@	3
4@@	3
3	3
,@@	3
3@@	2
9@@	1
9	1
8	1
2	1
