n@@	8244
t@@	6608
r@@	5821
i@@	5605
a@@	5452
m@@	5432
k@@	5297
u@@	5101
h@@	5076
o@@	4561
m	4178
e@@	3921
r	3719
f@@	3525
b@@	3443
t	3308
mo@@	2866
y@@	2858
a	2641
ha@@	2610
o	2580
s@@	2170
i	2164
w@@	1844
n	1671
d@@	1646
u	1631
j@@	1620
ya@@	1603
p@@	1477
in@@	1428
ro@@	1403
yi@@	1299
rh@@	1290
hato	1269
ra@@	1237
an@@	1215
nd	1156
e	1108
kfo	1103
h	1092
sa@@	1055
yima@@	1030
ht@@	1024
wo@@	1014
k	997
if@@	958
g@@	930
kf@@	928
ma@@	468
f	413
s	297
to	280
l@@	275
y	194
‘	180
’	172
-@@	138
g	54
1@@	28
7@@	19
0@@	19
0	19
2@@	18
b	12
p	6
6@@	6
l	3
8@@	3
3@@	3
,@@	3
3	2
j	1
9@@	1
9	1
8	1
5@@	1
4@@	1
2	1
