a@@	3098
e@@	2559
m@@	2310
w@@	2258
i@@	2123
n@@	1824
l@@	1783
o@@	1709
r@@	1608
y	1591
u@@	1554
tu@@	1471
mew	1371
ta	1326
ü@@	1237
ñi	1228
ng@@	1209
el@@	1170
fey	1146
f@@	1112
kü@@	1108
u	993
ka	988
pu	977
s@@	953
en	949
ch@@	946
d@@	941
t@@	891
ti	870
e	866
elu	865
tr@@	817
ül@@	796
we@@	787
a	763
y@@	747
m	723
ki@@	713
ma@@	701
ka@@	696
p@@	685
k@@	652
mün	634
tati	633
ey@@	628
che	616
fi@@	605
fe@@	601
chi	597
n	589
ko@@	583
ew	582
ll@@	581
jesus	576
lu	568
ku@@	568
tañi	558
am@@	545
engün	543
ke@@	536
fi	536
pu@@	512
nge@@	478
pa@@	459
ta@@	457
pi@@	453
tü@@	452
ün@@	443
pe@@	442
le@@	442
el	425
ael	410
feypi@@	409
an@@	399
ay@@	395
ñ@@	391
dungu	390
i	379
o	377
iñ@@	375
rume	373
ün	367
—	351
ü	348
fa@@	343
kiñe	340
ntr@@	331
mi	330
ngechi	325
ru@@	317
ñ	313
ke	311
ni@@	309
feymew	299
fey@@	238
l	227
du@@	213
dung@@	207
g@@	196
me	184
eng@@	119
kiñ@@	105
j@@	102
‘	93
f	86
’	84
w	83
su@@	52
b@@	39
d	36
r	35
je@@	30
s	26
v@@	20
g	16
c@@	15
t	13
―	10
-@@	7
k	2
jesu@@	2
b	2
