a@@	1598
i@@	1518
u@@	1394
e@@	1392
wa@@	1347
ta@@	1251
o@@	1218
i	1119
ewa	965
na@@	922
e	905
m@@	879
n@@	854
en	811
am@@	782
g@@	780
a	774
p@@	765
iesu	743
r@@	736
ne	733
ka@@	702
p	695
t@@	671
wan@@	623
ya@@	622
da	619
s@@	616
ame	616
ga@@	610
up	609
amba	604
menan	602
mu@@	597
n	580
ap	580
en@@	576
anega	571
v@@	562
gapan	562
di@@	561
wan	545
an@@	542
o	537
u	525
b@@	521
m	518
ar@@	508
d@@	507
on	501
ta	500
me@@	500
an	476
k@@	468
mega	462
gu@@	436
k	433
in@@	431
wadi@@	427
ya	423
y@@	421
ir@@	417
go	404
wa	391
ge	391
t	390
anu@@	381
god	376
on@@	371
ai@@	370
tau@@	367
mu	360
ane	346
iwa	344
ina@@	344
waenapan	341
den	338
in	322
ag@@	307
um@@	299
bo@@	299
di	287
war@@	282
et	282
pa	278
ga	276
pi	274
me	274
at	274
sia	272
apan	270
amon	267
pen	266
ine	264
im@@	264
nagirewa	261
ena@@	248
ap@@	248
ae	246
eni	240
nop	237
se@@	233
tu@@	223
se	223
anu	208
ot	204
tan	196
tu	194
pa@@	192
ve@@	189
ko@@	182
to@@	181
amu@@	180
si@@	177
dim	177
wam	176
l@@	170
is@@	170
ma	169
iwanumu@@	168
gare	168
op	166
ni	166
nan	164
gawa	164
wat	162
ini	161
de@@	161
iwandi@@	159
bawar@@	157
ana	157
pu@@	156
apanewa	155
pe	154
mup	153
ega	153
or@@	150
iwan@@	149
inap	149
ge@@	147
ay@@	147
wane	146
re	122
ba	110
nagir@@	105
‘	73
’	71
s	65
iwanu@@	59
ba@@	55
ie@@	51
go@@	39
w@@	24
nag@@	22
pan	19
anewa	19
0	11
0@@	9
1@@	6
'@@	5
ies@@	4
6@@	2
5@@	2
waena@@	1
9@@	1
9	1
8	1
5	1
4@@	1
3@@	1
2@@	1
