et	1663
t@@	1382
p@@	1317
s@@	1302
m@@	1129
r@@	1119
le	992
de	990
a@@	964
c@@	953
s	875
v@@	862
en@@	857
f@@	846
n@@	785
l@@	771
i@@	750
il	734
e@@	724
d@@	678
a	674
t	656
u@@	653
o@@	646
les	634
é@@	620
à	606
b@@	577
la	558
er@@	547
g@@	539
au@@	526
es	524
an@@	514
oi@@	478
ait	477
en	475
ch@@	473
-@@	467
ri@@	441
que	441
e	432
lui	428
ai@@	425
ne	421
ils	412
l'@@	397
qu@@	393
é	390
qui	385
re	384
me	374
ss@@	372
vous	371
or@@	369
em@@	364
on	344
ce	337
ant	335
i	318
eu@@	317
ent	316
es@@	315
tr@@	312
er	308
ti@@	307
r	304
mais	301
te	296
se	288
vi@@	286
un	282
est	280
j@@	272
tre	271
dit	266
des	261
av@@	261
par@@	259
aient	257
eux	255
dans	252
ou@@	250
ét@@	246
ez	246
h@@	231
ce@@	229
n	228
dis@@	228
on@@	224
pas	219
pr@@	212
leur	211
ar@@	211
oi	210
du	206
si@@	199
di@@	197
al@@	194
tou@@	190
d'@@	189
ci@@	189
il@@	188
s'@@	186
com@@	182
ê@@	177
li@@	177
dé@@	177
lu@@	176
une	175
ont	175
con@@	174
end@@	170
pour	168
gn@@	168
re@@	165
je	162
qu'@@	161
el@@	158
ous	157
su@@	153
ré@@	152
or	149
ap@@	149
'@@	149
è@@	148
fi@@	147
qu'il	146
u	144
son	144
in@@	144
pri@@	143
ser@@	142
ab@@	139
ts	138
nt	138
ses	137
se@@	137
pa@@	137
ayant	136
n'@@	134
rent	131
té	128
jésus	128
don@@	128
au	128
ag@@	127
x	124
sur	124
rs	124
tes	122
tu	121
ui@@	120
ère	119
ci	118
elle	117
cou@@	117
mai@@	115
d	115
avec	115
z@@	114
hom@@	114
l	113
dieu	113
om@@	110
ée	109
ra@@	109
mi@@	109
car	109
oy@@	106
ons	106
eur	106
ev@@	105
mê@@	104
pou@@	103
jou@@	103
la@@	101
èrent	99
pro@@	99
ouv@@	98
étant	97
près	97
pi@@	97
és	96
â@@	73
y@@	70
î@@	68
m	68
x@@	65
y	59
ô@@	58
eu	49
c	46
ù	43
ç@@	41
œ@@	36
p	36
f	33
û@@	29
jé@@	28
ï@@	26
ca@@	25
ans	20
ès	19
h	14
ay@@	14
q	13
o	11
g	10
ave@@	10
ï	9
…	6
sus	6
ë@@	5
b	3
ô	2
—	1
û	1
à@@	1
k@@	1
