o@@	6186
a@@	5531
i@@	3538
e	3447
r@@	3289
t@@	2740
e@@	2662
p@@	2558
i	2423
m@@	2375
h@@	2366
pe	2320
u@@	2192
é@@	1999
k@@	1945
ha	1933
a	1861
v@@	1779
'@@	1763
á@@	1697
s@@	1661
mb@@	1619
o	1567
gu@@	1534
y@@	1491
he@@	1458
ku@@	1381
n@@	1339
a'@@	1201
pe@@	1188
j@@	1187
nd@@	1160
ch@@	1143
je@@	1119
ñ@@	979
va	913
u	905
ã	881
re@@	881
ú@@	842
ra	808
va@@	784
up@@	751
y	667
ó@@	635
s	532
ã@@	482
í@@	472
ẽ	438
ĩ	410
g@@	397
c@@	395
ý@@	374
ẽ@@	309
-@@	216
ĩ@@	176
l@@	173
õ	172
—	164
ỹ@@	146
d@@	133
ũ	91
õ@@	88
n	62
‘	57
f@@	51
’	48
b@@	43
ũ@@	37
ỹ	36
1@@	33
z@@	21
2	18
0	18
l	14
7	14
á	13
é	12
d	11
0@@	9
5	8
í	7
m	7
t	6
8	4
6	4
ú	3
b	3
1	3
.@@	3
ó	2
c	2
6@@	2
5@@	2
3@@	2
2@@	2
…	1
q@@	1
9@@	1
9	1
4@@	1
