a@@	7885
i@@	6028
u@@	5281
m@@	5073
t@@	4436
a	3589
g@@	3235
d@@	3144
e@@	3012
i	2874
u	2632
b@@	2623
r@@	2363
s@@	2223
k@@	2199
p@@	2172
an@@	2100
la@@	2036
l@@	2024
an	1955
h	1939
er@@	1904
da@@	1716
pa@@	1560
ka@@	1466
n@@	1442
-@@	1287
se@@	1277
en@@	1267
ke@@	1257
men@@	1207
ang	1194
j@@	1180
kan	1178
it@@	1112
ber@@	1064
h@@	1062
k	1008
sa@@	961
nya	950
da	921
or@@	913
ka	909
yang	901
ha@@	894
t	887
y@@	752
o@@	578
n	475
w@@	438
ya	427
r	414
c@@	379
m	377
s	370
l	343
b	220
e	207
p	186
z@@	114
g	112
f@@	73
d	35
f	6
o	3
'@@	2
