ი@@	3177
ა@@	3158
და	3015
ე@@	2441
უ@@	2178
არ@@	1584
სა	1542
რ@@	1506
დ@@	1491
მ@@	1452
ს@@	1422
ნ@@	1404
ლ@@	1386
ო@@	1209
ვ@@	1172
თ@@	1140
ს	1076
ა	1065
თა	1019
გ@@	951
ხ@@	950
ი	930
მო@@	921
ე	907
წ@@	870
ც@@	814
ღ@@	785
მე@@	783
სა@@	759
ვი@@	734
ებ@@	725
მა@@	715
ტ@@	702
მი@@	698
რა@@	682
კ@@	640
ყ@@	616
ნი	616
შე@@	610
ნ	604
ჲ	575
თ	549
ფ@@	541
-@@	520
ეს@@	518
და@@	506
ყო@@	501
მას	493
შ@@	483
იგი	478
ძ@@	462
ან@@	461
ო	454
დეს	441
ეს	437
თა@@	432
ბ@@	431
ელ@@	421
ლი@@	400
ერ@@	399
ზ@@	394
გა@@	386
ად	374
ლი	351
მათ	348
ენ	346
ქ@@	344
ცა	343
გან@@	339
ინ@@	335
მან	332
რომე@@	324
დ	322
ჲ@@	312
მის@@	307
ხოლო	301
ვა@@	300
იყ@@	294
ველ@@	281
თუ	275
ჴ@@	270
ჰ@@	269
თქუ@@	266
ჰრქუა	264
უ	260
ენ@@	244
ისა@@	242
ვით@@	237
პ@@	235
კუ@@	235
თჳ@@	233
ჳ@@	220
ჩ@@	212
რ	204
ლ	188
ქუ@@	173
რო@@	141
ჯ@@	139
იგ@@	135
ჭ@@	73
ჰრ@@	68
ჟ@@	62
ხო@@	60
ჳ	59
ქუა	48
მ	45
ვ	33
ჱ@@	31
ლო	31
ბ	30
ც	26
წ	17
გ	13
ხ	5
ჵ	3
ჱ	3
ტ	3
კ	2
ღ	1
