a@@	5565
a	4673
i@@	3742
u@@	3676
e@@	3532
n@@	3520
aa@@	3136
o@@	3072
u	2933
r@@	2772
m@@	2712
l@@	2543
s@@	2269
aa	2222
e	2178
k@@	2064
na	2033
y@@	1970
pa@@	1864
t@@	1774
d@@	1718
o	1709
p@@	1619
pu@@	1520
al@@	1520
go@@	1508
re	1497
-@@	1477
ad@@	1459
pi@@	1430
sa	1384
g@@	1296
imi	1239
ni@@	1154
on@@	1123
i	1091
me	1084
b@@	1021
me@@	1009
mi	1003
go	991
-para	984
rab@@	849
nim@@	832
pa	825
es@@	819
ra@@	792
w@@	790
ag@@	779
ri	760
pe	757
pe@@	754
im@@	406
ra	321
j@@	161
l	152
n	110
t	76
s	67
f@@	51
v@@	47
m	41
h@@	36
0@@	30
-pa@@	29
1@@	28
k	21
2@@	17
7@@	14
p	9
0	9
r	7
8@@	6
v	5
6@@	5
,@@	5
5@@	4
4@@	3
9@@	2
3@@	2
2	2
g	1
