n@@	7313
a@@	3906
k@@	3819
i@@	3694
á@@	3668
u@@	3595
a̱@@	3283
'@@	3235
t@@	3146
n	3047
ú@@	2918
ɨ@@	2604
te	2602
í@@	2447
s@@	2370
a̱	2368
ch@@	2337
a	2323
ni̱	2205
j@@	2188
‑@@	2044
o@@	1872
̱	1855
á	1807
nd@@	1764
‑y@@	1714
‑de	1642
e@@	1500
ñ@@	1481
á'@@	1457
̱@@	1443
y@@	1414
i	1408
ku@@	1329
v@@	1252
jí@@	1252
‑r@@	1211
ka@@	1152
u̱@@	1084
í	1027
m@@	883
o	880
ú	819
u	779
ó	756
i̱	598
r@@	580
x@@	551
é@@	489
́@@	452
s	431
g@@	393
é	376
‑d@@	352
ɨ	341
l@@	333
ó@@	321
d@@	315
e	243
c@@	160
́	151
p@@	117
z@@	111
b@@	98
f@@	80
h@@	44
r	43
y	31
d	16
l	15
t	14
z	13
m	12
b	3
c	2
q@@	1
