a@@	3260
ge	3076
e@@	2349
i@@	1954
i	1939
o@@	1893
h@@	1883
t@@	1832
b	1781
a	1701
tsî	1666
ǂ@@	1621
u@@	1606
n@@	1440
â@@	1424
g@@	1339
ǀ@@	1236
m@@	1221
s	1156
e	1156
o	1127
s@@	1052
r@@	1051
x@@	1021
ǃ@@	1020
ā@@	972
d@@	961
n	942
ga@@	935
ba	906
b@@	870
kh@@	823
gu	815
ǁî@@	801
î@@	782
-@@	766
sa	713
ra	692
ob	645
ǁ@@	635
am@@	630
î	619
u	608
sa@@	600
k@@	596
ai@@	567
ū@@	531
oa@@	521
ǁn@@	504
ā	503
ar@@	493
ǁkh@@	489
ts@@	489
di	487
om@@	452
ǃg@@	449
an@@	433
ga	422
ǃkh@@	401
p@@	401
hâ	386
mî	380
-i	375
ǃnâ	374
m	373
ǀkh@@	362
ǃoa	361
na	360
tsî@@	358
û@@	339
se	328
l@@	312
w@@	303
ǃn@@	287
ē@@	284
ô@@	268
j@@	267
â	263
ō@@	260
ī	249
û	243
oa	202
ō	138
ī@@	138
ū	124
ē	124
f@@	45
v@@	16
t	2
r	2
