i@@	3268
m@@	2856
a	2646
u@@	2420
wa@@	2341
t@@	2291
e@@	2091
a@@	2059
i	1974
o@@	1939
u	1797
o	1785
na	1604
n@@	1556
y@@	1464
ku@@	1252
d@@	1107
j@@	1051
am@@	1045
an@@	1026
p@@	1003
e	999
w@@	992
aka@@	970
b@@	962
s@@	948
k@@	941
ki@@	936
l@@	908
r@@	900
li@@	888
h@@	844
en@@	833
ha@@	827
f@@	811
z@@	808
ka@@	754
ka	734
wa	733
g@@	670
ya	614
ni	587
na@@	582
ma@@	578
mb@@	562
ng@@	556
si@@	545
ia	541
ali@@	530
v@@	485
ta@@	468
sh@@	465
ma	459
ba@@	449
ye	448
ke	437
kwa	410
waka@@	409
c@@	409
le	390
hu@@	370
ya@@	363
mwa@@	358
kuwa	352
za	349
li	335
ti@@	330
po@@	329
sa@@	318
-@@	33
’@@	27
n	13
m	6
—	1
w	1
