a@@	4225
i@@	3587
k@@	3429
e@@	3415
l@@	2993
s@@	2913
t@@	2739
u@@	2726
r@@	2722
y@@	2688
a	2588
d@@	2556
e	2404
ı@@	2345
n@@	2124
m@@	1804
n	1767
r	1756
ü@@	1724
g@@	1523
i	1488
o@@	1445
ö@@	1384
ş@@	1359
b@@	1305
ı	1297
ğ@@	1249
in@@	1206
la@@	1116
z@@	1099
c@@	1079
v@@	1013
k	1010
ç@@	989
de@@	957
h@@	948
er@@	894
le@@	884
di@@	844
'@@	836
u	830
an@@	830
lar@@	810
bi@@	770
ar@@	757
en@@	751
ın@@	750
ler@@	629
da@@	627
in	606
ya@@	604
ın	601
on@@	559
ba@@	552
i̇s@@	545
me@@	534
di	533
yo@@	497
m	493
z	472
p@@	408
p	343
ü	294
f@@	230
l	211
t	189
ş	173
i̇@@	128
o	124
‘	118
s	116
’	115
ç	100
y	97
â@@	81
h	52
b	31
j@@	13
ğ	12
v	11
—	6
â	5
…	3
f	3
î	2
