َا@@	12689
ِي@@	10737
ُ	10737
ل@@	10036
ِ@@	9948
د@@	9771
ْ@@	9729
َ@@	9666
ُو@@	9240
َّ@@	9200
ر@@	8973
َ	8797
ُ@@	8639
ٱلْ@@	8514
ن@@	8495
ب@@	8478
.‏	8135
ِ	8034
س@@	8020
وَ@@	7964
تَ@@	7896
ٱل@@	7374
يَ@@	7248
م@@	6769
أَ@@	6726
،‏	6504
مَ@@	6236
ف@@	5951
لِ@@	5945
‏	5912
ت@@	5909
لَ@@	5901
ه@@	5860
ح@@	5593
عَ@@	5477
ق@@	5363
ي@@	5275
ةِ	5157
ع@@	5017
بِ@@	4981
و@@	4663
ذ@@	4553
ا	4514
إِ@@	4500
ص@@	4451
:‏	4215
فَ@@	4171
ج@@	4115
نَ@@	4075
ط@@	4074
ًا	4033
مِ@@	3970
ّ@@	3897
يْ@@	3793
هِ	3725
١@@	3675
بَ@@	3633
رَ@@	3618
حَ@@	3600
خ@@	3578
كَ@@	3514
ك@@	3429
ش@@	3401
فِي	3347
عْ@@	3305
ٍ	3264
ض@@	3193
ث@@	3189
ْ	3138
مَا@@	3066
هُ	3064
ال@@	3015
نْ@@	2976
دَ@@	2935
يُ@@	2912
تِ@@	2786
َّ	2784
ِي	2770
مْ	2733
سَ@@	2667
ٱ@@	2613
نَا	2610
مُ@@	2610
ز@@	2599
ا@@	2503
ِّ@@	2468
نْ	2434
سْ@@	2423
؟‏	2413
مَا	2346
نَ	2316
ٱلْمَ@@	2309
ئ@@	2226
وْ@@	2212
ِينَ	2145
أَنْ	2109
قَ@@	2106
أَن@@	2084
ذَا	2075
ٌ	2047
كِ@@	2034
ِيَّ@@	2028
غ@@	2028
أ@@	2015
ُونَ	2014
كَ	1994
)‏	1978
(‏	1977
مْ@@	1971
رَا@@	1951
رْ@@	1948
ِيّ@@	1888
جَ@@	1883
ء@@	1883
ى	1869
ةَ	1832
حْ@@	1828
لِ	1784
نِ	1775
لَا@@	1775
قَد@@	1751
لَ	1750
شَ@@	1721
ٱلْأَ@@	1714
ة@@	1714
لْ@@	1713
ه	1698
٢@@	1697
ٱلْمُ@@	1692
عَلَى	1615
َّا@@	1597
كَا@@	1584
يَهْوَ@@	1570
كُ@@	1565
ةُ	1564
تِ	1563
وَا@@	1558
ةٍ	1536
مِ	1532
هِ@@	1528
عَا@@	1525
هَا	1509
تَّ@@	1509
هُ@@	1508
رِ@@	1508
ظ@@	1489
رِ	1479
مَ	1412
قَا@@	1401
ٱلَّ@@	1400
ُّ@@	1398
تُ@@	1377
لَى	1376
عِ@@	1375
لُ	1369
بْ@@	1346
خْ@@	1344
١	1343
رَ	1343
​	1292
ً	1223
٢	1087
ؤ@@	919
٤	863
٣@@	854
٣	852
—@@	838
٥	788
آ@@	786
٦	725
ة	709
-@@	705
‹	682
؛@@	669
›	659
س	645
ن	569
٧	568
٤@@	568
هْ@@	565
٨	553
٩	547
٠	537
إ@@	493
ل	487
ي	481
٠@@	408
ر	406
ٰ@@	373
٥@@	365
ب	357
٩@@	345
٧@@	299
٦@@	297
٨@@	261
•	254
!@@	241
م	240
و	220
هْوَ@@	215
]@@	208
أ	170
د	161
َا	133
ت	100
ك	77
»@@	69
ج	65
‌@@	61
‏@@	59
,@@	58
ء	56
ً@@	55
ع	45
‍	33
ـ@@	31
ق	28
›@@	24
ف	24
ح	22
r@@	19
o@@	19
e@@	19
ض	18
ذ	18
ث	18
a@@	18
پ@@	14
n@@	14
i@@	14
ڠ@@	13
t@@	13
«@@	12
s@@	12
–@@	10
ڤ@@	10
ز	9
b@@	9
ط	8
خ	8
g@@	8
/@@	8
u@@	7
p@@	7
n	7
h@@	7
c@@	7
ص	5
t	5
s	5
m@@	5
l@@	5
f@@	5
‎	4
ظ	4
ش	3
آ	3
©	3
y	3
v@@	3
l	3
e	3
d@@	3
d	3
ٕ@@	2
ّ	2
؟@@	2
w@@	2
p	2
o	2
m	2
a	2
0@@	2
.@@	2
↓	1
↑	1
‹@@	1
‎@@	1
پ	1
ٍ@@	1
ٌ@@	1
غ	1
إ	1
ؤ	1
y@@	1
u	1
r	1
k	1
i	1
f	1
3	1
2@@	1
