r@@	17935
s@@	16654
t@@	14071
l@@	13806
en	13325
g@@	13052
n@@	12706
t	12105
e@@	12071
a@@	11843
e	11127
i@@	10935
er@@	10543
h@@	10125
b@@	10049
w@@	9681
s	9391
d@@	9234
o@@	8915
f@@	8506
ei@@	8055
u@@	8022
k@@	7729
er	7514
en@@	7312
n	7286
m@@	7200
ch@@	6969
ch	6502
au@@	6122
ge@@	5996
an@@	5554
st@@	5324
ein@@	4976
un@@	4707
li@@	4669
der	4601
sch@@	4592
und	4283
es	4271
be@@	4211
ü@@	4204
p@@	4176
r	4169
die	4166
te	4003
z@@	3905
ä@@	3839
den	3655
ten	3645
al@@	3498
m	3414
gen	3296
si@@	3226
el@@	3210
ie	3185
wa@@	3164
vo@@	3137
st	3051
da@@	3016
zu	3008
d	2985
ver@@	2956
ö@@	2843
di@@	2769
j@@	2759
eh@@	2699
l	2663
cht	2612
wi@@	2610
ni@@	2596
ri@@	2518
es@@	2469
mi@@	2324
in	2292
em	2254
„	2217
a	2084
ben	2040
ein	2032
ih@@	2016
ti@@	2005
g	1984
sa@@	1981
wir	1980
eu@@	1927
ha@@	1901
jehov@@	1876
zu@@	1857
ra@@	1849
ot@@	1806
ung	1744
mm@@	1727
so@@	1715
fü@@	1676
f	1671
der@@	1645
das	1619
v@@	1153
ß@@	1082
u	980
b	913
o	881
i	832
c@@	814
1@@	690
z	626
k	484
‘	408
—	350
2@@	347
’	304
ß	279
y@@	278
•	247
4	214
0	213
h	209
1	208
2	200
3	189
5	181
6	170
7	153
9	150
0@@	147
9@@	134
8	133
3@@	128
x@@	87
‚	80
4@@	61
5@@	47
v	44
7@@	41
q@@	38
6@@	36
y	34
8@@	33
jeh@@	22
p	9
é	8
●	7
x	6
ov@@	5
w	4
á@@	3
©	3
c	3
’@@	2
ē	2
í@@	2
ä	2
,@@	2
.@@	1
