ε@@	28729
σ@@	24584
α@@	24484
τ@@	22309
ς	21333
ν@@	20518
ι@@	19506
λ@@	18995
ρ@@	18020
π@@	17109
ο@@	16684
μ@@	15557
ό@@	13637
ά@@	13130
έ@@	12603
γ@@	12141
θ@@	11862
κ@@	11742
ν	10974
χ@@	10593
η	10385
ο	10065
υ@@	9980
ί@@	9926
πο@@	9857
ω@@	9845
δ@@	9545
η@@	8475
στ@@	8159
β@@	7753
ι	7634
να	7541
α	7431
ε	6499
εί@@	6323
φ@@	6320
ά	5969
ή@@	5932
ύ@@	5698
ει	5616
τα@@	5514
ώ@@	5404
του	5356
ό	5128
μα@@	5033
ή	4728
ικ@@	4707
με	4656
να@@	4565
και	4457
ου@@	4412
κα@@	4105
υ	3919
ζ@@	3580
ερ@@	3541
το	3468
ί	3445
το@@	3413
τη@@	3350
ει@@	3333
τα	3198
πα@@	3108
τον	3067
δι@@	3030
ρα@@	3002
ού@@	2921
ες	2826
ρο@@	2786
αν@@	2756
σε	2739
ια	2694
μέ@@	2679
ξ@@	2638
απ@@	2611
οι	2610
την	2516
ρι@@	2435
ουν	2375
ος	2349
για	2349
προ@@	2305
ία	2268
υτ@@	2253
τους	2230
ησ@@	2223
ύ	2203
ψ@@	1525
1@@	1522
—	1051
ω	811
2@@	747
1	638
2	530
4	481
3	477
5	442
0	415
6	405
·	387
7	335
8	329
9	326
3@@	302
λ	294
β	286
ώ	282
•	254
δ	239
έ	192
υς	177
μ	171
9@@	160
4@@	146
0@@	144
.@@	142
ϊ@@	118
’	114
χ	87
σ	82
τ	81
κ	68
5@@	66
6@@	65
e@@	62
ρ	56
ΐ@@	54
7@@	51
o@@	50
i@@	47
n@@	45
8@@	45
t@@	44
r@@	41
a@@	40
θ	39
φ	37
s@@	32
n	18
c@@	18
g@@	17
m@@	16
h@@	16
d@@	15
ϋ@@	14
l@@	14
y	12
t	11
​	10
΄	10
v@@	10
s	10
p@@	10
e	9
d	9
ΐ	8
u@@	8
b@@	8
ζ	7
w	6
l	6
f@@	6
f	6
π	5
h	5
a	4
–	3
ὑ@@	3
©	3
y@@	3
x@@	3
w@@	3
’@@	2
ἐ@@	2
ξ	2
γ	2
p	2
o	2
m	2
ῶ	1
ὀ@@	1
ἰ@@	1
ἡ@@	1
ἂ@@	1
ἀ@@	1
ϊ	1
u	1
r	1
k@@	1
k	1
j@@	1
i	1
g	1
,@@	1
