s@@	11587
d@@	10906
i@@	10337
t@@	10103
e	9733
a@@	9249
c@@	9214
p@@	9085
f@@	8784
m@@	8461
u@@	8355
the	8310
e@@	7821
re@@	7588
o@@	7336
s	6844
b@@	6620
w@@	6221
g@@	5957
l@@	5709
to	5695
y	5517
h@@	5462
t	5415
ed	5061
of	4964
er@@	4900
th@@	4760
ing	4755
d	4388
n@@	4316
in@@	4255
and	4214
an@@	4110
in	3871
v@@	3785
es	3611
er	3547
on@@	3488
ti@@	3480
en@@	3366
ou@@	3302
al@@	3297
k@@	3121
r@@	3031
a	2925
y@@	2872
h	2843
l	2787
es@@	2778
m	2759
o	2622
is	2607
el@@	2605
at@@	2583
is@@	2546
the@@	2417
or@@	2416
that	2404
an	2400
as	2279
ac@@	2274
ar@@	2229
wh@@	2172
ly	2141
le	2087
it@@	2087
st@@	2030
on	2019
ec@@	1877
en	1725
ur@@	1708
ri@@	1658
lo@@	1649
’s	1632
we	1591
for	1573
se	1558
ve	1552
il@@	1523
his	1519
li@@	1515
1@@	1514
what	1487
ay	1475
our	1468
ro@@	1463
ch@@	1444
ce	1424
r	1405
ev@@	1390
con@@	1387
ra@@	1379
jehovah	1376
he	1372
ea@@	1371
di@@	1360
ho@@	1293
si@@	1290
you	1289
be	1258
wor@@	1225
n	1218
w	1203
sp@@	1203
st	1188
sh@@	1183
al	1178
j@@	1168
not	1166
it	1166
pro@@	1147
ts	1146
p	1141
are	1135
with	1133
go@@	1126
am@@	1120
su@@	1093
k	1073
​	1071
ab@@	1067
—	1065
ers	1055
pa@@	1050
ear@@	1049
will	1039
em@@	1023
how	1015
be@@	1008
gh@@	1002
ex@@	985
ing@@	974
do@@	944
ation	938
po@@	932
ha@@	928
god	919
ent	917
un@@	910
us	899
om@@	890
vi@@	887
ris@@	873
pl@@	869
have	868
ould	859
com@@	858
ee@@	853
jesus	850
ir@@	846
ma@@	828
tion	819
or	808
f	800
no@@	727
2@@	726
at	706
1	640
i	575
2	543
q@@	513
’	509
z@@	495
4	487
jehova@@	485
3	479
ld	474
g	468
5	438
0	421
6	407
7	341
je@@	335
9	333
8	328
b	316
3@@	296
‘	289
•	254
c	202
wit@@	196
va@@	161
9@@	148
0@@	145
4@@	136
.@@	99
wil@@	74
5@@	67
6@@	62
x@@	58
x	55
,@@	54
8@@	44
7@@	44
u	24
’@@	20
yo@@	10
jeho@@	9
é	8
z	6
ʹ@@	5
·@@	4
esus	4
–	3
©	3
j	2
ʹ	1
ü@@	1
é@@	1
v	1
