a	23066
u@@	15782
s@@	15658
i@@	14883
t@@	14670
o	14585
a@@	13517
c@@	13489
e@@	13170
m@@	13056
o@@	12451
d@@	11700
os	11498
l@@	11118
p@@	10181
r@@	9958
de	9792
e	8566
b@@	7911
g@@	7910
er@@	7607
n@@	7499
es@@	7034
es	6797
as	6714
v@@	6621
que	6590
en@@	6576
an@@	6461
la	6292
en	5739
h@@	5673
n	5579
el	5556
di@@	5471
ci@@	5082
f@@	4999
y	4947
ad@@	4689
ti@@	4667
co@@	4444
re@@	4245
j@@	4175
ar@@	4070
r	4040
tr@@	4011
em@@	3784
í@@	3775
al@@	3630
los	3590
am@@	3524
in@@	3423
un@@	3346
ent@@	3341
ab@@	3191
qu@@	3190
ri@@	3140
s	3093
do	3016
si@@	3005
ar	2952
ón	2938
lo	2897
á	2728
est@@	2683
an	2647
ho@@	2610
pr@@	2565
on@@	2540
se	2535
cu@@	2517
á@@	2499
vi@@	2370
de@@	2338
con@@	2326
po@@	2236
aci@@	2222
li@@	2186
st@@	2184
u	2133
al	2130
par@@	2114
z@@	2059
ó	2021
je@@	2021
mo	2005
por	2002
é	1982
or@@	1937
se@@	1918
d	1903
per@@	1877
é@@	1796
ú@@	1286
ó@@	1242
y@@	1208
ñ@@	1075
l	938
i	911
x@@	883
1@@	660
í	593
z	498
2@@	328
—	296
’	259
‘	259
b	257
•	254
2	188
1	176
4	175
3	172
5	163
0	162
6	158
7	146
9	144
9@@	130
8	124
3@@	114
0@@	114
t	76
ú	73
4@@	66
h	51
.@@	49
6@@	36
5@@	36
8@@	35
7@@	33
c	32
ü@@	28
w@@	21
m	17
k@@	17
g	9
k	8
f	7
·@@	5
x	4
©	3
q@@	3
–	2
w	2
p	2
v	1
q	1
,@@	1
