a@@	72729
t@@	71558
e@@	62485
i@@	54703
s@@	44019
l@@	43104
k@@	38250
o@@	37462
u@@	36058
n	34480
m@@	31820
n@@	31583
a	28537
ä@@	26583
v@@	22221
h@@	19108
j@@	18141
ä	15205
is@@	15073
r@@	14767
i	12736
y@@	12713
p@@	12174
t	8641
e	8018
d@@	7135
s	3328
ö@@	2087
o	1358
u	949
g@@	889
1@@	698
y	692
–	568
b@@	409
2@@	350
f@@	282
ö	267
•	254
’	250
b	235
0	216
2	196
4	190
3	183
1	178
5	162
d	157
6	157
9	146
7	146
9@@	142
0@@	138
3@@	131
8	125
l	83
4@@	79
5@@	58
8@@	49
c@@	48
m	45
6@@	42
7@@	41
.@@	37
r	32
f	28
h	18
k	17
w@@	11
·@@	7
w	6
ʹ@@	5
é	5
z@@	4
x@@	4
’@@	3
š@@	3
ē@@	3
©	3
c	3
:@@	3
ʹ	2
ē	2
é@@	2
ō@@	1
ü@@	1
p	1
,@@	1
