i@@	33662
a@@	28723
o@@	28493
na	27812
i	24827
a	22974
e	21216
e@@	19922
k@@	17800
u@@	17679
t@@	16625
s@@	16250
l@@	16106
u	15535
o	14204
v@@	14150
d@@	12748
ni	12539
vaka@@	12169
al@@	11727
m@@	11711
c@@	11614
ra	10763
n@@	8842
y@@	8656
ra@@	8478
b@@	7662
ta@@	7644
ma@@	7490
r@@	7431
ga	6576
q@@	6373
ena	6339
w@@	5857
da	5799
va	5791
ve@@	5644
aka	5510
no@@	5406
vu@@	5256
it@@	5247
ak@@	5245
ke@@	5120
g@@	4739
sa	4310
ina	4235
au@@	3851
ka	3797
ta	3759
j@@	3407
​	2187
p@@	2077
aka@@	1967
1@@	1521
—	832
2@@	727
1	642
2	553
4	493
3	482
’	460
‘	460
5	439
0	427
6	405
f@@	377
7	339
9	338
8	332
3@@	299
•	255
’@@	208
b	167
0@@	147
9@@	144
4@@	143
v	115
.@@	95
h@@	94
k	77
w	76
5@@	70
⁠	66
6@@	62
n	59
,@@	56
—@@	46
8@@	46
7@@	45
y	38
t	37
s	36
r	33
d	28
l	20
:@@	20
m	18
h	14
f	12
é	8
z@@	8
c	7
x@@	6
·@@	4
–	3
ʹ@@	3
©	3
‘@@	2
x	2
↓	1
↑	1
ʹ	1
ü@@	1
é@@	1
p	1
j	1
g	1
