da	14908
i@@	12120
i	11300
a@@	11077
ar@@	10092
an@@	9947
u@@	9776
ya	9050
a	8863
in	8832
k@@	8045
m@@	7514
t@@	7421
y@@	6988
ta	6879
ma@@	6848
wa	6169
ka	6153
ka@@	5689
su	5685
f@@	5669
n	5637
o@@	5629
ya@@	5148
b@@	5069
e@@	5001
l@@	4946
na	4824
e	4724
r	4634
ƙ@@	4572
n@@	4565
d@@	4519
wa@@	4434
s@@	4386
r@@	4379
ta@@	4340
g@@	4244
sa	4117
ba	4048
sa@@	4029
ba@@	3932
u	3867
yi	3611
su@@	3595
ɗ@@	3472
al@@	3449
ke	3395
h@@	3330
mu	3295
1@@	3097
j@@	3062
ne	3026
in@@	3020
wan@@	2917
an	2889
mu@@	2886
iya	2859
ma	2835
o	2754
da@@	2689
ha@@	2685
ci	2668
ga@@	2650
kuma	2558
z@@	2526
za@@	2509
un@@	2340
w@@	2275
ana	2206
sh@@	2180
ir@@	2124
c@@	2121
mai	2119
ga	2106
is@@	2061
za	2059
ce	2011
iya@@	1931
bu@@	1919
nan	1909
’@@	1786
ra@@	1772
ko@@	1714
ts@@	1660
cik@@	1633
jehobah	1618
am@@	1589
do@@	1541
du@@	1530
ki	1527
1	1517
allah	1480
mut@@	1447
sha@@	1391
ce@@	1391
ku@@	1384
shi	1371
ab@@	1355
2@@	1343
ru@@	1339
kan	1298
fi	1284
una	1278
2	1275
’a@@	1243
yin	1228
han@@	1222
ik@@	1175
4	1065
3	1015
5	968
s	949
la@@	935
6	847
’	821
0	759
—	757
7	730
ɓ@@	728
8	692
9	675
m	644
d	599
3@@	596
je@@	389
‘	341
b	293
ho@@	292
4@@	279
k	265
l	263
•	258
h	192
ā@@	168
9@@	161
alla@@	157
ā	148
0@@	143
5@@	107
p@@	96
6@@	85
t	78
z	73
.@@	73
7@@	58
v@@	54
,@@	52
8@@	47
y	34
f	17
w	14
–	10
ū@@	10
x@@	9
é	8
·@@	6
ʹ@@	5
ō@@	5
g	4
c	4
©	3
x	3
p	3
jeho@@	3
↓	1
↑	1
ʹ	1
ō	1
ü@@	1
é@@	1
j	1
;@@	1
