a@@	17323
u@@	15230
a	14987
i	14031
i@@	13690
m@@	12469
an	11089
p@@	10596
k@@	9934
h@@	9262
e@@	9183
an@@	8802
r@@	8544
t@@	8258
s@@	8240
b@@	8084
se@@	7983
l@@	7704
ba@@	7665
u	7297
g@@	6980
kan	6900
yang	6662
at@@	6406
ar@@	6387
men@@	5830
h	5803
t	5745
en@@	5659
in@@	5561
da@@	5516
o@@	5396
s	5302
d@@	5294
ke@@	5232
ga@@	5219
un@@	5054
k	5051
sa@@	4935
la@@	4780
ber@@	4779
j@@	4667
ka@@	4452
di@@	4411
per@@	4145
lah	4012
mem@@	3911
dan	3800
tu@@	3636
y@@	3622
n	3518
pa@@	3505
r	3463
ta@@	3424
si@@	3319
ha@@	3264
nya	3199
su@@	3184
it@@	3106
c@@	3047
orang	3046
kita	2865
l	2801
di	2761
er@@	2754
te@@	2699
ak@@	2686
m	2667
akan	2661
bu@@	2655
ang@@	2578
al@@	2576
ya	2503
li@@	2453
em@@	2452
meng@@	2400
ang	2352
dar@@	2312
n@@	2288
ka	2285
ja@@	2253
ku@@	2217
ti@@	2155
is@@	2136
mer@@	2087
ter@@	2086
w@@	2073
ia	2009
dengan	1952
pada	1926
ma@@	1899
tidak	1860
ela@@	1859
yehuwa	1858
apa	1851
mu@@	1779
p	1520
1@@	1509
wa	1318
ye@@	1264
hu@@	1264
g	1073
b	1068
eng@@	1058
—	1050
f@@	1024
da	882
kit@@	756
pa	746
2@@	725
’	724
​	670
d	668
1	645
or@@	613
z@@	560
2	545
4	487
3	482
5	438
e	429
0	422
6	405
7	341
9	340
8	330
3@@	298
•	254
dak	230
f	161
9@@	143
0@@	141
4@@	135
deng@@	108
v@@	94
o	90
5@@	67
6@@	61
.@@	54
7@@	47
8@@	43
y	35
yehu@@	13
z	6
w	6
ʹ@@	5
é	4
·@@	4
x@@	4
’@@	3
–	3
©	3
c	3
v	2
,@@	2
ʹ	1
ü@@	1
é@@	1
j	1
