သ@@	21769
အ@@	20403
မ@@	17837
လ@@	15067
ရ@@	15034
ပ@@	14464
တ@@	12061
စ@@	12029
။	11779
န@@	10786
ို@@	10759
ော@@	10535
ာ	10212
သည်	10025
း@@	9906
ွ@@	9639
ု@@	9567
ကို	8926
င်	8505
ယ@@	8383
ခ@@	8174
ေ@@	7992
က@@	7944
က်	7844
ား	7838
ေ	7766
ု	7611
ိ@@	7169
်@@	6961
ဆ@@	6854
ထ@@	6608
ပြ@@	6529
န်	5982
င်း	5758
စ်	5601
၏	5490
င်@@	5260
ဖြ@@	5073
ဘ@@	5026
ါ	5009
း	4954
ာ@@	4939
မှ@@	4738
ဝ@@	4721
ကျ@@	4544
များ	4489
င့်	4430
ဟ@@	4329
သော	4260
ား@@	3948
ကြ@@	3918
က်@@	3905
တ်	3873
ချ@@	3862
ော	3830
ံ	3787
တို့	3774
တော်	3767
န်@@	3739
်	3729
ပ်	3541
မ	3502
ူ@@	3485
ေး	3461
ရှ@@	3379
ယ်	3379
ခြင်း	3368
ည်	3367
ုံ@@	3332
့@@	3309
စ်@@	3128
ူ	3098
သူ	3052
နှင့်	2960
ီး	2936
ကြော@@	2921
ဖ@@	2893
ို	2868
ိ	2823
ရှိ	2776
င@@	2771
ခဲ့	2729
်း	2651
၊	2628
ည@@	2625
မျ@@	2594
ကြ	2531
နည်း	2502
ါ@@	2498
ှ@@	2489
ည်@@	2485
့်@@	2462
့	2461
ရ	2412
တ်@@	2397
ည့်	2379
တွင်	2356
က	2344
ျ@@	2341
သို့	2330
ိုင်	2305
မြ@@	2269
ဲ	2170
္@@	2111
နှ@@	1954
၁@@	1928
ှ	1577
တွ@@	1535
အ	1405
၍	1395
ံ@@	1393
ဉ@@	1366
ည်း	1338
ီ@@	1334
ီ	1298
ြ	1079
ဒ@@	1076
ို့	1034
တော@@	993
ဦ@@	955
ခြ@@	877
သ	844
ဇ@@	822
ဂ@@	774
၂@@	770
‘	751
⁠	750
’	749
၁	744
ဲ့	722
ခ	706
့်	691
၌	645
ဲ@@	642
လ	642
—@@	637
ျ	611
၂	606
၄	583
၃	581
၅	529
–	525
ဗ@@	511
ဘ	507
ဤ@@	493
၆	490
၀	484
ဓ@@	462
ဏ@@	437
၇	430
တ	418
၉	414
၈	411
ဤ	400
ဝ	388
ဥ@@	324
္	320
စ	309
ပ	302
၃@@	296
ြ@@	278
ဣ	277
•	258
ဧ	227
ယ	215
ဿ@@	167
—	149
ဟ	145
န	143
၉@@	142
၄@@	136
၀@@	132
ဒ	129
:@@	112
ွ	94
ဌ@@	79
၎	73
၅@@	67
ဧ@@	65
ဂ	61
၆@@	60
ဋ@@	60
ဍ	57
ဇ	56
ဆ	50
,@@	50
၇@@	45
၈@@	42
i@@	41
e@@	41
ည	35
o@@	32
ဗ	30
r@@	28
ဩ@@	27
ထ	27
ဏ	27
a@@	27
ဍ@@	25
n@@	25
ဠ@@	24
ဖ	22
t@@	22
s@@	19
l@@	18
p@@	16
ဩ	15
g@@	14
n	13
b@@	13
ဥ	12
s	12
h@@	12
c@@	12
t	11
m@@	10
e	10
d@@	9
y	7
u@@	7
ဣ@@	6
​	5
င	5
v@@	5
ဈ@@	4
l	4
f@@	4
d	4
·@@	3
©	3
w@@	3
r	3
h	3
’@@	2
‘@@	2
ʹ@@	2
y@@	2
w	2
p	2
o	2
m	2
j	2
f	2
b	2
2@@	2
0@@	2
.@@	2
↓	1
↑	1
ဿ	1
ဃ@@	1
ʹ	1
z@@	1
u	1
k@@	1
k	1
i	1
g	1
6	1
3	1
-@@	1
