a	18844
aa@@	17913
i@@	16495
aa	15611
a@@	15419
g@@	14546
m@@	14116
s@@	13326
b@@	13097
k@@	12736
d@@	12370
t@@	12316
f@@	11530
r@@	11489
dh@@	10945
u@@	10901
w@@	10238
n@@	9866
an@@	9714
j@@	9690
am@@	9281
o@@	8640
h@@	8390
u	8198
oo@@	8196
is@@	8158
ii@@	7678
ee@@	7496
uu@@	7133
q@@	7029
l@@	6964
y@@	6936
uu	6679
ii	6583
aan	6577
n	5524
f	5350
e	5290
ar@@	5081
s	5012
i	4894
ee	4815
an	4778
ir@@	4690
tti	4628
e@@	4625
ch@@	4466
al@@	4410
oo	4155
’@@	3989
akk@@	3942
um@@	3932
at@@	3889
ta’@@	3749
eess@@	3568
akka	3530
aan@@	3517
ra	3435
aal@@	3409
ab@@	3392
qab@@	3229
ur@@	3122
ho@@	3076
arg@@	2972
je@@	2946
ul@@	2850
kan	2849
eeny@@	2798
ta	2769
aar@@	2691
a’@@	2664
chuu@@	2646
fi	2602
waa@@	2597
nam@@	2582
atti	2556
bar@@	2493
ye@@	2483
nni	2401
hin	2239
ayy@@	2217
iis@@	2190
c@@	2175
il@@	2123
1@@	2118
to@@	2070
dd@@	2055
ann@@	2054
nn@@	1887
in	1801
yy@@	1671
kk@@	1583
o	1566
tt@@	1323
x@@	1222
p@@	1218
l	1151
1	885
2@@	843
’	803
‘	800
—	754
2	733
4	630
3	624
5	534
6	527
0	506
een@@	460
7	455
9	453
3@@	433
8	423
b	385
•	258
⁠@@	256
t	217
9@@	214
4@@	211
m	205
ees@@	203
0@@	177
z@@	169
d	137
5@@	119
.@@	116
6@@	106
8@@	103
7@@	83
r	80
,@@	50
v@@	31
w	27
k	17
x	16
h	7
–	5
z	5
v	5
q	5
g	2
c	1
