u@@	11064
ku@@	9679
o	9493
m@@	9014
wa	8292
na	7666
wa@@	7612
i@@	7094
a@@	6713
e@@	6425
a	6396
o@@	6309
i	6106
t@@	5791
ya	5674
u	5241
d@@	4913
k@@	4679
p@@	4363
am@@	4297
kwa	4246
e	4177
ia	4174
h@@	4129
ma@@	3780
s@@	3774
ha@@	3689
g@@	3665
ali@@	3488
n@@	3456
z@@	3403
j@@	3401
r@@	3131
hu@@	3117
hi@@	3040
za	2965
ki@@	2953
an@@	2925
li@@	2907
li	2769
b@@	2725
l@@	2720
sh@@	2673
yo	2528
ak@@	2526
y@@	2524
la	2505
ta@@	2486
at@@	2461
kuwa	2232
ba@@	2207
v@@	2156
zi	2102
yo@@	2086
si@@	2085
ani	2075
ik@@	2068
ye	2041
en@@	2023
bi@@	2021
ana	1937
yehova	1891
f@@	1889
katika	1856
ji@@	1805
ch@@	1799
on@@	1771
tu	1763
ili@@	1757
si	1753
tu@@	1751
we@@	1747
ka@@	1738
di	1709
sa@@	1656
wana@@	1653
ni	1601
fu@@	1575
mungu	1571
bu	1548
1@@	1521
kwamba	1501
ye@@	1465
fu	1462
in@@	1460
amba@@	1446
ana@@	1393
um@@	1378
ot@@	1373
ri	1370
end@@	1363
ish@@	1337
le	1299
na@@	1298
un@@	1281
w@@	1279
mi@@	1278
wali@@	1248
ili	1221
ina@@	1220
wen@@	1211
mb@@	1207
ing@@	1201
za@@	1172
ka	1165
fa@@	1149
ra@@	1140
ini	1139
uli@@	1131
ang@@	1128
tuna@@	1117
we	1116
isha	1114
wak@@	1109
weza	1103
ata	1096
ele@@	1057
da	1055
sha	1033
kut@@	1033
zo	1031
ja	1002
vi@@	1001
nini	983
kum@@	968
tum@@	966
po@@	965
fanya	957
sa	956
ya@@	955
aka	945
le@@	942
gani	942
ua	937
ma	929
wake	919
pend@@	919
iki@@	894
pa@@	887
yesu	871
fun@@	871
ung@@	865
ika	864
fan@@	861
zi@@	853
lo	844
ri@@	843
me@@	828
watu	809
risto	808
hivyo	797
—	792
mwen@@	786
mo@@	781
mat@@	781
hivi	764
nd@@	755
ji	751
he@@	746
2@@	742
ng@@	741
mw@@	741
ny@@	726
wat@@	724
kati	724
je	717
ati@@	711
onye@@	701
ea	687
amb@@	686
ra	682
c@@	682
una@@	679
mwa@@	674
sema	669
kama	667
cha	663
kuhu@@	659
da@@	659
ro@@	653
uri	642
1	642
saba@@	640
mambo	636
yake	632
kuto@@	630
aka@@	630
sik@@	628
ine	617
ze@@	611
su	610
pi@@	608
‘	589
’	588
2	549
4	491
3	480
5	441
0	440
ema	429
6	409
ake	404
ambo	355
7	349
9	341
8	330
mba	326
ov@@	307
3@@	303
kwa@@	299
•	258
ama	235
kat@@	200
b	165
0@@	152
9@@	150
to	145
4@@	138
’@@	124
.@@	93
k	76
5@@	71
m	70
6@@	63
,@@	55
n	54
7@@	50
8@@	49
h	40
ungu	39
d	37
s	36
y	35
yeh@@	34
r	29
t	19
l	18
–	12
ris@@	10
f	10
é	9
w	7
x@@	6
ʹ@@	5
é@@	5
c	5
·@@	4
©	3
p	2
j	2
g	2
↓	1
↑	1
ʹ	1
ü@@	1
x	1
hiv@@	1
