s@@	16216
a@@	15882
k@@	15870
e@@	15825
y@@	15824
i@@	14613
i	14154
u@@	14108
t@@	13749
ı@@	13106
m@@	11801
r@@	11381
d@@	11037
l@@	10944
a	10807
ş@@	10376
b@@	9906
ğ@@	8783
ı	8659
n	8641
ü@@	8391
o@@	7726
g@@	7529
in@@	7414
k	7404
e	7227
ç@@	7046
c@@	7043
er@@	6743
r	6568
z@@	6379
h@@	6336
me@@	5828
n@@	5757
ın@@	5569
ö@@	5550
ar@@	5525
il@@	5395
v@@	5328
an@@	5200
lar@@	5197
ma@@	5161
la@@	5105
u	4984
in	4471
ya@@	4346
le@@	4287
de@@	4017
da@@	3996
z	3899
ka@@	3645
sa@@	3569
p@@	3416
et@@	3304
un@@	3250
ler@@	3193
ir@@	3151
ve	3130
en@@	3108
iy@@	3093
da	3063
de	3027
m	2904
ta@@	2839
ba@@	2831
l	2814
bir	2705
ın	2704
on@@	2605
ek@@	2598
ol@@	2569
ün@@	2551
iz@@	2531
ye@@	2416
le	2412
lı@@	2392
f@@	2371
ha@@	2253
’@@	2249
ki@@	2247
or@@	2209
i̇@@	2208
bil@@	2170
du@@	2160
t	2143
’nın	2129
va@@	2118
dı@@	2118
ne@@	2117
den	2017
te@@	1948
gö@@	1946
ir	1941
lar	1938
tan@@	1882
di@@	1828
se@@	1787
ho@@	1784
li@@	1759
ü	1424
’	1131
ş	1097
s	1031
p	990
‘	689
1@@	681
ç	529
o	502
â@@	429
h	386
’n@@	366
y	354
2@@	346
b	316
•	254
0	222
4	191
2	191
1	184
3	174
d	172
5	165
6	160
7	145
9	144
0@@	138
9@@	133
3@@	132
8	129
f	117
j@@	91
4@@	82
.@@	55
û@@	54
v	52
5@@	49
â	45
6@@	42
8@@	38
7@@	38
w@@	31
ğ	25
i̇	24
–	20
ö	20
w	12
î@@	8
é	6
—	4
x@@	4
j	4
é@@	3
©	3
g	3
c	3
î	2
,@@	2
↓	1
↑	1
