đ@@	9131
ng	8713
n	7536
t@@	7528
th@@	6714
h@@	6544
l@@	6492
i	6243
ch@@	5897
b@@	5792
a	5732
c@@	5463
tr@@	4959
m@@	4642
s@@	4596
n@@	4541
m	4483
d@@	4283
u@@	4235
nh@@	4140
gi@@	3753
v@@	3564
y	3360
của	3302
c	3278
p	3208
người	3204
và	3127
ph@@	3113
đức	3108
t	3108
á@@	3086
o	3032
có	2846
kh@@	2731
giê	2700
ta	2664
r@@	2506
chúa	2495
chúng	2466
những	2456
u	2431
x@@	2414
ên	2297
là	2266
qu@@	2230
sự	2109
ạ@@	2045
cho	2016
k@@	2014
không	1962
i@@	1886
nh	1833
an	1817
được	1798
va	1796
à@@	1782
hô	1763
một	1746
trời	1731
ả@@	1713
trong	1703
ắ@@	1650
â@@	1646
ti@@	1561
làm	1527
1@@	1522
ân	1519
ng@@	1506
ất	1505
g@@	1460
đã	1459
thế	1458
ngài	1444
với	1425
nào	1401
các	1395
về	1323
thể	1317
ình	1309
ọ@@	1283
khi	1265
o@@	1260
uy@@	1235
ú@@	1228
thánh	1225
ô	1200
điều	1163
y@@	1162
ết	1136
như	1132
ị	1109
iên	1108
ặ@@	1105
ần	1081
họ	1064
ước	1059
sẽ	1059
để	1058
đến	1055
ai	1045
ức	1043
ầu	1037
ư@@	1032
ê	1020
ra	1018
lời	1018
ngh@@	1014
ay	1006
ối	1003
việc	999
ôn	994
ị@@	992
ê@@	983
—	979
í@@	974
ơi	970
đó	969
ở	956
ả	956
ời	954
ố@@	954
phải	953
ý	949
ác	947
em	943
êu	937
ơ	925
ậ@@	924
ộ@@	913
lòng	911
anh	910
ao	909
ó@@	902
ằng	896
ồ@@	885
e@@	867
ội	865
ứ@@	864
mình	849
vì	848
này	839
ă@@	828
đồ	823
nói	821
gì	819
ờ	816
sống	812
su	810
ận	800
ấ@@	796
ông	793
ính	792
biết	788
lại	787
công	767
iều	763
mà	750
iệ@@	749
tôi	748
2@@	732
cách	706
đấng	703
ch	702
ăn	698
con	695
sao	694
au	693
ứ	687
iể@@	683
ương	676
họ@@	674
ệ@@	670
inh	670
thành	668
e	668
ự@@	667
ẻ	663
1	654
cũng	649
và@@	645
thấy	644
ếu	643
ùng	641
ục	639
bạn	638
kinh	634
thương	631
ho@@	622
ố	621
hãy	621
ợ@@	615
é@@	615
christ	615
tại	608
ngày	606
thật	605
ẫ@@	601
ích	600
ền	599
ầ@@	597
ang	593
ở@@	592
ưng	586
ườ@@	582
iện	582
ấy	572
ì	572
ến	568
ỏ@@	557
2	556
ó	525
ò@@	524
ật	519
ớ	517
ế@@	517
ừ	514
a@@	498
4	491
ợ	489
à	484
ổ@@	483
ơ@@	482
3	477
ỉ	462
ngư@@	458
ại	449
ới	446
5	441
ẳ@@	438
ữ	434
0	425
ỏ	417
ừ@@	413
ải	413
6	408
ù	404
ống	401
ượ@@	400
ữ@@	388
thá@@	388
á	385
ộ	375
ử	374
ành	368
ổ	367
ã@@	367
ự	360
ỗ@@	344
ề	343
9	340
7	338
cá@@	336
8	333
iết	332
ớ@@	323
ẹ	320
ụ@@	319
ệ	316
ễ	313
ạn	303
ĩ	303
3@@	298
ẽ	296
ẩ@@	296
ụ	295
í	287
ì@@	277
ỗ	274
ế	256
•	254
ôi	253
ều	237
ư	229
ĩ@@	229
ử@@	217
ủ	211
ằ@@	209
ủ@@	207
‘	196
’	195
ể	193
õ	180
b	172
ú	171
ô@@	164
ướ@@	158
ong	147
0@@	144
là@@	143
9@@	143
ỡ@@	142
ề@@	141
4@@	138
òng	129
ẹ@@	124
ỳ	119
ỡ	114
ạ	111
ỷ	105
ò	104
ễ@@	100
ù@@	85
è@@	85
ũ	84
nà@@	83
ẵ@@	79
ững	77
s	67
5@@	66
ỉ@@	63
õ@@	62
6@@	62
ã	61
ri@@	61
ói	58
ũ@@	56
.@@	55
j@@	48
7@@	44
8@@	40
ươ@@	38
p@@	35
ngà@@	34
é	30
co@@	27
è	26
w	26
ột	24
ọ	24
ồ	23
hã@@	23
củ@@	23
ược	21
w@@	21
d	21
ể@@	20
ỹ	18
ấng	17
chú@@	17
r	14
​	13
iệc	13
ẻ@@	12
l	11
ờ@@	10
h	10
f@@	10
f	10
k	9
ũng	7
ʹ@@	5
z@@	5
’@@	4
–	4
·@@	4
©	3
ris@@	3
ỵ	2
ý@@	2
x	2
j	2
chris@@	2
,@@	2
⁠	1
—@@	1
ʹ	1
ü@@	1
