t@@	3748
n@@	3307
r	3219
m@@	3201
u@@	3190
h@@	3092
r@@	3048
k@@	2942
m	2827
t	2462
i@@	2438
a	2266
e@@	2261
mo@@	2204
o@@	2151
a@@	2131
f@@	1691
s@@	1536
ha@@	1477
b@@	1475
y@@	1413
yi@@	1299
hato	1269
nd	1156
i	1123
ya@@	1111
kfo	1103
p@@	1097
h	1092
ht@@	1024
d@@	1007
ro@@	997
k	997
g@@	930
yu@@	921
n	898
u	891
in@@	877
o	850
w@@	825
na@@	817
an@@	796
ni@@	741
rhu	740
ko	728
ka@@	711
ta@@	675
ra@@	673
memo@@	662
yima@@	644
nd@@	639
th@@	631
be	622
wa@@	600
uha@@	576
ri@@	575
rah@@	564
bro	563
if@@	556
rh@@	550
inji	542
wo@@	539
ny@@	524
fa@@	518
jisasr	500
nhai	499
yak@@	492
rm	490
e	486
wom	475
om@@	475
ma@@	468
mi@@	452
tfit	443
no	439
j@@	427
nef@@	421
wan@@	419
bo@@	417
hu@@	414
f	413
mro@@	406
nkif@@	402
rn	399
kfot	393
kfo@@	388
yimam	386
rp@@	380
toh@@	375
na	375
tn	374
br@@	366
to@@	362
ef@@	341
s	297
to	280
l@@	275
me@@	236
sa@@	210
isa@@	203
y	194
‘	180
’	172
kf@@	147
-@@	138
jisas@@	134
fi@@	101
nha@@	58
g	54
1@@	28
nk@@	22
7@@	19
0@@	19
0	19
2@@	18
b	12
fit	10
inj@@	9
jisa@@	8
p	6
6@@	6
:	4
l	3
8@@	3
3@@	3
3	2
j	1
9@@	1
9	1
8	1
5@@	1
4@@	1
2	1
