i	2314
na	926
ma@@	813
ya	777
gi	750
u	620
siha	617
ni	574
ha	566
si	565
man@@	515
para	477
t@@	471
yan	454
a@@	430
jesus	393
e@@	392
'	390
si@@	382
k@@	381
gui'	375
s@@	364
-ña	362
i@@	343
p@@	310
un	288
u@@	280
ti	280
b@@	279
o@@	272
m@@	265
d@@	262
la@@	259
o	257
na@@	256
sa@@	255
g@@	253
este	248
en@@	244
n@@	242
en	239
'@@	239
må@@	234
ta@@	229
ilek-ña	226
l@@	221
r@@	218
gu@@	214
å@@	210
hamyo	207
lå@@	205
an	201
na'@@	196
anai	192
ma	191
fan@@	188
ri@@	187
låo	185
ot@@	183
manma@@	180
taotåo	179
pa@@	176
as	176
hu	175
e	175
on	173
håfa	173
ha@@	173
a	173
todu	166
nu	166
ka@@	162
tåotåo	160
put	158
ku@@	158
ma'@@	157
tu@@	154
ha'	154
tå@@	153
ga@@	151
ra	149
in@@	149
h@@	149
ginen	148
k	147
ent@@	144
;	142
ta	139
mu@@	139
-mu	139
på@@	138
hi@@	137
guiya	136
e'	133
di@@	133
f@@	131
di	131
s	130
li@@	130
ch@@	129
mi@@	126
yu'os	125
ng@@	125
bi@@	124
ra@@	123
t	122
ko@@	122
os	121
on@@	121
fa@@	118
et@@	118
e'@@	116
yanggen	114
pu@@	113
es@@	113
ayo	113
an@@	112
da@@	110
yu'	109
mo@@	109
sa'	107
pues	105
ot	103
cha@@	101
bai	101
siempre	100
gi@@	100
li'e'	99
-ñiha	98
go'	97
ba@@	97
se@@	96
sa	96
hi	96
go@@	96
lo'	93
ki	93
du@@	93
ti@@	90
nina'@@	90
mana'@@	90
giya	90
es	90
håo	89
ennåo	89
da	89
su@@	88
guaha	88
o'@@	87
n	87
mam@@	87
hånåo	87
-miyu	87
siña	86
ñ@@	85
ek@@	84
-hu	84
mañ@@	83
le@@	83
ina@@	83
ga	82
m	81
håyi	81
o'	80
lu@@	80
eng@@	80
iha	79
gu	79
despues	79
y@@	78
hu@@	78
gå@@	78
måtto	76
mang@@	76
åo	75
is@@	73
est@@	73
tutuhon	72
re@@	72
esta	72
hå@@	71
så@@	70
sangåni	70
lo@@	70
nai	68
ma'a@@	68
le'	68
mås	67
la'	67
guatu	67
chu@@	67
otro	66
gas	66
bu@@	66
ån@@	65
sion	65
ong@@	65
mana@@	65
gui@@	65
å'@@	64
lu	64
ini@@	64
gua@@	64
-@@	64
må'@@	63
sen	62
no'	62
mp@@	62
lo	62
då@@	62
pp@@	61
ten@@	60
tan@@	60
kan@@	59
de	59
cho@@	59
linahyan	58
dos	58
tt@@	57
lala@@	57
ki@@	57
tina@@	56
tai@@	56
lom	56
ña@@	55
nu@@	55
mala@@	55
guåhu	54
fanma@@	54
:	54
unu	53
tan	53
ru	53
gof	53
manoppe	52
ine@@	52
tiempo	51
tai	51
tr@@	50
sia	50
kåo	50
guennåo	50
des@@	50
de@@	50
cho'gue	50
ba	50
mandesipulu-ña	49
pb@@	48
gue	48
tåtte	47
ta'lo	47
od@@	47
gang	47
gaigi	47
faisen	47
pi@@	46
lahen	46
hulo'	46
guå@@	46
guini	46
debi	46
ss@@	45
san@@	45
mientras	45
manman@@	45
lokkue'	45
hålom	45
eståba	45
uri@@	44
on-ñiha	44
me'@@	44
la	44
fu@@	44
tungo'	43
men	43
huyong	43
fama@@	43
aniti	43
yi	42
saina	42
manmåtto	42
hinass@@	42
esk@@	42
ina'@@	41
entonses	41
tåya'	40
nå'i	40
ku	40
juan	40
hungok	40
c@@	40
ang@@	40
yu@@	39
nan	39
kå@@	39
konne'	39
to	38
kon@@	38
isen	38
humånåo	38
fina'@@	38
fi@@	38
cho	38
ru@@	37
os@@	37
ong	37
nå@@	37
mina@@	37
mama@@	37
hågu	37
hin@@	37
fin@@	37
fe@@	37
f	37
do@@	37
chong	37
'i	37
tu	36
nok	36
lugåt	36
le	36
ha'åni	36
gima'	36
ge	36
et	36
era	36
emp@@	36
at@@	36
pru@@	35
kont@@	35
hon	35
homlo'	35
het	35
dångko@@	35
pat	34
nai@@	34
go'@@	34
cho'	34
asta	34
på'go	33
manå@@	33
låo'an	33
kuånt@@	33
kon	33
kom@@	33
farisehu	33
espiritu	33
taimanu	32
song	32
rainon	32
pedro	32
numa'@@	32
na'fan@@	32
langet	32
fina@@	32
fa'@@	32
cha'@@	32
ñå@@	31
tak@@	31
seha	31
påpa'	31
olek	31
odda'	31
mismo	31
lon	31
lile@@	31
iñ@@	31
ilek-ñiha	31
humå@@	31
das	31
cha'-miyu	31
cha'	31
bå@@	31
yuy@@	30
susedi	30
siñ@@	30
rå@@	30
ok	30
o'lo	30
nangåni	30
mon	30
meggai	30
mandesipu@@	30
ma'estro	30
ho@@	30
hge	30
han	30
få@@	30
cha	30
yong	29
tågo'	29
tto	29
patgon	29
otå@@	29
o-ña	29
maolek	29
ko'	29
in	29
han@@	29
gai	29
tte	28
