a	2535
e@@	2430
u@@	2389
a@@	2252
en	2211
d@@	2117
i@@	1973
t@@	1790
h@@	1673
b@@	1632
g@@	1596
z@@	1574
k@@	1549
ar@@	1528
i	1430
o@@	1361
tz@@	1237
u	1181
er@@	1157
e	1113
eta	1048
l@@	1030
r@@	1012
zi@@	988
ai@@	979
s@@	964
en@@	955
at@@	948
an	860
eg@@	805
or@@	801
j@@	777
n@@	769
et@@	756
ur@@	731
ak	711
m@@	678
ko	665
zu@@	659
an@@	651
al@@	645
ik	614
it@@	605
ek	588
:	582
o	557
ir@@	554
es@@	529
p@@	525
ez	522
du@@	504
on@@	494
ain@@	483
in@@	480
as@@	445
ean	439
ber@@	414
arr@@	407
ba@@	406
ot@@	395
iz@@	388
el@@	382
ag@@	368
in	364
z	363
bi@@	358
zt@@	345
r	327
on	323
t	317
ko@@	306
em@@	305
ha@@	296
di@@	295
jesus@@	287
zen	270
—	269
era	268
esan	266
n	248
s	232
x@@	218
;	211
k	209
-@@	205
us@@	202
jes@@	135
f@@	123
l	97
v@@	13
m	6
*	1
