na	3814
sa	3263
ni	1893
ka	1775
e	1748
ta@@	1523
u	1522
a	1491
u@@	1473
ko	1429
i@@	1423
e@@	1404
i	1220
ra@@	1071
vaka@@	1045
a@@	1004
d@@	1000
ka@@	962
r@@	840
koya	816
ra	801
o@@	797
s@@	783
c@@	773
va@@	749
ia	746
ira	736
o	733
ma@@	687
le@@	647
ke@@	646
g@@	643
vei	613
t@@	613
l@@	602
kaya	596
m@@	577
ya@@	571
vu@@	569
b@@	540
ga	539
ki	525
ta	522
la@@	522
me	499
ca@@	473
sa@@	471
v@@	469
vo@@	466
w@@	444
ti@@	396
mai	384
no@@	381
dua	370
la	356
n@@	353
;	349
q@@	343
ca	343
tu@@	340
ou	323
lo@@	323
kei	317
k@@	317
vei@@	316
lako	316
:	302
sega	301
nai	300
le	300
ki@@	295
na@@	289
ro@@	285
li	281
era	281
tu	280
dou	278
j@@	277
vua	276
p@@	263
is@@	263
wa	258
-@@	257
ua	253
kina	250
qai	249
li@@	246
ni@@	241
mudou	238
va	234
so@@	226
vi@@	224
ku@@	220
ti	213
bu@@	210
tamata	209
au	203
oqo	201
ko@@	197
mu@@	187
ega	140
ai	120
ei	117
ve@@	97
’@@	91
ya	82
f@@	69
tama@@	42
oq@@	41
]	1
[	1
