o@@	2688
is@@	2632
i@@	2134
e@@	1927
comam	1920
l	1795
l@@	1745
n	1741
a@@	1682
naj	1521
o	1457
w@@	1439
u@@	1436
c@@	1376
y@@	1375
ma@@	1375
'@@	1353
ha@@	1331
x@@	1330
ya@@	1315
ebnaj	1159
a	1134
h@@	1131
t@@	1027
ch@@	1019
la@@	1011
n@@	967
j@@	954
tu'	943
yin̈	931
to	907
wa@@	861
ca@@	830
m@@	827
'	825
chi@@	822
i	778
b@@	777
tz@@	773
an@@	763
yi@@	720
'a@@	716
y	700
e	686
xin	681
anma	676
k'@@	638
tet	627
ja@@	618
il	592
s@@	583
tx@@	579
yet	567
m	567
:	545
k'a@@	543
che@@	540
c	531
p@@	529
n̈@@	528
an̈	525
b	517
ni@@	504
x	495
be@@	494
ti'	491
t	489
caw	486
j	477
hune'	472
ba@@	470
na@@	466
r@@	465
hun@@	463
an̈@@	459
pa@@	458
ta@@	457
co	453
ẍi	441
he@@	439
--	437
yu@@	436
ta	432
yu	431
yul	424
sa@@	424
cha@@	415
te@@	411
tzet	392
il@@	386
ni	379
s	378
ch	372
ti@@	366
yeb	362
xi@@	359
co@@	347
yalni	338
dios	338
ye@@	337
ha'	336
c'u@@	330
c'@@	319
un@@	316
u	297
eb@@	231
d@@	217
e'	170
ẍ@@	162
lni	157
h	141
yin@@	137
p	125
q@@	117
g@@	109
w	108
tu@@	106
̈	90
k@@	87
mam	64
̈@@	59
f@@	55
v@@	49
;	48
et	45
z@@	31
-@@	22
dio@@	18
z	14
ma	14
r	12
d	12
di@@	4
`	4
ẍ	3
