s@@	1901
k@@	1485
l@@	1476
e@@	1353
a	1342
a@@	1341
y@@	1338
i@@	1334
ş@@	1118
ı@@	1046
t@@	1023
u@@	950
i	934
ğ@@	895
m@@	858
ı	850
r@@	849
di@@	844
k	803
z@@	793
e	750
o@@	747
d@@	718
ü@@	697
in@@	696
b@@	690
h@@	677
c@@	667
ç@@	643
n@@	618
la@@	611
ya@@	604
ar@@	587
er@@	557
en@@	556
ö@@	551
me@@	534
le@@	507
n	505
m	493
g@@	493
an@@	492
ma@@	484
r	483
ka@@	474
z	472
da	469
u	460
in	459
li@@	457
ler@@	452
'@@	450
ın@@	449
ın	435
p@@	408
de@@	387
ün@@	384
ge@@	379
ler	377
ba@@	365
le	364
on@@	361
İsa	352
v@@	351
de	350
ra@@	349
p	343
lar	339
un@@	318
den	312
en	310
et@@	308
bir	305
kt@@	304
gi@@	301
lar@@	298
du@@	297
ü	294
dı	294
ki@@	289
ve	286
ine	280
di	275
ce@@	274
ha@@	271
lı@@	270
öy@@	269
dedi	258
sa@@	256
ru@@	256
ol@@	247
dan	247
ya	246
bi@@	240
da@@	238
dı@@	237
ye	231
ini	230
f@@	230
bir@@	225
un	218
l	211
ak	207
ver@@	206
yor@@	204
ku@@	204
ye@@	200
ğr@@	198
ti@@	198
onlar@@	198
tan@@	196
ken@@	195
du	191
t	189
baş@@	187
ta@@	186
gö@@	185
tu@@	184
am@@	181
si@@	179
la	179
bu	179
İsa@@	178
leri	177
ün	175
tı@@	174
ş	173
kar@@	170
ev@@	170
rı@@	169
yo@@	167
te@@	166
ola@@	166
'nın	166
ür@@	165
gör@@	165
ların@@	161
kı@@	161
bu@@	156
ağ@@	156
sı@@	155
üz@@	153
siz@@	153
ları	153
mi@@	148
ki	147
için	147
o'n@@	143
ne	143
bun@@	143
yan@@	142
or@@	142
ada@@	142
sın@@	140
ci@@	138
bü@@	137
:	135
mı@@	133
ön@@	132
yi@@	131
yer@@	131
se@@	129
İ@@	128
yor	126
er	126
o	124
‘	118
s	116
’	115
iç@@	112
ç	100
y	97
Ç@@	87
Ö@@	82
â@@	81
'n@@	77
Ş@@	54
h	52
;	41
b	31
İs@@	15
Ü@@	13
j@@	13
ğ	12
v	11
—	6
â	5
…	3
f	3
î	2
