id,cluster,subword,word_types,cum_freq,idiosincracy_index
0,1,ka,1762,4985,2.829171396140749
1,1,in,1110,4063,3.660360360360361
2,1,it,869,3367,3.8745684695051774
3,1,ri</w>,788,3153,4.001269035532995
4,1,ak,1269,3845,3.029944838455477
5,1,ir,922,2721,2.9511930585683297
6,1,an,981,3086,3.145769622833843
7,1,at,800,2600,3.25
8,1,ap,722,2242,3.1052631578947367
9,0,os,99,1689,17.060606060606062
10,0,ot,426,1576,3.699530516431925
11,1,ik,1010,2693,2.6663366336633665
12,0,aka,601,1438,2.3926788685524127
13,0,ãk,358,1557,4.349162011173185
14,0,ini,536,1847,3.44589552238806
15,1,ar,1078,3631,3.368274582560297
16,0,iu,103,1248,12.116504854368932
17,0,ika,542,1256,2.3173431734317345
18,0,ok,503,1581,3.143141153081511
19,0,im,457,1222,2.673960612691466
20,0,ari</w>,459,1909,4.159041394335512
21,0,au,348,1255,3.60632183908046
22,0,er,232,1139,4.9094827586206895
23,1,ni</w>,552,2315,4.193840579710145
24,0,ini</w>,254,988,3.8897637795275593
25,0,itx,118,973,8.245762711864407
26,0,es,24,963,40.125
27,0,ire,322,938,2.9130434782608696
28,0,xes,8,909,113.625
29,0,xesos,8,909,113.625
30,0,ere,157,888,5.656050955414012
31,0,ip,318,917,2.8836477987421385
32,0,xesosi</w>,1,848,848.0
33,0,is,278,832,2.9928057553956835
34,0,iti</w>,114,788,6.912280701754386
35,0,ĩt,193,777,4.025906735751295
36,0,am,349,1110,3.180515759312321
37,0,ãt,245,786,3.2081632653061223
38,0,ĩka,173,718,4.1502890173410405
39,2,inini,25,661,26.44
40,1,tx,384,2288,5.958333333333333
41,2,oni</w>,162,606,3.740740740740741
42,2,aak,176,591,3.3579545454545454
43,2,ereka,91,586,6.43956043956044
44,0,na</w>,450,1487,3.3044444444444445
45,2,ininiã</w>,4,558,139.5
46,0,ako,179,799,4.4636871508379885
47,2,eos,18,543,30.166666666666668
48,2,teos,16,540,33.75
49,2,saak,171,580,3.391812865497076
50,2,iua</w>,28,532,19.0
51,2,teoso</w>,1,495,495.0
52,0,nin,149,1349,9.053691275167786
53,2,iret,190,508,2.673684210526316
54,2,oka,228,458,2.008771929824561
55,0,iua,67,699,10.432835820895525
56,2,ina</w>,196,465,2.372448979591837
57,2,oa</w>,9,450,50.0
58,0,ana</w>,196,723,3.688775510204082
59,0,ka</w>,366,1343,3.669398907103825
60,2,ãp,197,438,2.2233502538071064
61,0,pan,147,704,4.789115646258503
62,2,ika</w>,107,402,3.7570093457943927
63,2,kãk,5,395,79.0
64,2,akori</w>,61,411,6.737704918032787
65,2,saaki</w>,97,421,4.34020618556701
66,2,iri</w>,171,489,2.8596491228070176
67,2,ãkir,111,578,5.207207207207207
