id,cluster,subword,word_types,cum_freq,idiosincracy_index
0,2,َا,1101,2583,2.346049046321526
1,2,لَ,487,2351,4.827515400410678
2,2,وَ,971,2193,2.258496395468589
3,2,ُو,933,1967,2.1082529474812435
4,2,أَ,705,1928,2.7347517730496453
5,2,ٱل,842,2099,2.492874109263658
6,2,ِي,697,1509,2.1649928263988523
7,2,مَ,613,1633,2.66394779771615
8,1,ٱلْ,557,1217,2.18491921005386
9,2,يَ,692,1451,2.096820809248555
10,1,فَ,501,1071,2.1377245508982035
11,1,نَ</w>,384,1059,2.7578125
12,1,تَ,650,1031,1.5861538461538462
13,1,نَ,439,1098,2.501138952164009
14,1,لِ,420,1021,2.4309523809523808
15,1,هُ</w>,351,837,2.3846153846153846
16,1,مْ</w>,260,783,3.011538461538461
17,1,عَ,316,819,2.5917721518987342
18,1,يْ,200,735,3.675
19,1,ِي</w>,153,738,4.823529411764706
20,1,رَ,472,819,1.7351694915254237
21,1,إِ,113,677,5.991150442477876
22,1,ُمْ</w>,222,620,2.7927927927927927
23,1,هَ,235,633,2.693617021276596
24,1,بَ,345,674,1.953623188405797
25,1,نْ</w>,40,557,13.925
26,1,مِ,202,731,3.618811881188119
27,1,كَ,250,797,3.188
28,1,سَ,331,673,2.033232628398792
29,1,ًا</w>,185,529,2.85945945945946
30,1,قَا,68,521,7.661764705882353
31,1,نْ,206,504,2.4466019417475726
32,1,لَ</w>,99,488,4.929292929292929
33,1,ُوا</w>,277,474,1.711191335740072
34,1,بِ,295,539,1.827118644067797
35,0,هِ</w>,103,410,3.9805825242718447
36,0,ذَ,82,405,4.939024390243903
37,1,دَ,239,431,1.803347280334728
38,1,قَ,273,899,3.293040293040293
39,1,يُ,298,496,1.6644295302013423
40,1,جَ,226,538,2.380530973451328
41,0,ُونَ</w>,201,348,1.7313432835820894
42,0,فِي</w>,8,347,43.375
43,0,هُمْ</w>,113,345,3.0530973451327434
44,0,عْ,183,345,1.8852459016393444
45,0,حَ,173,385,2.2254335260115607
46,0,لَى</w>,8,332,41.5
47,0,لَّ,88,327,3.715909090909091
48,0,بْ,157,323,2.0573248407643314
49,0,كَ</w>,133,314,2.3609022556390977
50,0,قَالَ</w>,9,307,34.111111111111114
51,0,خَ,164,355,2.164634146341464
52,1,ِّ,216,398,1.8425925925925928
53,0,مَا</w>,78,290,3.717948717948718
54,1,مُ,287,409,1.4250871080139371
55,0,كَا,41,276,6.7317073170731705
56,0,نَّ,74,268,3.6216216216216215
57,0,ذَا</w>,25,268,10.72
58,2,لْ,703,1469,2.089615931721195
59,0,شَ,123,276,2.2439024390243905
60,0,ةِ</w>,127,250,1.968503937007874
61,0,َاء,108,253,2.342592592592593
62,0,مْ,135,242,1.7925925925925923
63,0,لَا</w>,14,244,17.428571428571427
64,1,كُ,225,609,2.7066666666666666
65,0,ِينَ</w>,80,237,2.9625
66,0,ّا</w>,45,295,6.555555555555555
67,0,رْ,136,230,1.6911764705882353
68,0,وْ,122,224,1.836065573770492
