id,cluster,subword,word_types,cum_freq,idiosincracy_index
0,2,wa,574,4229,7.367595818815331
1,2,na,399,3104,7.779448621553884
2,2,am,347,2867,8.262247838616714
3,2,an,630,3891,6.1761904761904765
4,2,wa</w>,281,2299,8.181494661921707
5,2,an</w>,187,3173,16.967914438502675
6,1,ta,327,2049,6.26605504587156
7,1,me,102,1646,16.137254901960784
8,1,ga,194,1611,8.304123711340207
9,1,ga</w>,41,1462,35.65853658536585
10,1,en</w>,229,1524,6.655021834061135
11,1,ewa</w>,151,1477,9.781456953642383
12,1,di,180,1218,6.766666666666667
13,1,wan,284,1378,4.852112676056338
14,1,pan</w>,8,1191,148.875
15,1,ne</w>,190,1488,7.831578947368421
16,1,mu,180,1084,6.022222222222222
17,1,en,280,2053,7.332142857142857
18,1,ie,25,905,36.2
19,1,ir,51,784,15.372549019607844
20,1,on</w>,53,768,14.49056603773585
21,1,nan</w>,23,766,33.30434782608695
22,1,ies,6,747,124.5
23,1,iesu</w>,5,743,148.6
24,1,ega</w>,6,1186,197.66666666666663
25,1,ba</w>,8,714,89.25
26,0,ka,115,579,5.034782608695652
27,1,ya,185,853,4.610810810810811
28,0,da</w>,7,619,88.42857142857143
29,0,ame</w>,10,617,61.7
30,1,up</w>,58,762,13.137931034482758
31,0,amba</w>,4,604,151.0
32,0,menan</w>,2,602,301.0
33,1,in,270,1412,5.229629629629629
34,1,ena,89,1252,14.067415730337078
35,1,ap</w>,72,1125,15.625
36,0,anega</w>,2,571,285.5
37,0,gapan</w>,1,561,561.0
38,0,wan</w>,39,545,13.974358974358974
39,0,iwan,174,537,3.086206896551724
40,1,ar,199,1263,6.346733668341709
41,0,ta</w>,88,500,5.681818181818182
42,0,ina,73,499,6.835616438356165
43,0,mega</w>,1,462,462.0
44,0,si,85,549,6.458823529411765
45,0,war,57,439,7.701754385964913
46,0,gu,109,454,4.165137614678899
47,0,wadi,51,427,8.372549019607844
48,0,ya</w>,27,423,15.666666666666666
49,0,go,17,409,24.058823529411764
50,0,go</w>,6,404,67.33333333333333
51,0,op</w>,21,414,19.714285714285715
52,1,ap,100,1894,18.94
53,0,ge</w>,35,391,11.17142857142857
54,0,nag,45,474,10.533333333333331
55,1,anu,139,765,5.503597122302159
56,0,god</w>,1,376,376.0
57,0,on,168,637,3.7916666666666665
58,1,ai,277,1392,5.025270758122744
59,0,tau,39,367,9.41025641025641
60,0,nagir,2,366,183.0
61,0,mu</w>,25,400,16.0
62,0,ane</w>,55,546,9.927272727272728
63,0,iwa</w>,72,358,4.972222222222222
64,0,waena,2,342,171.0
65,0,waenapan</w>,1,341,341.0
66,0,den</w>,2,338,169.0
67,0,in</w>,156,490,3.141025641025641
68,1,ag,181,1023,5.651933701657459
69,0,um,157,587,3.738853503184713
70,0,bo,71,340,4.788732394366197
71,0,re</w>,26,571,21.96153846153846
72,0,di</w>,10,287,28.7
73,0,et</w>,47,282,6.0
74,0,pa</w>,14,296,21.142857142857142
75,0,pi</w>,57,273,4.789473684210527
76,1,me</w>,19,892,46.94736842105263
77,0,at</w>,64,585,9.140625
78,0,sia</w>,3,272,90.66666666666669
79,1,apan</w>,6,1172,195.33333333333331
80,0,amon</w>,24,340,14.166666666666666
81,0,pen</w>,93,319,3.4301075268817205
82,0,ine</w>,37,273,7.378378378378378
83,0,im,98,462,4.714285714285714
84,0,nagirewa</w>,1,261,261.0
85,0,ae</w>,26,344,13.23076923076923
86,0,eni</w>,56,243,4.339285714285714
87,0,nop</w>,2,237,118.5
88,0,se,157,543,3.4585987261146496
89,0,iwanu,73,247,3.3835616438356166
90,0,tu,82,273,3.3292682926829267
91,0,se</w>,36,223,6.194444444444445
92,0,ba,77,413,5.363636363636363
93,0,anu</w>,6,210,35.0
94,0,ot</w>,18,215,11.944444444444445
95,0,tan</w>,17,196,11.529411764705882
96,0,tu</w>,13,194,14.923076923076923
97,1,pa,73,1753,24.013698630136982
98,0,ve,85,371,4.364705882352941
99,0,ko,26,198,7.615384615384615
100,0,to,99,341,3.4444444444444446
101,0,amu,63,330,5.238095238095238
102,0,dim</w>,1,177,177.0
103,0,wam</w>,3,176,58.66666666666666
104,0,anewa</w>,18,200,11.11111111111111
105,0,is,59,351,5.9491525423728815
106,0,ma</w>,14,186,13.285714285714286
107,0,iwanumu,42,169,4.023809523809524
108,0,gare</w>,1,168,168.0
109,1,ni</w>,135,908,6.725925925925926
110,0,gawa</w>,13,164,12.615384615384617
111,0,wat</w>,5,162,32.4
112,0,ini</w>,37,229,6.1891891891891895
113,0,de,23,556,24.17391304347826
114,0,iwandi,46,160,3.4782608695652173
115,0,bawar,2,157,78.5
116,0,ana</w>,65,184,2.830769230769231
117,0,pu,28,156,5.571428571428571
