id,cluster,subword,word_types,cum_freq,idiosincracy_index
0,1,ll,542,1524,2.811808118081181
1,1,tt,552,1397,2.5307971014492754
2,1,en</w>,386,1395,3.613989637305699
3,1,st,608,1271,2.0904605263157894
4,1,va,499,1198,2.400801603206413
5,1,si,324,1164,3.592592592592593
6,1,an,367,1054,2.871934604904632
7,1,ja</w>,45,999,22.2
8,1,mi,205,979,4.775609756097561
9,1,an</w>,410,1008,2.4585365853658536
10,1,ka,433,1075,2.4826789838337184
11,1,än</w>,177,890,5.028248587570621
12,1,in</w>,283,885,3.127208480565371
13,1,ku,224,792,3.5357142857142856
14,1,es,276,1029,3.728260869565217
15,1,ei,154,755,4.902597402597403
16,1,ta,555,1211,2.181981981981982
17,1,tu,358,846,2.363128491620112
18,1,se,395,1058,2.678481012658228
19,2,än,127,637,5.015748031496063
20,2,en,274,614,2.240875912408759
21,2,ma,299,643,2.150501672240803
22,1,ol,170,768,4.517647058823529
23,2,jo,125,613,4.904
24,2,lle</w>,165,584,3.5393939393939395
25,1,oi,281,744,2.647686832740213
26,2,je,75,606,8.08
27,2,si</w>,227,582,2.563876651982379
28,1,tä</w>,131,831,6.343511450381679
29,2,esu,16,498,31.125
30,2,jeesu,15,497,33.13333333333333
31,2,vat</w>,186,496,2.6666666666666665
32,2,on</w>,73,505,6.917808219178082
33,2,ett,153,492,3.215686274509804
34,1,sa,270,882,3.2666666666666666
35,1,el,400,887,2.2175
36,2,la,258,628,2.434108527131783
37,2,pa,217,483,2.225806451612903
38,2,hän,14,425,30.357142857142858
39,2,vä,184,480,2.608695652173913
40,2,san,59,421,7.135593220338983
41,2,sa</w>,215,413,1.9209302325581397
42,2,ko,259,484,1.8687258687258688
43,2,hän</w>,18,403,22.38888888888889
44,1,in,219,868,3.963470319634703
45,2,er,193,403,2.088082901554404
46,2,mu,76,361,4.75
47,2,nu,120,403,3.3583333333333334
48,2,tä,213,470,2.2065727699530515
49,2,jeesus</w>,6,344,57.333333333333336
50,2,sen</w>,62,336,5.419354838709677
51,2,ki,245,451,1.8408163265306123
52,2,sta</w>,154,331,2.1493506493506493
53,2,kä,144,327,2.270833333333333
54,2,ka</w>,16,322,20.125
55,2,oi</w>,27,338,12.51851851851852
56,2,vi,192,326,1.6979166666666667
57,2,vät</w>,98,290,2.959183673469388
58,2,sta,116,290,2.5
59,1,te,334,932,2.7904191616766467
60,2,ti,204,412,2.019607843137255
61,2,et</w>,109,407,3.73394495412844
62,2,pu,139,264,1.8992805755395683
63,0,hei,25,261,10.44
64,2,ik,191,584,3.0575916230366493
65,0,tta</w>,35,261,7.457142857142857
66,0,lla</w>,103,238,2.3106796116504853
67,0,op,75,266,3.546666666666667
68,2,ni,101,337,3.3366336633663365
69,2,äh,91,280,3.076923076923077
70,0,tul,45,264,5.866666666666666
71,0,sy,92,216,2.347826086956522
72,0,llä</w>,58,221,3.810344827586207
73,2,ra,189,326,1.7248677248677249
74,2,ke,242,502,2.074380165289256
75,1,ta</w>,291,809,2.7800687285223367
76,0,he</w>,4,218,54.5
77,0,sä</w>,88,216,2.4545454545454546
78,0,sanoi</w>,1,206,206.0
79,0,ssa</w>,121,243,2.008264462809917
80,0,pä,94,207,2.202127659574468
81,0,ju,63,204,3.238095238095238
82,0,oli</w>,2,201,100.5
83,0,pi,110,212,1.9272727272727272
84,0,mutta</w>,3,191,63.66666666666666
85,0,ja,128,245,1.9140625
86,2,su,121,686,5.669421487603306
87,2,li,259,527,2.034749034749035
88,0,läh,48,188,3.9166666666666665
89,0,lu,97,239,2.463917525773196
90,0,stä</w>,58,181,3.1206896551724137
91,0,tei,28,192,6.857142857142857
92,2,kse,132,376,2.8484848484848486
93,0,nä</w>,29,250,8.620689655172415
94,0,ksen</w>,39,177,4.538461538461538
95,0,kun</w>,4,175,43.75
96,2,ri,156,269,1.7243589743589745
97,0,nä,75,230,3.066666666666667
98,0,ei</w>,5,170,34.0
99,0,ki</w>,20,166,8.3
100,0,ksi</w>,71,174,2.4507042253521125
101,2,ivat</w>,127,370,2.9133858267716537
102,0,ne</w>,82,185,2.256097560975609
103,2,ha,154,278,1.8051948051948048
104,0,na,115,215,1.8695652173913044
105,0,ky,57,158,2.771929824561404
