id,cluster,subword,word_types,cum_freq,idiosincracy_index
0,1,en,673,1703,2.5304606240713223
1,1,es</w>,244,1678,6.877049180327869
2,1,et</w>,14,1663,118.78571428571428
3,1,ai,412,1555,3.7742718446601935
4,1,ou,325,1546,4.756923076923077
5,1,qu,128,1461,11.4140625
6,1,an,288,1345,4.670138888888889
7,1,le</w>,104,1108,10.653846153846152
8,0,de</w>,31,990,31.93548387096774
9,0,eu,130,876,6.7384615384615385
10,0,il</w>,33,880,26.666666666666668
11,0,on,285,791,2.7754385964912283
12,0,di,111,804,7.243243243243243
13,0,ent</w>,354,803,2.268361581920904
14,0,re</w>,141,774,5.48936170212766
15,0,er,255,668,2.619607843137255
16,0,les</w>,42,634,15.095238095238097
17,0,pa,136,662,4.867647058823529
18,0,lu,30,604,20.133333333333333
19,0,il,102,630,6.176470588235294
20,0,ne</w>,57,596,10.456140350877194
21,0,es,139,579,4.16546762589928
22,0,ri,196,586,2.989795918367347
23,0,ant</w>,102,568,5.568627450980392
24,0,la</w>,11,558,50.72727272727273
25,0,ous</w>,62,528,8.516129032258064
26,0,au,89,538,6.044943820224719
27,0,on</w>,86,488,5.674418604651163
28,0,oi,114,481,4.219298245614035
29,0,ait</w>,139,476,3.4244604316546763
30,0,en</w>,20,475,23.75
31,0,ch,192,452,2.3541666666666665
32,0,que</w>,25,441,17.64
33,0,lui</w>,5,428,85.6
34,0,mai,18,420,23.33333333333333
35,0,ils</w>,19,412,21.68421052631579
36,0,su,78,419,5.371794871794871
37,0,pr,176,551,3.1306818181818183
38,0,om,98,406,4.142857142857143
39,0,l',137,397,2.897810218978102
40,0,av,65,386,5.938461538461539
41,0,qui</w>,1,385,385.0
42,0,me</w>,33,378,11.454545454545457
43,0,ss,213,461,2.164319248826291
44,0,vous</w>,45,371,8.244444444444444
45,0,or,140,426,3.0428571428571427
46,0,em,136,363,2.669117647058824
47,0,ét,63,345,5.476190476190476
48,0,ce</w>,45,337,7.488888888888889
49,2,eur</w>,23,317,13.782608695652174
50,0,tr,161,617,3.8322981366459623
51,0,er</w>,163,308,1.8895705521472392
52,0,ti,155,314,2.0258064516129037
53,2,qu',34,307,9.029411764705882
54,2,mais</w>,4,301,75.25
55,2,te</w>,75,296,3.9466666666666663
56,2,se</w>,48,317,6.604166666666667
57,0,vi,94,339,3.606382978723404
58,2,un</w>,9,283,31.444444444444443
59,2,est</w>,6,280,46.66666666666666
60,0,el,72,411,5.708333333333333
61,2,ans</w>,4,272,68.0
62,2,tre</w>,28,271,9.678571428571429
63,2,pou,32,271,8.46875
64,2,dit</w>,9,266,29.55555555555556
