id,cluster,subword,word_types,cum_freq,idiosincracy_index
0,1,aa,1072,3351,3.1259328358208958
1,1,aa</w>,534,2690,5.037453183520599
2,1,ee,577,1920,3.3275563258232235
3,1,dh,488,1883,3.8586065573770494
4,1,is,215,1847,8.590697674418605
5,1,an,653,2272,3.479326186830016
6,1,ti</w>,283,1749,6.180212014134276
7,1,am,499,1797,3.6012024048096194
8,1,ii,529,1683,3.1814744801512287
9,1,uu,367,1354,3.689373297002725
10,1,ee</w>,354,1340,3.785310734463277
11,1,ar,377,1469,3.896551724137931
12,1,ii</w>,328,1303,3.972560975609756
13,2,oo,364,1185,3.255494505494505
14,1,at,571,1510,2.6444833625218918
15,2,ni</w>,87,1101,12.655172413793103
16,2,aan</w>,196,1001,5.107142857142857
17,1,an</w>,432,1999,4.627314814814815
18,2,ir,175,1011,5.777142857142858
19,2,kk,135,899,6.659259259259259
20,2,uu</w>,237,798,3.367088607594937
21,2,ab,290,858,2.9586206896551723
22,2,eey,234,758,3.23931623931624
23,2,je,75,764,10.186666666666667
24,2,oo</w>,47,717,15.25531914893617
25,2,ch,257,700,2.723735408560312
26,2,iin</w>,115,605,5.260869565217392
27,2,tti</w>,247,944,3.8218623481781377
28,2,um,188,620,3.297872340425532
29,2,in,150,600,4.0
30,2,akk,87,591,6.793103448275862
31,2,uus</w>,28,565,20.178571428571427
32,2,eeys,148,561,3.79054054054054
33,2,jedh,26,556,21.384615384615383
34,2,in</w>,157,1161,7.3949044585987265
35,2,al,277,805,2.9061371841155235
36,2,amm,44,542,12.318181818181818
37,2,aan,118,505,4.279661016949152
38,2,ye,25,501,20.04
39,2,irr,38,449,11.81578947368421
40,2,nam,56,461,8.232142857142858
41,2,ur,94,433,4.6063829787234045
42,2,yes,6,431,71.83333333333333
43,2,iis</w>,157,431,2.745222929936306
44,2,itti</w>,65,417,6.415384615384616
45,0,yesuus</w>,1,403,403.0
46,0,isaa</w>,16,400,25.0
47,2,ho,92,454,4.934782608695652
48,0,hin</w>,6,390,65.0
49,2,anii</w>,169,512,3.029585798816568
50,0,bar,95,389,4.094736842105263
51,0,gg,46,359,7.804347826086956
52,0,dd,96,357,3.71875
53,0,oot,101,354,3.504950495049505
54,0,keeys,28,358,12.785714285714286
55,2,atti</w>,114,431,3.780701754385965
56,0,ammoo</w>,1,345,345.0
57,0,arr,41,373,9.097560975609756
58,0,il,103,376,3.650485436893204
59,0,yy,101,342,3.386138613861386
60,0,un,61,344,5.639344262295082
61,0,ag,102,333,3.264705882352941
62,0,kan,69,366,5.304347826086956
63,0,hogg,7,305,43.57142857142857
64,0,ah,94,339,3.606382978723404
65,0,dee,98,350,3.571428571428572
66,0,akka</w>,4,275,68.75
67,0,warr,2,273,136.5
68,0,jir,49,276,5.63265306122449
69,0,aal,89,269,3.02247191011236
70,0,isaan,12,265,22.08333333333333
71,2,to,78,437,5.602564102564102
72,0,iif</w>,64,253,3.953125
73,0,qab,84,246,2.9285714285714284
74,0,ach,129,286,2.2170542635658914
75,0,isa</w>,14,241,17.214285714285715
76,0,ich,74,238,3.216216216216216
77,0,isaan</w>,4,235,58.75
78,0,aat,155,326,2.1032258064516127
79,0,oon,45,231,5.133333333333334
80,0,tokk,15,229,15.266666666666667
81,0,tur,20,225,11.25
82,0,een,76,377,4.9605263157894735
83,0,aj,68,209,3.073529411764706
84,0,ana</w>,19,314,16.526315789473685
85,0,dhu,67,264,3.9402985074626864
86,2,bb,114,436,3.824561403508772
87,0,abb,42,262,6.238095238095238
88,0,uma</w>,61,214,3.5081967213114758
89,2,att,216,678,3.138888888888889
90,0,inni</w>,6,211,35.166666666666664
91,0,uuf</w>,101,207,2.049504950495049
92,0,und,16,198,12.375
93,0,hund,15,195,13.0
94,0,oota</w>,39,193,4.948717948717949
95,0,fi</w>,7,187,26.714285714285715
96,0,dha</w>,10,209,20.9
97,0,ay,126,313,2.484126984126984
98,0,af,144,325,2.2569444444444446
99,0,waan</w>,3,179,59.66666666666666
100,2,du,157,605,3.853503184713376
101,0,tokko</w>,1,176,176.0
102,0,aas</w>,41,176,4.2926829268292686
103,2,si,178,764,4.292134831460674
104,0,oonni</w>,27,170,6.296296296296297
105,0,od,72,371,5.152777777777778
106,0,gar,33,199,6.03030303030303
107,0,een</w>,32,170,5.3125
108,0,warra</w>,1,165,165.0
109,0,gaa,59,217,3.6779661016949152
110,0,ark,49,172,3.510204081632653
111,0,as,100,259,2.59
112,2,gu,88,560,6.363636363636363
113,0,tiin</w>,26,159,6.115384615384615
114,0,uun</w>,80,151,1.8875
115,0,iyy,45,151,3.355555555555556
116,0,tu</w>,74,216,2.918918918918919
117,0,dhuf,20,148,7.4
118,0,tich,30,155,5.166666666666667
119,0,tah,20,152,7.6
120,0,rabb,8,147,18.375
