id,cluster,subword,word_types,cum_freq,idiosincracy_index
0,1,an,372,1811,4.868279569892473
1,1,ya</w>,72,1990,27.63888888888889
2,1,da</w>,27,1755,65.0
3,1,ma,256,1406,5.4921875
4,1,sa,212,1369,6.4575471698113205
5,1,ka</w>,97,1264,13.030927835051546
6,1,ar,368,1161,3.154891304347826
7,1,an</w>,104,1230,11.826923076923077
8,1,su</w>,92,1091,11.858695652173912
9,1,sh,133,1034,7.774436090225564
10,1,in</w>,155,990,6.387096774193548
11,1,su,56,921,16.446428571428573
12,1,wa</w>,99,908,9.171717171717171
13,2,ku,75,862,11.493333333333334
14,2,ma</w>,51,869,17.03921568627451
15,2,sa</w>,164,787,4.798780487804878
16,1,ka,197,967,4.908629441624366
17,2,ta</w>,124,656,5.290322580645161
18,2,mu,57,639,11.210526315789474
19,2,sai</w>,7,637,91.0
20,1,ya,210,1038,4.942857142857143
21,2,ba</w>,34,596,17.529411764705884
22,2,ce</w>,39,590,15.128205128205128
23,2,ta,181,806,4.45303867403315
24,2,suka</w>,1,558,558.0
25,1,na</w>,94,950,10.106382978723405
26,2,ku</w>,62,548,8.838709677419354
27,2,shi</w>,15,541,36.06666666666667
28,1,wa,194,1075,5.541237113402062
29,2,al,150,702,4.68
30,2,yi</w>,14,499,35.642857142857146
31,2,ba,168,772,4.595238095238095
32,2,ke</w>,35,447,12.771428571428572
33,2,ga</w>,10,425,42.5
34,2,wan,43,398,9.255813953488373
35,2,nan</w>,13,405,31.153846153846157
36,2,ha,138,657,4.760869565217392
37,2,du,46,373,8.108695652173912
38,2,ana</w>,35,392,11.2
39,2,in,168,463,2.755952380952381
40,2,ab,110,602,5.472727272727273
41,2,la,92,410,4.456521739130435
42,2,ir,71,328,4.619718309859155
43,2,am,132,801,6.068181818181818
44,2,kuma</w>,1,313,313.0
45,2,ur,104,373,3.5865384615384617
46,2,da,87,400,4.597701149425287
47,0,on</w>,37,269,7.27027027027027
48,2,ne</w>,22,369,16.772727272727273
