id,cluster,subword,word_types,cum_freq,idiosincracy_index
0,2,an,496,3593,7.243951612903226
1,2,an</w>,520,3132,6.023076923076923
2,2,er,525,2912,5.546666666666667
3,2,en,513,2291,4.46588693957115
4,2,ang</w>,86,2095,24.36046511627907
5,2,la,361,2093,5.797783933518006
6,2,da,191,2540,13.298429319371728
7,1,pa,165,1624,9.842424242424242
8,2,ka,595,2769,4.653781512605042
9,1,ya</w>,424,1375,3.2429245283018866
10,1,se,198,1340,6.767676767676767
11,1,ke,173,1358,7.849710982658959
12,1,men,335,1207,3.6029850746268655
13,1,kan</w>,294,1178,4.006802721088436
14,1,it,78,1103,14.14102564102564
15,1,ber,205,1062,5.180487804878049
16,1,sa,181,1005,5.552486187845304
17,1,nya</w>,408,1169,2.8651960784313726
18,1,da</w>,19,921,48.47368421052632
19,1,or,21,754,35.904761904761905
20,1,ka</w>,17,908,53.41176470588236
21,1,yang</w>,6,901,150.16666666666666
22,1,ha,178,962,5.404494382022472
23,1,lah</w>,179,889,4.966480446927374
24,1,ba,236,1064,4.508474576271187
25,1,ma,188,1021,5.430851063829787
26,1,itu</w>,5,838,167.6
27,1,di,282,838,2.971631205673759
28,1,ta,237,1382,5.831223628691983
29,1,em,247,1203,4.870445344129554
30,1,sa</w>,34,748,22.0
31,1,orang</w>,5,730,146.0
32,1,mer,26,728,28.0
33,1,eng,188,1069,5.6861702127659575
34,0,ang,123,486,3.951219512195122
35,1,mere,6,664,110.66666666666669
36,1,mereka</w>,1,659,659.0
37,1,dan</w>,5,659,131.8
38,1,kepa,14,625,44.642857142857146
39,1,ti,86,613,7.127906976744186
40,1,di</w>,11,615,55.90909090909091
41,1,un,146,558,3.821917808219178
42,1,isa</w>,6,581,96.83333333333331
43,1,mu</w>,103,563,5.466019417475728
44,1,ja,126,625,4.9603174603174605
45,1,in,200,666,3.33
46,0,tu,104,529,5.086538461538462
47,0,ri</w>,32,532,16.625
48,0,ku,112,472,4.214285714285714
49,0,su,80,530,6.625
50,0,per,113,471,4.168141592920354
51,1,ya,85,1319,15.51764705882353
52,0,ia</w>,15,555,37.0
53,0,mem,127,476,3.748031496062992
54,0,meng,123,429,3.4878048780487805
55,0,-nya</w>,109,424,3.889908256880734
56,0,mu,73,473,6.47945205479452
57,1,te,151,803,5.317880794701987
58,0,akan</w>,53,522,9.849056603773583
59,1,ak,226,1432,6.336283185840708
60,0,ru,89,469,5.269662921348314
61,0,bu,117,401,3.427350427350427
62,0,kepada</w>,2,370,185.0
63,0,li,107,388,3.6261682242990654
64,0,pu,63,412,6.53968253968254
65,0,ta</w>,36,413,11.47222222222222
66,0,ra</w>,26,349,13.423076923076923
67,0,deng,14,310,22.142857142857142
68,1,ap,77,788,10.233766233766234
69,0,lu</w>,8,294,36.75
70,0,dak</w>,6,288,48.0
71,0,kamu</w>,1,282,282.0
72,0,si,68,412,6.0588235294117645
73,0,lalu</w>,5,272,54.4
74,1,al,174,1343,7.718390804597701
75,0,tidak</w>,1,269,269.0
76,0,dari</w>,3,268,89.33333333333333
77,0,ter,100,268,2.68
78,0,le,64,304,4.75
79,1,ra,219,1454,6.639269406392694
80,1,be,260,1331,5.119230769230769
81,0,apa</w>,9,270,30.0
82,0,sab,10,280,28.0
83,2,me,528,2607,4.9375
84,0,bi,58,250,4.310344827586207
85,0,ki,60,318,5.3
86,0,du,44,211,4.795454545454546
87,0,dengan</w>,1,231,231.0
88,0,aku</w>,8,238,29.75
89,0,ju,49,261,5.326530612244898
90,0,ti</w>,30,223,7.433333333333334
91,0,anya</w>,44,221,5.0227272727272725
92,0,lu,60,219,3.65
93,0,gi</w>,21,230,10.952380952380953
94,0,peng,28,184,6.571428571428571
95,0,pi</w>,14,228,16.285714285714285
96,0,iku,24,196,8.166666666666666
97,1,ga,168,983,5.851190476190476
98,1,tu</w>,21,1039,49.47619047619048
99,0,kan,118,221,1.8728813559322035
100,0,ke</w>,1,196,196.0
101,0,kata</w>,4,195,48.75
102,0,teta,5,195,39.0
103,0,ga</w>,18,191,10.61111111111111
104,0,pun</w>,5,188,37.6
105,0,tetapi</w>,2,186,93.0
106,0,pat</w>,13,186,14.307692307692308
107,0,ang-,20,185,9.25
108,0,untu,11,183,16.636363636363637
109,0,sabda</w>,2,177,88.5
110,0,pada</w>,5,545,109.0
111,0,ana,35,238,6.8
112,0,ri,129,420,3.255813953488372
113,0,allah</w>,3,171,57.0
114,0,untuk</w>,1,170,170.0
115,0,berkata</w>,1,170,170.0
116,0,kar,16,173,10.8125
117,0,pengiku,9,142,15.77777777777778
118,0,meny,65,201,3.0923076923076924
119,1,ada</w>,8,709,88.625
120,0,tang</w>,12,161,13.416666666666666
121,0,kepada,7,209,29.857142857142858
122,0,orang-,1,158,158.0
123,0,orang-orang</w>,1,158,158.0
124,1,ah,149,575,3.859060402684564
125,0,telah</w>,3,152,50.66666666666666
126,0,li</w>,19,168,8.842105263157896
127,0,dah</w>,13,152,11.692307692307692
128,0,seorang</w>,3,149,49.66666666666666
129,0,jadi</w>,3,147,49.0
130,0,dian</w>,7,147,21.0
131,0,kemu,9,148,16.444444444444443
132,0,sam,26,158,6.076923076923077
133,0,ena</w>,4,145,36.25
134,0,ban,41,237,5.780487804878049
135,0,pengikut,7,119,17.0
136,0,para</w>,1,142,142.0
137,0,lam</w>,9,142,15.77777777777778
138,0,karena</w>,3,142,47.333333333333336
139,0,kemudian</w>,4,139,34.75
140,0,ca,53,162,3.056603773584906
141,0,ini</w>,3,138,46.0
142,0,ung,35,127,3.628571428571429
