id,cluster,subword,word_types,cum_freq,idiosincracy_index
0,2,aa,2022,3404,1.6834817012858556
1,2,ar,1773,2614,1.4743372814438804
2,2,il,1387,2179,1.571016582552271
3,2,nn,1300,1948,1.4984615384615383
4,2,er,1336,1884,1.410179640718563
5,2,is,1230,1906,1.549593495934959
6,2,lu,974,1435,1.473305954825462
7,2,ti,1055,1455,1.3791469194312795
8,2,si,1243,1831,1.4730490748189864
9,1,ut</w>,692,1223,1.7673410404624277
10,2,an,1280,2118,1.6546875
11,1,oq,468,879,1.878205128205128
12,2,su,844,1562,1.8507109004739335
13,1,mi,680,1079,1.5867647058823529
14,1,lu</w>,779,1216,1.5609756097560976
15,2,ma,887,1423,1.604284103720406
16,1,taa,361,915,2.5346260387811634
17,1,or,663,877,1.3227752639517345
18,1,oq</w>,419,839,2.0023866348448687
19,2,in,1212,1746,1.4405940594059403
20,1,us,641,1122,1.750390015600624
21,1,it</w>,640,1010,1.578125
22,2,ta,822,1790,2.177615571776156
23,1,kk,394,682,1.730964467005076
24,1,eq,513,645,1.2573099415204678
25,1,nng,490,649,1.3244897959183672
26,2,sa,1275,1642,1.287843137254902
27,1,ig,688,1029,1.495639534883721
28,1,ul,571,855,1.4973730297723291
29,1,pp,371,568,1.5309973045822105
30,2,al,1167,1802,1.5441302485004285
31,1,lug,390,556,1.4256410256410257
32,2,as,959,1440,1.5015641293013555
33,1,tu,583,805,1.3807890222984562
34,0,oqar,158,487,3.0822784810126582
35,1,aal,328,522,1.5914634146341464
36,1,saa,419,541,1.2911694510739855
37,1,it,496,592,1.1935483870967742
38,2,un,897,1330,1.4827201783723525
39,1,inn,580,759,1.3086206896551724
40,0,mik</w>,183,369,2.0163934426229506
41,0,iis,59,372,6.305084745762712
42,0,aj,265,408,1.539622641509434
43,0,aat</w>,213,365,1.7136150234741785
44,1,ki,399,663,1.6616541353383458
45,0,fig,139,344,2.474820143884892
46,0,aar,343,402,1.1720116618075802
47,0,tig,260,318,1.2230769230769232
48,2,ni,1037,1442,1.390549662487946
49,0,illu</w>,213,325,1.5258215962441315
50,0,lun,265,373,1.4075471698113209
51,1,uu,455,776,1.7054945054945054
52,0,jiis,15,315,21.0
53,1,at,738,1029,1.3943089430894309
54,1,im,578,895,1.5484429065743943
55,0,aa</w>,188,348,1.851063829787234
56,1,ner,456,636,1.394736842105263
57,0,mi</w>,191,304,1.5916230366492146
58,2,na,955,1399,1.4649214659685863
59,1,arp,326,472,1.4478527607361964
60,1,si</w>,281,537,1.9110320284697508
61,0,eqq,204,269,1.318627450980392
62,0,lugu</w>,189,270,1.4285714285714286
63,1,all,431,635,1.4733178654292345
64,1,nni,340,465,1.3676470588235294
65,1,aq,340,429,1.261764705882353
66,1,ut,647,924,1.428129829984544
67,1,ill,612,944,1.542483660130719
68,1,aas,298,503,1.6879194630872485
69,0,ag,260,412,1.5846153846153843
70,0,ilu</w>,166,245,1.4759036144578312
71,1,art,427,513,1.2014051522248244
72,0,taav,13,239,18.384615384615383
73,0,ersu,123,243,1.975609756097561
74,0,ai</w>,123,244,1.983739837398374
75,1,um,502,760,1.5139442231075697
76,0,oqarfig,41,225,5.487804878048781
77,0,taava</w>,5,220,44.0
78,1,ku,323,503,1.5572755417956656
79,0,issa,296,351,1.1858108108108107
80,0,isi,299,404,1.351170568561873
81,0,jiisus,15,315,21.0
82,1,ann,539,855,1.5862708719851577
83,0,tam,76,320,4.2105263157894735
84,0,luni</w>,129,188,1.4573643410852712
85,0,erp,153,203,1.326797385620915
86,0,ang,152,246,1.618421052631579
87,0,inu,128,313,2.4453125
88,0,alu,268,410,1.5298507462686568
89,0,illu,261,380,1.4559386973180075
90,0,naal,88,198,2.25
